LAR_EUS_EGOK	LAR_EUS_ORIG	LAR_EUS_UNIDECODE	SARASOLA	SARASOLA1745	WIKIDATA	OEH
bagetasunen	baguetasunen	baguetaſunen				
nekeen	nequeen	nequeen				
batean	batean	batean	batean			
inon	inon	iñon	inon			
diran	diran	diran				
miserien	miserien	miſerien				
kalte	calte	calte	kalte		kalte	kalte
leizean	leicean	leicean				
natza	natza	nátza				
gaiztakerien	gaiztaquerien	gaiztaquerien				
leize@bat	leice@bat	leice@bat				
Jainkoa	Jaincoa	Jaincoa				
ontasunaren	ontasunaren	ontaſunaren				
on	on	on	on		on	on
leizatu	leizatu	leizatu				
ondatu	ondatu	ondatu				
leizatua	leizatua	leizatua				leizatu
somindua	somindua	ſomindúa				
egotea	egotea	egotea				egote
beltzuntza	belzuntza	belzuntza	beltzuntza	beltzuntza		
habea	habea	habea	habe		habe	habe
eulitzarra	eulitzarra	eulitzarrá	eulitzar	eulitzar		eulitzar
habitar	habitar	habitar				
habito	habito	habito				
habituar	habituar	habituar				
abibar	avivar	avivar				
bizkotxatua	bizcochatua	bizcochatua				bizkotxatu
hablar	hablar	hablar				
beraatu	beraatu	beraatú				
bigindu	biguindu	biguindú				
samurtu	samurtu	ſamurtú	samurtu		samurtu	samurtu
ematu	ematu	ematú	ematu		ematu	ematu
bigunduegi	bigunduegui	bigunduegui				
arriak	arriac	arriac	arri			
bigunduko	bigunduco	bigunduco				
ditu	ditu	ditu				
gogorr	gogorr	gogorr				
banan	banan	bañan	banan			
samurtuko	samurtuco	ſamurtuco				
endultzar	endulzar	endulzar				
enternezer	enternecer	enternecer				
moltso	molso	molſo	moltso	moltso		
gelbera	guelbera	guelbera	gelbera	gelbera	gelbera	gelbera
beraatu	beraatu	beraatu				
ablatiboa	ablativoa	ablativoa	ablatibo		ablatibo	
abentar	aventar	aventar				
abentador	aventador	aventador				
ukoa	ucoa	ucoa	uko		uko	uko
bere	bere	bere	bere			
burua	burua	burua	buru		buru	buru
ukatzea	ucatzea	ucatzea				ukatze
ukatu	ucatu	ucatú	ukatu		ukatu	ukatu
enbobartse	embobarse	embobarſe				
bobo	bobo	bobo				
ozkatu	ozcatu	ozcatu				
ortzaz	orzaz	orzaz				
artu	artu	artu				
abokar	avocar	avocar				
