source_id,wikibase_lexeme,p6st
250,L87234,L87234-D51707F8-490F-4113-AAA4-7E283E36FCB3
251,L87235,L87235-1A8611BE-A0FA-4AA2-9B80-2C091C79403E
252,L87236,L87236-E76CF7A0-F5D3-4902-9F24-8FD1CBD1715E
253,L87237,L87237-7B1D2D0F-A67F-4B7C-B5AC-6AA765164162
254,L87238,L87238-F9F785A2-4720-4794-8991-10A5ED9FF3A7
255,L87239,L87239-EABB035D-AB13-4762-A615-8574DD2B1E58
256,L87240,L87240-A887306F-27F2-446A-9D47-08455C90FE1C
257,L87241,L87241-BC84CA5E-489C-4B9F-AFE2-30E951531A4A
258,L87242,L87242-82E92908-7940-4573-9B82-47E696AC69B3
259,L87243,L87243-F773B8F0-DF2F-4316-93FC-903313B5E719
260,L87244,L87244-2BA22BB3-22B6-45E9-91F2-362306C802EE
261,L87245,L87245-27EF3CBA-C95C-4A3D-9C63-0D3D25553FD7
262,L87246,L87246-AC14EE07-2B3C-4795-AA19-E930238050F7
263,L87247,L87247-576948C3-C7E7-457F-AEBB-A0F53E6CDE3D
264,L87248,L87248-067D046A-3789-4939-B56C-10AA320026D3
265,L87249,L87249-0937B9DF-AB26-432F-AFA0-DD2A8EFEBF16
266,L87250,L87250-F1B0085F-B8C2-4467-BE63-A7C577AD7961
267,L87251,L87251-24A87816-7DF8-4C0F-9B44-B69108798907
268,L87252,L87252-AE59976B-940E-470D-980C-E6941257D1FC
269,L87253,L87253-9C406AE6-CCB3-4A63-9544-F863C65ACBE6
270,L87254,L87254-16F23A2A-95D1-4FC2-8A1C-F1BF17C08D4C
271,L87255,L87255-D01E5F8B-DF21-47B8-9807-283CC5F681B9
272,L87256,L87256-BBBE5D1E-03AF-43FA-9453-807E681BF659
273,L87257,L87257-CA019A7B-628D-417C-8A88-26C21CBFC539
274,L87258,L87258-5F106DC4-D572-4B53-9DCB-2B8777E92D51
275,L87259,L87259-0FFE0D15-A62B-4B79-BC85-628B72E6E6F1
276,L87260,L87260-E7B6FF74-025D-489B-98A0-2AE01705D32C
277,L87261,L87261-27AFAEDA-C0C0-4233-AE33-39749A79C388
278,L87262,L87262-6E16D475-9603-4652-888F-C4C1F8946FA7
279,L87263,L87263-4F5A6C73-E837-49DB-8BE4-DB51182E06ED
280,L87264,L87264-CA0E1BCF-82C6-4057-91F3-DBB25BACC072
281,L87265,L87265-CB0A257A-8DE1-4EAE-B8CD-6CD39DAEBBEE
282,L87266,L87266-01880D18-F058-4A07-8E83-AB92D33810E3
283,L87267,L87267-65CE3890-6FF7-4E69-8EA3-B361EE3331D4
284,L87268,L87268-D6A4DFA6-29E9-4648-841E-6BD9D2BAFF9B
285,L87269,L87269-788486D3-BFE2-4EF8-AD27-8330925A5A96
286,L87270,L87270-8B9E73E2-CEF9-4812-8EEE-0D54BB5C4732
287,L87271,L87271-9A376769-CC0A-4304-89AF-204E6312AF3F
288,L87272,L87272-9386ABB2-AC2F-41B8-ADB2-AADB83A00850
289,L87273,L87273-FBB7FC8E-8516-4151-A39A-D7E4F7ED0BDD
290,L87274,L87274-61CE4378-59D7-4A7A-B618-D316910F4420
291,L87275,L87275-765C3056-16E6-4188-ABBF-C6DB5DA31A86
292,L87276,L87276-3B282C8D-5E46-4DB4-B311-2BA7D0E09083
293,L87277,L87277-E9CB37F0-27FF-4835-8C1A-011B9D56D80E
294,L87278,L87278-0295E8DA-04EE-49EB-ADC3-7579065927CC
295,L87279,L87279-0908B892-7E9A-4792-8D6E-4FCB43270C25
296,L87280,L87280-7F7E2EA2-63A4-475F-992E-3B4BC30C2D5F
297,L87281,L87281-3D260032-8A82-4188-8278-E7BDA69A4873
298,L87282,L87282-FA6E0939-3324-44AA-9067-324F730818F6
299,L87283,L87283-F17C575D-EC7E-4746-898C-9E367C390004
300,L87284,L87284-BD4B6AD6-2D13-4AA9-AD40-A661B8030B31
301,L87285,L87285-C4D120B9-0315-43AF-BF0A-A7431B018E84
302,L87286,L87286-A7CE8AED-385D-4198-8A4B-11F23B1C58DE
303,L87287,L87287-AC02DB89-80DE-4717-A923-F753BD71E56C
304,L87288,L87288-88FF04CB-C01B-4F38-8CDA-6C402CEFF0D4
305,L87289,L87289-8DA2DF46-25E6-4B08-97B0-DDEC3249CB89
306,L87290,L87290-84E8A0F5-10C2-4303-A525-CAB63308E2C8
307,L87291,L87291-87D58444-6807-4E2A-842E-B5378A9147FA
308,L87292,L87292-52E55C02-6353-4DA9-A875-F9B3B9A99754
309,L87293,L87293-5A885DD5-E95E-4F60-9588-214F7FCF0AAC
310,L87294,L87294-48123D66-CE40-4EBE-AB89-E4F536A125F0
311,L87295,L87295-92065F94-CF28-4AE3-B323-E877505E8FF5
312,L87296,L87296-4F3DE421-16A2-4552-9F3F-573F6E3305B7
313,L87297,L87297-F5E1BE43-5C27-4320-A3D8-06E524F7F3DB
314,L87298,L87298-3C26FE39-9F50-4B8C-8BCB-92342A90FDE6
315,L87299,L87299-0FA152E3-9997-4EB0-B5BF-23BA7A9807BD
316,L87300,L87300-588BFE79-A855-41DC-AC3E-B311781939BD
317,L87301,L87301-4B18356C-679D-4FB3-9E15-9E0FD9737E95
318,L87302,L87302-4D7E821F-459B-47E5-B207-BD0C584E0E5B
319,L87303,L87303-FFFF0F73-7ECF-45D8-9943-95C59B4337BF
320,L87304,L87304-5A471B7E-8062-4D3A-8154-7CA332C02239
321,L87305,L87305-22C22363-6881-4622-8BAC-6BC4E5334EDD
322,L87306,L87306-396AF7DE-3D42-4421-9C0F-99AC56DAAE8B
323,L87307,L87307-B5A28D2D-9CB3-465A-AC45-F900AE2442A3
324,L87308,L87308-DC1BD31D-3971-45B7-925B-E8B5BEB209E5
325,L87309,L87309-602FEA16-CB89-4B14-A83D-E2918757F1C7
326,L87310,L87310-F25E1786-17C2-45CF-BE7A-212DC4A10446
327,L87311,L87311-C1695544-AE18-4B93-A22F-CA6158B51619
328,L87312,L87312-15169731-A737-4AD4-9D06-116F8E1CF264
329,L87313,L87313-CCFCCBC8-F4A8-42D5-8EC6-5CC3AC59F86F
330,L87314,L87314-79F388B1-F3C6-46C4-9E47-94D001DC3B10
331,L87315,L87315-DE3A8ED4-F42A-4F38-9EF2-D768C8B4576A
332,L87316,L87316-0893E75A-EDF7-494A-8948-A0A4ED539ED0
333,L87317,L87317-1D11235C-E34A-4357-9005-07EB6A6F97A6
334,L87318,L87318-0426D3ED-0ED0-410C-97F2-77A7DF6F5280
335,L87319,L87319-BE7E73A7-392A-470C-8E5C-50316BC13E33
336,L87320,L87320-F8D8AEC3-82B6-4734-9462-B8EBD65C9546
337,L87321,L87321-2D167E87-22E7-4499-8B41-F43BF873D207
338,L87322,L87322-22320E89-97AB-47A9-BF55-09F16E085F93
339,L87323,L87323-F8A3FD9A-2739-4807-A276-711156573EC4
340,L87324,L87324-D3C82BBF-0EB6-4D31-9526-5278F2873721
341,L87325,L87325-D9AAD2EE-401B-42D9-A7A0-45831E23428B
342,L87326,L87326-01C1180A-5F4C-4170-830F-B3DCE70DB42E
343,L87327,L87327-1D8ADE09-EC6E-4879-965A-4419B87C6751
344,L87328,L87328-121787A2-516E-4F2A-B3BE-CEFA28D598FD
345,L87329,L87329-9160FCC0-BBE9-492F-81A1-B981DAEE6DD0
346,L87330,L87330-80FEAD54-A47E-480A-BE73-D5AB039281F0
347,L87331,L87331-F8106D98-8006-42B9-B839-70384EADCBBF
348,L87332,L87332-DF383E6D-FEFB-4D17-B088-0A68A955CDBF
349,L87333,L87333-A0C2896B-3F37-42B8-809E-FBCEB8011235
350,L87334,L87334-94A1F252-3B6E-434D-AF0D-4579445772FD
351,L87335,L87335-40D3D0C3-0C4D-458A-BED1-6B263C8DC776
352,L87336,L87336-8E509759-09B9-4ACC-A41E-B9BE59F1960D
353,L87337,L87337-A53583C8-9FAA-4DAE-9AFF-430D2C791455
354,L87338,L87338-40C4C5D4-8A38-4F30-B831-A147F66E9EF3
355,L87339,L87339-38E993FF-F68E-4C2A-96C2-DC5562A80B41
356,L87340,L87340-E267BFD1-A8A9-4C99-8B20-1A2FF9675064
357,L87341,L87341-5E3B8350-A1A2-439B-B0F1-287CEF004ADB
358,L87342,L87342-2E406B0E-D465-489B-B76D-BB675FA340C6
359,L87343,L87343-BE578860-FDF6-4E20-B06F-471FAC55B796
360,L87344,L87344-8ADCC097-1838-450E-B1B6-F840DD96A68A
361,L87345,L87345-46D45CC7-1C1E-4814-A228-20DDC10BD90E
362,L87346,L87346-C3104EDD-7815-43C2-BC47-C494AF8BD7C5
363,L87347,L87347-E41FBBCE-3EE9-4F2C-A9E5-2A01D8B8DDB9
364,L87348,L87348-D8A38970-BAC2-4F8A-8F3D-96B8C5935FDC
365,L87349,L87349-CFA615CB-1934-44EE-BDF0-F1D4774337BD
366,L87350,L87350-B0A8CD23-1F30-4535-8E0A-B2ED0F89F0E6
367,L87351,L87351-1AA92736-92D0-49CB-A232-E33B55315F83
