id	lemmaRaw	wr	upostag	lilaRef	matchType	modLemma
4042	dētraxi	detraxi	NULL	lemma/99047	*one*	NULL
4043	dētrectātio, -ōnis,	detrectatio	NOUN	lemma/99049	ONE	NULL
4044	dētrectātor, -ōris,	detrectator	NOUN	lemma/99050	ONE	NULL
4045	dētrecto	detrecto	NULL	lemma/99051	*one*	NULL
4046	dētrīmentōsus, -a, -um:	detrimentosus	ADJ	lemma/99053	ONE	NULL
4047	dētrīmentum, -i,	detrimentum	NOUN	lemma/99054	ONE	NULL
4048	dētritus, -a, -um:	detritus	ADJ	hypolemma/12027	ONE	NULL
4049	dētrivi	detriui	NULL	lemma/99025	*one*	NULL
4050	dētrūdo, -trūsi, -trūsum	detrudo	VERB	lemma/99056	ONE	NULL
4051	dētrunco	detrunco	NULL	lemma/99058	*one*	NULL
4052	dētrūsus, -a, -um:	detrusus	ADJ	hypolemma/12072	ONE	NULL
4053	dētruxi	detruxi	NULL	NULL	ZERO	NULL
4054	dētuli	detuli	NULL	lemma/98252	*one*	NULL
4055	dēturbo	deturbo	NULL	lemma/99064	*one*	NULL
4056	deturpo	deturpo	NULL	lemma/99065	*one*	NULL
4057	deunx, -uncis,	deunx	NOUN	lemma/99111	ONE	NULL
4058	deūro, -ussi, -ustum	deuro	VERB	lemma/99130	ONE	NULL
4059	deussi	deussi	NULL	lemma/99130	*one*	NULL
4060	deus, -i,	deus	NOUN	lemma/99132	ONE	NULL
4061	deustus, -a, -um:	deustus	ADJ	hypolemma/12169	ONE	NULL
4062	deūtor, -ūsus	deutor	NOUN	lemma/99136	*one*	NULL
4063	dēvasto	deuasto	NULL	lemma/99069	*one*	NULL
4064	dēvectus, -a, -um:	deuectus	ADJ	hypolemma/12091	ONE	NULL
4065	dēveho, -vexi, -vectum	deueho	VERB	lemma/99071	ONE	NULL
4066	dēvelli	deuelli	NULL	lemma/99072	*one*	NULL
4067	dēvello, -velli, -vulsum	deuello	VERB	lemma/99072	ONE	NULL
4068	dēvēlo	deuelo	NULL	lemma/99073	*one*	NULL
4069	dēveneror	deueneror	NULL	lemma/99074	*one*	NULL
4070	dēvēni	deueni	NULL	lemma/99075	*one*	NULL
