id	qid	text
170	L87154	acquiesco, -quiēvi, -quiētum 3: atseden hartu; lo egin; hil, hilda egon; lasai egon, lasai gelditu; baieztatu [dat.]; fidatu.
171	L87155	acquiētus, -a, -um: pp., ikus acquiesco
172	L87156	acquiēvi: perf., ikus acquiesco
173	L87157	acquīro, -quīsīvi, -quīsītum 3: eskuratu, irabazi, lortu.
174	L87158	acquīsitus, -a, -um: pp., ikus acquiro
175	L87159	acquīsīvi: perf., ikus acquiro
176	L87160	acrātophoron, -i, n.: ardo purua gordetzeko ontzia.
177	L87161	acrimōnia, -ae, f.: laztasun, garraztasun; bizitasun, energia.
178	L87162	acriter, adb.: zorroztasunez, zolitasunez; sutsuki, kartsuki, suhartasunez, gogoz; garraztasunez, gogor, krudelki.
179	L87163	acroāma, -atis, n.: belarrietarako opari; jendaurreko irakurle, musikari, abeslari, inprobisatzaile.
180	L87164	acroāsis, -is, f.: hitzaldi, irakurketa publiko.
181	L87165	acta, -ae, f.: hondartza, itsasbazter, itsasalde.
182	L87166	acta, -ōrum, n. pl.: xedapen, agindu, dekretu ofizialak; egitandiak; protokoloak, aktak (Senatukoak); eguneroko kronika eta informazio ofizialak.
183	L87167	actio, -ōnis, f.: ekintza; jarduera; eginkizun; auzitegiko prozesu, auzi-eske; akusazio-hitzaldi, salaketa-idatzi; epailearen dei; pl.: kargu ofizial bateko jarduera.
184	L87168	actor, -ōris, m.: egile; gauzatzaile; prokuradore; auzi-jartzaile, akusatzaile, abokatu; gidari; artzain, ikuskatzaile.
185	L87169	actuāria, -ae, f.: belaontzi bizkor.
186	L87170	actuārius, -a, -um:arin, erabilerraz [belaontziaz jardutean]
187	L87171	actuōsus, -a, -um:gogotsu, kementsu; grinatsu.
188	L87172	actus, -a, -um: pp., ikus ago
189	L87173	actus, -ūs, m.: egintza; ekintza; mugimendu, higidura, higitze.
190	L87174	actūtum, adb.: berehala.
191	L87175	acui: perf., ikus aceo eta acuo
192	L87176	aculeātus, -a, -um:zorrotz; zoli.
