testu_hitza	lemma	hitz_egokitua	mlv_lexeme	aingura	testuingurua-ezker	testu-hitza	eskuin-testuingurua
non	non	non	https://monumenta.wikibase.cloud/wiki/Lexeme:L58106	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##6	... escutic, eztezu alboan, ez beguien aurrean. 	Non	 da zeure seme bacarra? non zeure argui, zeure ...
non	non	non	https://monumenta.wikibase.cloud/wiki/Lexeme:L58106	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##6	... Ama maitea, atozea, 	non	 da zeure aurra, Jaungoicoa dan hume chucun, ...
non	non	non	https://monumenta.wikibase.cloud/wiki/Lexeme:L58106	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##6	... ez beguien aurrean. Non da zeure seme bacarra? 	non	 zeure argui, zeure asnase, zeure bicia? Ote da ...
non	non	non	https://monumenta.wikibase.cloud/wiki/Lexeme:L58106	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##13	... loturic, ta charidadeaz aiñ daude bat eguinic, 	non	 ecin semearen anima uqui daguiquean ezpatac, ...
non	non	non	https://monumenta.wikibase.cloud/wiki/Lexeme:L58106	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##17	... Juani cegocala, ta argan gueroi gucioi, orra 	non	 dezun zeure semea, zuzas contu iduqui ta ...
non	non	non	https://monumenta.wikibase.cloud/wiki/Lexeme:L58106	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##18	... bere amabi Apostolu santuac? ala da eguia. 	Non	 dabiltza bada, edo non ondatu dira? nola ...
non	non	non	https://monumenta.wikibase.cloud/wiki/Lexeme:L58106	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##18	... beretzat beregandu cituan amabi anay santuac? 	Non	 dabiltza? non ibillico dira? batac saldu, ta ...
non	non	non	https://monumenta.wikibase.cloud/wiki/Lexeme:L58106	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##18	... santuac? ala da eguia. Non dabiltza bada, edo 	non	 ondatu dira? nola eztaude Virgiñarequin ...
non	non	non	https://monumenta.wikibase.cloud/wiki/Lexeme:L58106	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##18	... cituan amabi anay santuac? Non dabiltza? 	non	 ibillico dira? batac saldu, ta besteac ucatu ...
non	non	non	https://monumenta.wikibase.cloud/wiki/Lexeme:L58106	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##18	... cer contu besteac eguingo deue nizaz? ta orra 	non	 Escuelaco anayac ere gozatuco ez lequizquioen ...
non	non	non	https://monumenta.wikibase.cloud/wiki/Lexeme:L58106	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##18	... bere amabi Apostolu santuac? ala da eguia. 	Non	 dabiltza bada, edo non ondatu dira? nola ...
non	non	non	https://monumenta.wikibase.cloud/wiki/Lexeme:L58106	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##18	... beretzat beregandu cituan amabi anay santuac? 	Non	 dabiltza? non ibillico dira? batac saldu, ta ...
non	non	non	https://monumenta.wikibase.cloud/wiki/Lexeme:L58106	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##18	... santuac? ala da eguia. Non dabiltza bada, edo 	non	 ondatu dira? nola eztaude Virgiñarequin ...
non	non	non	https://monumenta.wikibase.cloud/wiki/Lexeme:L58106	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##18	... cituan amabi anay santuac? Non dabiltza? 	non	 ibillico dira? batac saldu, ta besteac ucatu ...
non	non	non	https://monumenta.wikibase.cloud/wiki/Lexeme:L58106	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##18	... cer contu besteac eguingo deue nizaz? ta orra 	non	 Escuelaco anayac ere gozatuco ez lequizquioen ...
non	non	non	https://monumenta.wikibase.cloud/wiki/Lexeme:L58106	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##18	... santuac? ala da eguia. Non dabiltza bada, edo 	non	 ondatu dira? nola eztaude Virgiñarequin ...
non	non	non	https://monumenta.wikibase.cloud/wiki/Lexeme:L58106	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##18	... cituan amabi anay santuac? Non dabiltza? 	non	 ibillico dira? batac saldu, ta besteac ucatu ...
non	non	non	https://monumenta.wikibase.cloud/wiki/Lexeme:L58106	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##18	... cer contu besteac eguingo deue nizaz? ta orra 	non	 Escuelaco anayac ere gozatuco ez lequizquioen ...
non	non	non	https://monumenta.wikibase.cloud/wiki/Lexeme:L58106	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##20	... modu gaistoz Abner ceritzan bati: ta ara 	non	 bereala Israel gucian eleac ta beleac banatu ...
non	non	non	https://monumenta.wikibase.cloud/wiki/Lexeme:L58106	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##22	... ceiñ itsusqui cein gauza chiquiacgatic? oi eta 	non	 da gueure lotsea? ô gueu Adanen ondorengoen ...
nondic	nondik	nondik	https://monumenta.wikibase.cloud/wiki/Lexeme:L58121	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak##2	... Chori-buru, puztua,  Ero, garbi, buztan, latz,  	Nondic	, hiri, ciquiñ, orrí,  Becaitz, aldia, eldu, ...
