testu_hitza	lemma	hitz_egokitua	mlv_lexeme	aingura	testuingurua-ezker	testu-hitza	eskuin-testuingurua
ezpadakik	ezpadakik	ezpada	https://monumenta.wikibase.cloud/wiki/Lexeme:L26404	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##140	... eure mende guzia! Ene andere graziosa 	ezpadakik	 balia, bai bizian bai hilian beti oha galduia. ...
ezpaditu	ezpaditu	ezpada	https://monumenta.wikibase.cloud/wiki/Lexeme:L26404	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##63	... hoiek egiazki ehork hala 	ezpaditu	, ahal bailiaki duda gabe ezin dateiela salbu ...
ezpagitza	ezpajitza	ezpa	https://monumenta.wikibase.cloud/wiki/Lexeme:L26402	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##132	... bano lehen gira hiltzen bekatoriak; hark aiuta 	ezpagitza	 nola giren galduiak! ...
ezpaituke	ezpaituke	ezpai	https://monumenta.wikibase.cloud/wiki/Lexeme:L26406	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##181	... ezin noake hargana eta agian, hark orduian 	ezpaituke	 aizina; badu ere, beldur date; bertan doha ...
ezpaitzen	ezpaitzen	ezpai	https://monumenta.wikibase.cloud/wiki/Lexeme:L26406	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##327	... burlatzen, zeren ezein skripturan erideiten 	ezpaitzen	. Orai dute ikasiren nola gauza hona zen. ...
ezpanadi	ezpanadi	ezpan	https://monumenta.wikibase.cloud/wiki/Lexeme:L26431	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##274	... dudan pena hanbat ere handi da, zuzaz beraz 	ezpanadi	 orai bertan konsola, rne arima jalgiren da ...
ezpaneinde	ezpaneinde	ezpan	https://monumenta.wikibase.cloud/wiki/Lexeme:L26431	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##198	... hanbat dizit amorio handia, harekila egoitiaz 	ezpaneinde	 enoia; harganiko partitzia ene eihargarria; ...
ezpaniz	ezpaniz	ezpan	https://monumenta.wikibase.cloud/wiki/Lexeme:L26431	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##110	... karioki otoitzera zu zakiztan balia, digne 	ezpaniz	 aipatzera zure izen sainduia ez jitera ...
ezpazina	ezpazina	ezpa	https://monumenta.wikibase.cloud/wiki/Lexeme:L26402	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##156	... zukeien lur guzia engoitik, balinetan zu 	ezpazina	 ararteko gugatik; oro soszengatzen gitu zure ...
ezpazira	ezpazira	ezpa	https://monumenta.wikibase.cloud/wiki/Lexeme:L26402	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##121	... lehen gaoian non daten ostatuia, ezetare, zu 	ezpazira	, nor dakidan balia; ordu hartan hel zakitzat, ...
eztei	eztei	eztei	https://monumenta.wikibase.cloud/wiki/Lexeme:L26521	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##266	... behar dugia konkista berri? 	Eztei	 iraganez gomitu handi; hanbat ezirade andere ...
ezten	ezten	ezten	https://monumenta.wikibase.cloud/wiki/Lexeme:L26530	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##2	... handirik, miraz nago, jauna, nola batere 	ezten	 asaiatu bere lengoaje propriaren faboretan ...
ezten	ezten	ezten	https://monumenta.wikibase.cloud/wiki/Lexeme:L26530	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##150	... zuk ez duzu Jeinko beraz bertzerik, Jeinko 	ezten	 bertze oro dago zure azpitik, Jeinkoaren ama ...
ezten	ezten	ezten	https://monumenta.wikibase.cloud/wiki/Lexeme:L26530	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##156	... gitu zure othiegatik, gu gaixtoak izan arren, 	ezten	 zutan faltarik. Fin honera hel gizazu, giren ...
eztena	eztena	ezten	https://monumenta.wikibase.cloud/wiki/Lexeme:L26530	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##3	... joja ederra, inprimiturik euskara, orano izan 	eztena	 eta zure hatse honetik dadin aitzinerat ...
eztia	eztia	hezta	https://monumenta.wikibase.cloud/wiki/Lexeme:L26480	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##24	... andere gloriosa eta ama 	eztia	! Zutan dago bekatoren esperanza guzia. Ni ...
eztia	eztia	hezta	https://monumenta.wikibase.cloud/wiki/Lexeme:L26480	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##28	... bete ziraden jaun 	eztia	! Otoi, enzun jazadazu neure orazionia; bizi ...
eztia	eztia	hezta	https://monumenta.wikibase.cloud/wiki/Lexeme:L26480	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##42	... diraustazu gertuz, ama 	eztia	, zure orduko doloriak eta bihotz zauriak: ...
eztia	eztia	hezta	https://monumenta.wikibase.cloud/wiki/Lexeme:L26480	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##111	... ez menosprezia; zuk gibela badidazu, elas, ama 	eztia	, ordu hartan diakusazut galdu neure buruia. ...
eztia	eztia	hezta	https://monumenta.wikibase.cloud/wiki/Lexeme:L26480	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##121	... balia; ordu hartan hel zakitzat, otoi, ama 	eztia	, ararteko leial eta neure aiutaria. ...
eztia	eztia	hezta	https://monumenta.wikibase.cloud/wiki/Lexeme:L26480	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##123	... majestatia. Zeren untsa orit ziten nizaz, ama 	eztia	, gogo honez erranen dut zuri Ave Maria: ...
eztia	eztia	hezta	https://monumenta.wikibase.cloud/wiki/Lexeme:L26480	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##157	... 	eztia	, nik badagit zure kontra faltarik, zuk gaztiga ...
eztia	eztia	hezta	https://monumenta.wikibase.cloud/wiki/Lexeme:L26480	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##172	... zait, emaztea dela gauza 	eztia	, donario guzietan guziz gauza emia; gaoaz eta ...
eztik	eztik	eztika	https://monumenta.wikibase.cloud/wiki/Lexeme:L26565	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##141	... hari gomend adi, nik diosat egia: finian ere 	eztik	 uzten hark galtzera beria, orduian ere bere ...
eztu	eztu	hezta	https://monumenta.wikibase.cloud/wiki/Lexeme:L26480	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##155	... eta gure ororen ama zira dignerik; amak 	eztu	 sofritzeko semen artian gerlarik; samurturik ...
