omendu,omendua
famatu,famatú
omendu,omendu
egile,eguillea
neke,nequeá
lan,laná
nekatu,necatu
arikatu,aricatu
jardun,jardun
ekin,equin
nekatu,necatua
arikatu,aricatua
egin,eguin
ezaindu,ezaindua
narriatu,narriatua
gogotsu,gogotſua
amodiotsu,amodiotſua
apaindu,apaindua
edertu,edertua
egin,eguin
kendu,quendua
bizargile,bizarguillea
iletsu,illetſua
uletsu,uletſua
emakumetu,emacumetu
emakumetu,emacumetua
gisa,guiſá
eutsi,eutſi
itsatsi,itſatſi
kako,cacoac
itsatsi,itſatſia
lotzaile,lotzallea
itsatsi,itſatſia
itxeki,ichequia
eltze,eltzea
beroarazi,beroaraci
irakin,iraquin
berotu,berotú
gartu,gartú
segurutu,ſegurutua
estutu,eſtutua
eman,eman
eman,emaná
emaile,emallea
amodio,amodioa
ekarrai,ecarraia
jaiera,jayera
zaletu,zaletú
laket izan,laquet izan
ederretsi,ederretſi
ekarrai,ecarraia
jaiera,jayera
artze,artzea
ederretsi,ederretſia
jaiera,jaiera
zorroztu,zorroztú
zorroztu,zorroztua
zorrotzaile,zorrotzallea
ergel,erguelá
eztera,ezterá
garbitu,garbitua
beregandu,beregandua
berezi,berecia
maneatzaile,maneatzallea
baieztu,bayeztú
baieztatu,bayeztatú
baieztu,bayeztuá
baieztatu,bayeztatua
baieztu,bayeztu
baiez,bayez
baietz,bayetzá
baiezko,bayezcoa
atsekabetu,atſecabetu
larritu,larritu
estutu,eſtutu
atsekabetu,atſecabetua
antsiatu,anſiatua
larritu,larritua
estutu,eſtutua
atsekabetu,atſecabetu
antsiatu,anſiatu
malmetitu,malmetitú
jaramon,jaramon
atsekabe,atſecabea
antsia,anſia
larri,larriá
estu,eſtuá
lantu,lantuá
lasaitu,laſaitu
nasaitu,naſaitu
lasai,laſai
lasaitu,laſaitua
nasaitu,naſaitua
lasai,laſai
ugari,ugaria
naro,naroa
neurtu,neurtu
paratu,paratu
azpikotu,azpicotu
azpikotu,azpicotua
forru,forrua
azpiko,azpicoá
zaia,zaya
laido,laidoá
desohore,deſohorea
laidotu,laidotu
desohoratu,deſohoratú
laidotu,laidotua
desohoratu,deſohoratua
laidagarri,laidagarria
desohoragarri,deſohoragarria
ahalkagarri,ahalcagarria
lotsagarriro,lotſagarriro
igortzi,igortzi
aurkaz,aurcaz
aurka,aurcá
ifini,ifiñi
paratu,paratu
aurkeztu,aurqueztu
gisa,guiſá
bezala,bezala
legez,leguéz
erara,erara
itzuri,itzuri
makurtu,macurtu
isats,iſatſ
ezkutatu,ezcutatua
itsatsi,itſatſi
atzeman,atzeman
lotu,lotu
itsatsi,itſatſia
itxeki,ichequia
atzeman,atzemana
lotu,lotuá
lotzale,lotzalea
zikoitz,cicoitza
itsatsi,itſatſi
itxeki,ichequi
lotu,lotu
zirikatu,ciricatu
zulatu,zulatu
zirikatu,ciricatua
zulatu,zulatua
estutu,eſtutu
agasajo,agaſajo
agata,agata
ibili,ibilli
sartu,ſartu
gabikotu,gabicotua
ibili,ibilli
usagari,uſagaria
arin,ariña
biziagotu,viciagotú
arintasun,arintaſuna
lastertasun,laſtertaſuna
bizitasun,vicitaſuna
biziera,viciera
arin,arin
arinki,arinqui
laster,laſter
lasterki,laſterqui
bizi,vici
biziki,viciqui
biziro,viciró
zain,zaiñac
makur,macurrá
makurtu,macurtua
gubiatu,gubiatua
jarri,jarri
orain,orain
oraintxe,orainche
azti,aztia
asmatzaile,aſmatzallea
soro,ſoroac
soro,alorrac
agortu,agortua
idortu,idortua
agorril,agorrilla
abuztu,abuztua
uzta,uztá
txukun,chucuna
polit,politá
eraz,eraz
otzan,otzana
oniritzi,oniritzi
agradatu,agradatu
bat,bat
naia,nayá
baiezko,bayezcoa
bestela,beſtela
ezperen,ezperen
eskerti,eſquertia
eskertsu,eſquertſua
astundu,aſtundú
pisutu,piſutua
astundu,aſtundua
pisugarri,piſugarri
astungarri,aſtungarri
pisutu,piſutu
astundu,aſtundu
iraindu,iraindu
iraindu,iraindua
irain,irainá
kalte,caltea
zorigabe,zorigabeac
bildu,bildú
batu,batú
biribilatu,biribillatu
bildu,bilduá
batu,batuá
biribilatu,biribillatuá
talde,taldeá
pila,pillá
moltso,molſoá
montoi,montoyá
erasotzaile,eraſotzallea
basati,baſatia
basajende,baſagendea
gazitxo,gacichoa
mintxo,minchoa
lazki,lazqui
garrazkiro,garrazquiró
garrazki,garrazqui
gogorkiro,gogorquiro
gogorki,gogorqui
gazi,gaciá
mina,miñá
gazitasun,gacitaſuna
mintasun,mintaſuna
usutu,uſutua
erauntsia,eraunſia
idola,idola
gesal,gueſalá
ur,ura
segari,ſegaria
lintzura,linzura
irozo,irozó
irozo,irozoá
ureztatu,ureztatú
ureztatu,ureztatua
urdun,urduna
etxeden,echeden
itxeden,icheden
iraungile,iraunguillea
emendatzaile,emendatzallea
gesal,gueſalá
zingira,cinguirá
zale,zaleá
antsia,anſiá
larri,larriá
gose,goſea
zorrozkiro,zorrozquiró
zorrozki,zorrozqui
zorrotz,zorrotzá
aztinantza,aztinanza
akulu,aculua
zirikatu,ciricatua
arrano,arranoa
mentu,mentuá
aitzin,aitzin
zulogile,zuloguillea
zulo,zuloa
zilo,ciloa
zorroztu,zorroztu
estekatu,eſtecatu
estekatu,eſtecatua
or,orrá
or,or
alaba ponteko,alaba pontecoa
kordebagetu,cordebaguetua
ozpindu,ozpindua
kemen,quemena
gogoan jo,gogoan jo
gogoan jo,gogoan joa
itogarri,itogarria
ito,itó
ito,itoá
ito,itó
urkatu,urcatú
urkatu,urcatuá
urkatu,urcatú
horma,horma
kutxa,cucha
garmendi,garmendia
idortu,idortu
ondu,ondú
keeztu,queeztuá
keaztatu,queaztatua
idortu,idortua
ondu,onduá
lurrindu,lurrindu
lurrindu,lurrindua
itzurarazi,itzuraraci
iratze,iratzea
iratu,iratua
une,unea
erausi,erauſi
egurastu,eguraſtú
eraz,eraz
ederki,ederqui
ederto,edertó
lirain,liraña
mastrikatu,maſtricatu
atzatu,atzatu
mastrikatu,maſtricatua
atzatu,atzatua
baratxuri,barachuria
biska,viſcá
alogeratu,alogueratua
zuhurtu,zuhurtu
zuhur,zuhurra
zuhurtu,zuhurtua
doiki,doiqui
doitu,doitú
doitu,doituá
ifini,ifiñia
ajustatu,ajuſtatu
ajustatu,ajuſtatua
konpondu,compondua
araudun,arauduna
ongunde,ongundea
egiune,eguiunea
hil,hillá
hil,hilá
alabantza,alabanza
laudorio,laudorioa
alabatu,alabatu
laudatu,laudatu
alabatu,alabatua
alabatu,alabatu
alabastro,alabaſtro
lantza,lanza
arrabio,arrabioa
egaadun,egaaduna
balaku,balacua
balakatu,balacatu
balakatu,balacatu
maitatu,maitatú
tu,tua
balakari,balacaria
balaku,balacua
alaja,alaja
apaindu,apaindua
alanbre,alambrea
alanbre,alambrea
ezkurdui,ezcurduia
or,orá
abere,aberea
aberetzar,aberetzarra
basati,baſatia
erregia,erreguia
luzatu,luzatu
luzatu,luzatua
luzatu,luzatu
aurreratu,aurreratu
aitzinatu,áitzinatu
albaka,albacá
iragarri,iragarria
sare,ſarea
karkaba,carcaba
txuri,churia
zuri,zuria
legen,leguená
basta,baſtá
alper,alperra
txalmatu,chalmatú
txalma,chalmá
ifini,ifiñi
paratu,paratú
txalmatu,chalmatua
bastatu,baſtatua
txalma,chalmá
bildu,bildua
bastagintza,baſtaguintza
bastagin,baſtaguiña
txalmagin,chalmaguiña
azal,azalá
basta,baſtá
astatipula,aſtatipula
ekintza,equintza
itxi,ichia
sartu,ſartu
sartu,ſartua
atarbe,atarbea
txuritasun,churitaſuna
zuritasun,zuritaſuna
alborada,alborada
borbor,borbora
arazotu,arazotu
asaldatu,aſaldatú
arazotu,arazotua
asaldatu,aſaldatua
berotu,berotú
poztu,poztú
poztu,poztua
bozkariotu,bozcariotuá
albiriste,albiriſtea
albiriste,albiriſtea
albiste,albiſtea
lazun,lazuná
estalgile,eſtalguillea
ibili,ibilli
alkate,alcatea
barruti,barrutia
alkanfor,alcanfora
zurrun,zurruná
basarto,baſartoa
atzitu,atzitu
antxitu,anchitu
atzeman,atzeman
alkantzatu,alcanzatu
ardietsi,ardietſi
erdiesle,erdieslea
alkantzatu,alcanzatua
erdietsi,erdietſia
ardietsi,ardietſia
iltze,iltzé
kakodun,cacoduna
kako,cacoa
gaileta,galleta
mendiska,mendiſca
artelatz,artelatza
estali,eſtali
azaldu,azaldu
estali,eſtalia
azaldu,azaldua
leinu,leinua
etorki,etorquia
oliontzi,olioncia
kisket,quiſqueta
maratila,maratilla
atseden,atſeden
desalaitu,deſalaitu
ikaratu,icaratu
beldurtu,beldurtu
izutu,izutú
muga,muga
mugarri,mugarria
aldeko,aldecoa
mugako,mugacoa
ekarrai,ecarraya
alegeratu,alegueratu
poztu,poztú
bozkariotu,bozcariotú
atsegin eman,atſeguiñ eman
alegeratu,alegueratu
alegeratu,alegueratua
poztu,poztua
alegere,aleguerea
pozik,pozic
atsegin,atſeguiña
alegeria,alegueria
poz,pozá
bozkario,bozcárioa
urrutiratu,urrutiratu
urrundu,urrundu
urruti,urruti
urrun,urrun
urrutiratu,urrutiratu
urrundu,urrundu
urrutiratu,urrutiratua
urrundu,urrundua
alegria,alegria
mau,mauac
erruz,erruz
alaitu,alaitu
indartu,indartu
alaitu,alaitua
indartu,indartua
asnase,aſnaſe
egin,eguin
artatsu,artatſua
esnatu,eſnatua
ernai,ernaya
ernari,ernaria
irazarri,irazarria
leundu,leundua
isats,iſatſa
buztinola,buztinola
buztingile,buztinguillea
eltzegile,eltzeguillea
ateratzaile,ateratzallea
ibiki,ibiquia
orratz,orratza
buruorratz,buruorratza
zerri,cerriá
jantzi,janciá
zakuto,zacutoa
alportxa,alporcha
maleta,maletá
algaraz,algaráz
ojuka,ojúcá
deadarkari,deadarcaria
zerbait,cerbait
zer edo zer,cer edo cer
gorrindu,gorrindú
aurren,áurren
batu,batú
batu,batua
ai,ayá
trebatu,trebatu
asnase,aſnaſea
lotu,lotua
erantsi,eranſiá
arindu,arindua
laster,laſterrá
arindu,arindua
abere,aberea
bazkatu,bazcatua
janaritu,janaritua
bazka,bazca
janari,janaria
txukun,chucuná
eder,ederrá
polit,politá
apaindu,apaindua
leundu,leundu
leundu,leundua
leuntzaile,leuntzallea
zerrenda,cerrendá
lista,liſtá
arri,arri
ifini,ifiñi
ifini,ifiñia
prestatu,preſtatu
maneatu,maneatu
arindu,arindu
arindu,arindua
gozatu,gozatua
atsedendu,atſedendua
atseden,atſedena
erreten,erretena
jantzi,janci
jantzi,jancia
igortzi,igortzia
