hitzeratua,hitzeratua
acenia,azenia
errotateguia,errotategia
igarateguia,igarategia
bolueta,bolueta
&c,&k
curruquitu,kurrukitu
guillamatu,gilamatu
junteratu,junteratu
molduratu,molduratu
cepillo,zepilo
&c,&k
&c,&k
guillamatzea,gilamatzea
berdin diranen artean batari ayer-ago beſteari bañúo izatea,berdin diranen artean batari aier-ago besteari banuo izatea
perſonac iracurtea,pertsonak irakurtea
iracurritzea,irakurritzea
bereiſtu,bereistu
bereiſtea,bereistea
perſoncen iracurtzallea,pertsontzen irakurtzailea
bereiſtaria,bereistaria
arquizuna,arkizuna
artugarria,artugarria
argarria,argarria
ar ditequeana,ar ditekeana
latsbeguia,latsbegia
eche errencada,etxe errenkada
altzairutu,altzairutu
altzairutua,altzairutua
altzairutzallea,altzairutzailea
burcochoa,burkotxoa
aurdicochoa,aurdikotxoa
orrazchorroa,orraztxorroa
orrazteuslea,orrazteuslea
acerolá,azerola
lazquiró,lazkiro
urbil . du,urbil . du
urretorri,urretorri
edo joan,edo joan
alderagotu,alderagotu
alboragotu,alboragotu
urragotu,urragotu
urbilagotu,urbilagotu
aldereguitu,alderegitu
alboreguitu,alboregitu
urreguitu,urregitu
urbileguitu,urbilegitu
alderago-,alderago-
aldereguitua,alderegitua
errotic,errotik
ſuſtrayetic,sustraietik
ondotic,ondotik
bortizquiro,bortizkiro
portizquiro,portizkiro
lazquiró chit,lazkiro txit
ſomaria,somaria
aſmagarria,asmagarria
ſomagarria,somagarria
ſomaquizuua,somakizuua
io,io
acertadu,azertadu
gaiſyo diranacquin,gaixo diranakkin
aſmaró,asmaro
ſomaró,somaro
artú,artu
nai izán,nai izan
vr bedeicatuaren paciachoa,ur bedeikatuaren paziatxoa
nequez aſnaſea,nekez asnasea
arnaſea artzea,arnasea artzea
aſnaſca egotea,asnaska egotea
aſnaſe nequeza,asnase nekeza
ats nequeza,ats nekeza
eritſuquiró,eritsukiro
erbalquiró,erbalkiro
narrioquiró gaiſyoquiro,narriokiro gaixokiro
erbala,erbala
narriotſua,narriotsua
achaquiduna,atxakiduna
mañaſoá,manasoa
tipitu,tipitu
tipitua,tipitua
chiuieguitu,txiuiegitu
chiquerreguitu,txikerregitu
chiquieguitua,txikiegitua
chiquerreguitua,txikerregitua
chiquerragotu,txikerragotu
chiquerragotua,txikerragotua
gueiegui erre,geiegi erre
gueiegui errea,geiegi errea
gueiegui erretzallra,geiegi erretzailra
achiotea,atxiotea
chocoratu,txokoratu
chocoan gorde diruac,txokoan gorde diruak
aurtu,aurtu
ſeindu,seindu
aurtara,aurtara
ſeintara biurtu,seintara biurtu
aurtuá,aurtua
ſeinduá,seindua
aurtará,aurtara
ſeintará biurtua,seintara biurtua
eſtanderazo,estanderazo
noronz,norontz
ononza,onontza
onanzatu,onantzatu
onunza,onuntza
onunzatu,onuntzatu
nonza zaite,nontza zaite
aronza,arontza
aronzatu,arontzatu
orronza orronz atu,orrontza orrontz atu
orronza,orrontza
ononz-ago,onontz-ago
aronzago,arontzago
orronzago,orrontzago
ononzC . agotu , arronzagotu orronzagotu,onontzC . agotu , arrontzagotu orrontzagotu
onoenzeguitu,onoentzegitu
zabilá,zabila
zabildu cerbaitmindú,zabildu zerbaitmindu
ſaminduú,saminduu
zabildua,zabildua
alpertaſuna,alpertasuna
alerra,alerra
gar-lachá,gar-latxa
gabillatu,gabilatu
gabillac,gabilak
gabicoac eguin,gabikoak egin
gabillatua,gabilatua
gabillá,gabila
lurren,lurren
ſoroen,soroen
landen mugac,landen mugak
cidra azucretua,zidra azukretua
acitroyá,azitroia
beeratu,beeratu
beetitu,beetitu
hocenguia,hozengia
pozez,pozez
atſeguiñez ojucatu,atseginez ojukatu
deadarcatu,deadarkatu
deadarca egon,deadarka egon
pozez ojucatua,pozez ojukatua
deadarcatua,deadarkatua
ojucaria,ojukaria
dunduraria,dunduraria
durundaria,durundaria
clarutu,klarutu
clarutua,klarutua
arguigotú,argigotu
claruágotu,klaruagotu
arguieguitu,argiegitu
clarueguitu,klaruegitu
clarutú,klarutu
deſalai eguin,desalai egin
alaibaguetu,alaibagetu
alaigabetu,alaigabetu
deſalai eguiña,desalai egina
alaibaguetua,alaibagetua
alaigabetua,alaigabetua
amedrentar,amedrentar
atemorizar,atemorizar
&c,&k
oſticoz jó,ostikoz jo
ohondicoz eraſó,ohondikoz eraso
oondicatua,oondikatua
oſticoz,ostikoz
ohondicoz joa,ohondikoz joa
oſticoz,ostikoz
ohondicoz joléa,ohondikoz jolea
oſticatzea,ostikatzea
oſticadura,ostikadura
ohondicadura,ohondikadura
garrondoan,garrondoan
edo lepachocoan jotzeaz hil,edo lepatxokoan jotzeaz hil
garrondoan jotzeaz hilá,garrondoan jotzeaz hila
macurturic landatuac,makurturik landatuak
macurtuaz laudaretuac,makurtuaz laudaretuak
beſaganean jarri,besaganean jarri
ucondoaz,ukondoaz
ucalondoaz burua eutſi,ukalondoaz burua eutsi
iduqui,iduki
ucondoztu,ukondoztu
acudir,akudir
artú,artu
artuá,artua
artzallea,artzailea
eſcapatoria,eskapatoria
igueſteguitu,igestegitu
norabait joatea,norabait joatea
urbiltzea,urbiltzea
igues lecua,iges lekua
igues toquia,iges tokia
lapurtoquia,lapurtokia
