danbolindari,dambolindaria
estalpe,eſtalpea
tarantula,tarantula
belukor,belucorra
belutu,belutu
belukor,belucorra
dardaratu,dardaratu
erbatz,erbatza
azkonar,azconarra
edontzi,edoncia
eutegi,euteguia
aduana,aduana
burkoi,burcoya
ikarati,icaratia
ikarati,icaratia
bildurgarri,bildurgarria
giro,guiroa
adina,adina
giro,guiroá
adina,adiná
eraldi,eraldia
zikoizkeria,cicoizqueria
kurrika,currica
zabaltzaile,zabaltzallea
eusle,euslea
eusle,euslea
zai,zaya
oinorde,oñordea
gitxitxo,guichicho
ganbusi,gambuſi
ganbusi,gambuſia
akabaila,acaballa
bukaera,bucaera
bukatu,bucatu
txal,chala
zekor,cecorra
txekor,checorra
zekorki,cecorquia
sabai,ſabaya
lurrikara,lurricara
lurtar,lurtarra
ikaragarriro,icaragarriro
barruti,barrutia
zokor,zocorra
izu,izua
burkoi,burcoya
larrantz,larranza
era,era
arreta,arreta
sendoro,ſendoro
guraize,guraiceac
lemari,lemaria
lemazain,lemazaina
tintontzi,tintoncia
tirakai,tiracaya
lasaitu,laſaitu
tirakai,tiracayac
erakai,eracaya
orgatila,orgatilla
ukiera,uquiera
txingar,chingarra
oraindio,oraindio
tolet,toletac
euskarri,euſcarria
ezkai,ezcaya
uztai,uztaya
talkari,talcaria
topatu,topatu
lepitxuli,lepichulia
okertu,oquertua
makurrera,macurrera
zezendari,cecendaria
toreatzaile,toreatzallea
toreatu,toreatu
matxitxukalde,machichucalde
usatortola,uſatortola
txaberama,chaberamá
makurrera,macurrera
txigortu,chigortu
erratz,erratza
katranbila,catrambilla
auzalan,auzalana
zilibokari,cilibocaria
tragotxo,tragochoa
salkindari,ſalquindaria
etoi,etoya
trantze,trancea
bestiruditu,beſtiruditu
erkitu,erquitua
erraldatu,erraldatu
eraldatu,eraldatu
eraldatu,eraldatua
danba,damba
danbadako,dambadacoa
iragazi,iragaci
iragazi,iragacia
matxitxukalde,machichucalde
aldaira,aldaira
erkitu,erquitua
eraldatu,eraldatu
motxaile,mochallea
kaskamotz,caſcamotza
motxaldi,mochaldia
txarkeria,charqueria
dendoste,dendoſtea
irabiatu,irabiatu
irabia,irabia
bultzatu,bultzatu
trataera,trataera
tratulari,tratularia
trabes,trabeſa
jostailu,joſtallua
geraldi,gueraldia
zingira,cinguira
lokatza,locatza
arazo,arazoa
sareztatu,ſareztatua
txirikorda,chiricorda
txirikordatu,chiricordatu
adastu,adaſtu
txirikordatu,chiricordatua
trailatu,traillatu
txoriburu,choriburu
puskatu,puſcatu
trinkete,trinquetea
trinkete,trinquetea
estaki,eſtaquiac
sabelandi,ſabelandia
tripandi,tripandia
trinkete,trinquete
oinkatu,oincatua
trukatzaile,trucatzallea
troglodita,troglodita
zorten,zortena
zurtoin,zurtoina
aldor,aldorra
txoro,choroa
puskatu,puſcatu
puskatu,puſcatua
ostots,oſtotſa
tulipai,tulipaya
elbarri,elbarria
elbarritu,elbarritu
tapitu,tapitu
trinkatu,trincatu
tapitu,tapitua
arre,arrea
txanda,chanda
turroi,turroya
zaitari,zaitaria
zaitari,zaitaria
zaitari,zaitaria
atzen,atzena
aputio,aputioa
adarbakotx,adarbacocha
erakide,eraquidea
erakida,eraquida
ikasola,icaſola
begirune,beguirunea
irazkai,irazcaya
estutu,eſtutu
sabelkide,ſabelquideac
geraldi,gueraldia
geraldi,gueraldia
geraldi,gueraldia
urdakeria,urdaqueria
zalantza,zalantza
balioztatu,balioztatu
banguardia,vanguardia
zardai,zardaya
zigorkada,cigorcada
mendeko,mendecoa
muskil,muſquilla
bezino,vecinoa
naspiltsu,naſpilſua
beilari,beillaria
kandelagile,candelaguillea
bilorri,bilorria
orein,oreña
garaipen,garaipena
pozoi,pozoya
beneno,venenoa
arraia,arraya
ondorengo,ondorengoac
zaintsu,zaintſua
puztu,puztu
egurastu,eguraſtu
sabeltxo,ſabelchoa
sabelandi,ſabelandia
udaldi,udaldia
ben,bená
berdetu,verdetu
barazki,barazquia
lotsati,lotſatia
lotsagarriro,lotſagarriro
egiaztatu,eguiaztatu
apote,apotea
aldakor,aldacorra
libruzai,libruzaya
lotots,lototſac
maskuri,maſcuria
bidajari,bidajaria
dardara,dardará
alderantziz,alderanciz
beirategi,beirateguia
beiragile,beiraguillea
aguretxo,agurechoa
atsokeria,atſoqueria
arreta,arreta
beilari,beillaria
bilaukeria,billauqueria
ardozale,ardozalea
biola,biola
biola,biola
txarrabeta,charrabeta
biolin,biolina
biolinista,bioliniſta
baztanga,baztanga
zorna,zorna
zornatu,zornatua
istinga,iſtingá
biskatsu,biſcatſua
likatsu,licatſua
ikuskera,icuſquera
ikusketa,icuſqueta
irudikor,irudicorra
ikustamen,icuſtamena
ikustamen,icuſtamena
ikustaldi,icuſtaldia
bisitazale,viſitazalea
ikustatu,icuſtatu
ikustatu,icuſtatua
elkargo,elcargoac
garaipen,garaipena
garaile,garailea
bizitasun,bicitaſuna
bizikor,bicicorra
bizitegi,biciteguia
bizkondesa,vizcondeſa
burubide,burubidea
ojulari,ojularia
deadarkari,deadarcaria
ojulari,ojularia
egaari,egaaria
egaari,egaaria
egaari,egaaria
sutokari,ſutocaria
irabiatu,irabiatu
birakor,biracorra
tomo,tomoa
gurata,gurata
nazkatu,nazcatu
osin,oſiná
iraulketa,iraulqueta
irabia,irabia
birunka,birunca
iraulketa,iraulqueta
makurrera,macurrera
aldaira,aldaira
zingira,cinguira
txara,chara
beresi,bereſia
txaradi,charadia
murgildu,murguildu
murgildu,murguildu
murgildu,murguildu
murgildu,murguildu
murgildu,murguildua
gonazpiko,gonazpicoa
atzen,atzena
arazo,arazoa
losentxa,loſencha
zankarte,zancartea
lubaki,lubaquia
zaparrada,zaparrada
zapatagile,zapataguillea
artze,artzeá
artzatu,artzatu
artzatu,artzatua
zirtzilu,circillua
masusta,maſuſta
sasitsu,ſaſitſua
puztu,puztua
gelbera,guelberá
zuntoi,zuntoya
zuntoi,zuntoya
azerikeria,azeriqueria
ezade,ezadea
zorrotxo,zorrochoa
