urtetsu,urtetſua
urteurren,urteurrena
urtetsu,urtetſua
gorrina,gorriná
begizko,beguizcoa
janaritu,janaritu
otzan,otzaná
arraia,arraiá
gozatzaile,gozatzallea
makilari,maquillaria
makilatu,maquillatu
lanperna,lamperna
prestamen,preſtamena
maneatzaile,maneatzallea
maneatu,maneatú
maneatu,maneatua
prestamen,preſtamena
alderagin,alderaguin
alderagin,alderaguiña
berezitu,berecitua
aparte,aparte
montoitu,montoitu
txingor,chingorra
deigarri,deigarria
izengain,icengaña
mastrikatu,maſtricatu
mastrikatu,maſtricatua
irozgarri,irozgarriac
gurdigile,gurdiguillea
prestamen,preſtamena
aginde,aguindea
itsatsi,itſatſi
itsatsi,itſatſia
txaola,chaola
izurritu,izurritu
izurritu,izurritua
zalegarri,zalegarria
astailar,aſtaillarra
errukitu,erruquitu
tontor,tontorra
pilatu,pillatua
trinkatu,trincatu
estutu,eſtutu
gozatzaile,gozatzallea
maltsotu,malſotu
oniritzi,oniritzi
lautu,lautú
lautu,lautua
dunduriatu,dunduriatu
olagaratu,olagaratú
dunduriatu,dunduriatua
olagaratu,olagaratuá
olagara,olagará
gitxitu,guichitu
gitxitu,guichitua
ezizen,ecicena
sits,ſitſac
naroro,naroró
zornatu,zornatu
zornatu,zornatua
bilguma,bilguma
irozerazo,irozerazo
irozerazo,irozerazoa
irozgarri,irozgarria
estimagarri,eſtimagarria
itsatsi,itſatſia
irudipen,irudipena
irudikor,irudicorra
prentsatu,prenſatu
estuerazo,eſtuerazo
trinkatu,trincatua
prestamen,preſtamena
estugarri,eſtugarriac
estutu,eſtutu
estutu,eſtutua
zikoitz,cicoitza
estutasun,eſtutaſuna
presaka,preſaca
saletxe,ſalechea
prestamen,preſtamena
gertuera,guertuera
maneatu,maneatu
maneatu,maneatua
hiretu,hiretu
joaira,joaira
zintzotasun,cintzotaſuna
estibatu,eſtibatu
estibatu,eſtibatua
itsatsi,itſatſi
itsatsi,itſatſia
ukabilkatu,ucabilcatua
bukatu,bucatú
gogaiterazo,gogaiterazo
estutu,eſtutua
jendedi,gendediac
barrunbe,barrumbea
urtar,urtarra
urdun,urduná
urtsu,urtſuá
armiarma,armiarma
goldeatu,goldeatu
goldatu,goldatu
erabaki,erabaquia
ezkurdui,ezcurduya
goiende,goyendea
etxakintza,echaquintza
zuzeleku,zucelecua
izeki,icequi
izeki,icequia
izeki,icequia
otadi,otadia
talkari,talcaria
armagile,armaguillea
ezkutarma,ezcutarma
likurtatu,licurtatu
bezinta,becintac
kutxazai,cuchazaya
kutxatxo,cuchacho
arrakada,arracadac
mordotu,mordotu
mordotu,mordotu
mordotu,mordotua
sustraitu,ſuſtraitú
sustraitu,ſuſtraitua
bakandu,bacandú
galantu,galantú
atzapartu,atzapartu
atzapartu,atzapartua
atzapartari,atzapartaria
kordebagetu,cordebaguetua
urduritu,urduritua
arrantzatu,arrantzatu
indartu,indartu
arautu,arautu
arautu,arautu
arautu,arautua
eskilaso,eſquilaſoa
ihakingile,ihaquinguillea
estutu,eſtutu
erabaki,erabaquia
irozgarri,irozgarria
zokoratu,zocoratu
baztertu,baztertu
zokoratu,zocoratua
kordebagetu,cordebaguetu
kordebagetu,cordebaguetua
astotu,aſtotu
erruz,errúz
erru,errua
goldatu,goldatu
laiatu,layatu
txirripa,chirripá
errekatxo,errecachoa
oguzi,ogucia
astigar,aſtigarrá
igoera,igoéra
goiende,goyendea
jainkoti,jaincotia
maneatu,maneatu
kirten,quirtena
kirtentxo,quirtenchoa
itsatsi,itſatſi
astazai,aſtazaya
astotxo,aſtochoa
matazatu,matazatua
ardore,ardorea
garrazkiro,garrazquiro
nazkatu,nazcatú
nagatu,nagatú
urdakeria,urdaqueria
zikinkeria,ciquinqueria
nazkagarri,nazcagarria
alogeratu,alogueratu
erasotzaile,eraſotzallea
asalda,aſſalda
ondoren,ondorena
ondorengo,ondorengoa
segurutu,ſegurutu
aurren,aurrena
zerratoki,cerratoquia
zerrauts,cerrautſa
zerratu,cerratu
kondar,condarrá
soildu,ſoildua
alogeratu,alogueratu
alogeratu,alogueratua
eguzkitu,eguzquitu
eguzkitu,eguzquitua
gorrerazo,gorrerazo
gorrarazi,gorraraci
ildaskatu,ildaſcatu
izartxo,izarchoa
estutu,eſtutu
jokotria,jocotria
arratz,arratza
arrazko,arrazcoa
gelbera,guelberá
erratilu,erratillua
txepeltasun,chepeltaſuna
lezoi,lezoyac
puskatu,puſcatu
zipotz,cipotza
zingiradi,cinguiradia
lokatza,locatza
trinkatu,trincatu
lokaztu,locaztu
lokaztu,locaztua
apainketa,apainqueta
nazkatu,nazcatua
nagatu,nagatua
izutu,izutu
zukuruztu,zucuruztu
arreta,árreta
begirune,beguirunea
eradoski,eradoſqui
titi,titia
eradoski,eradoſquia
itsuka,itſuca
itsumustuka,itſumuſtuca
espartzu,eſparzua
zuzkitu,zuzquitu
lokaztu,locaztu
lokaztu,locaztua
pozoitu,pozoitu
pozoi,pozoya
pozoitu,pozoitua
estutu,eſtutu
atrebentzia,atrebencia
odolgiro,odolguiroa
txit,chit
ojulari,ojularia
urduritu,urduritu
urduritu,urduritua
ikaragarriro,icaragarriró
urduritu,urduritua
inautsi,iñautſia
goiende,goyendea
urreztu,urreztua
eguantz,eguanza
garrazkiro,garrazquiró
liburugile,liburuguillea
laguntari,laguntaria
banguardia,vanguardia
mantal,mantala
gonagain,gonagaña
aurrerapen,aurrerapena
txoritxo,chorichoa
aguretu,aguretu
aguretu,aguretua
aizegin,aiceguin
aizeman,aiceman
bilakinde,billaquindea
bilakindetu,billaquindetu
bilakindetu,billaquindetu
okertu,oquertua
landertu,landertú
landertu,landertua
ozpindu,ozpindu
ozpindu,ozpindua
erresomindu,erreſomindu
piztarazi,piztaraci
azitrai,acitraya
asentsio,aſenſioa
erabaki,erabaquia
laguntari,laguntaria
erasan,eraſan
barautzaile,barautzallea
barautu,barautu
arbaltx,arbalcha
arbeltx,arbelcha
aitzurkada,aitzurcada
atxurkada,achurcada
otarratxo,otarrachoa
saskitxo,ſaſquichoa
urduritu,urduritua
sabai,ſabai
azotaldi,azotaldia
trabes,trabeſa
lurrinkai,lurrincaya
lurrunkai,lurruncaya
trabes,trabeſa
lurrinkai,lurrincaya
lurrunkai,lurruncaya
zikindu,ciquindu
zikindu,ciquindua
erausi,erauſi
hitzontzikeria,hitzontziqueria
berritsukeria,berritſuqueria
eskumakila,eſcumaquilla
baldan,baldana
azpikotu,azpicotua
burtzin,burciña
oinkari,oincaria
saiakera,ſayaquera
zuresi,zureſia
balazo,balazoa
baranda,barandá
balkoi,balcoya
elbarri,elbarria
elbarri,elbarri
laidotu,laidotu
laidotu,laidotua
lumera,lumerá
sain,ſaiña
sain,ſaiña
balekume,balecumea
saietera,ſayetera
otarra,otarra
zestera,ceſtera
banderatxo,banderachoa
erbestetu,erbeſtetua
buzkantz,buzcantzá
gaintxuritu,gainchuritua
bateotegi,bateoteguia
atelekatu,atelecatu
merketxo,merquechoa
bizartu,bizartu
bizartzar,bizartzarra
bizarkintegi,bizarquinteguia
bizarkintza,bizarquintza
bizarkin,bizarquiña
bizargile,bizarguillea
lubaki,lubaquia
likurtatu,licurtatu
likurtatu,licurtatua
baroe,baroea
txaola,chaola
puskatu,puſcatu
erratzatu,erratzatu
erratzatu,erratzatua
sabelandi,ſabelandi
etxadi,echadia
lokatza,locatza
lupetza,lupetza
lokaztegi,locazteguia
buztintsu,buztintſua
nazkatu,nazcatu
nagatu,nagatu
bastagin,baſtaguiña
eskumakila,eſcumaquilla
gudatu,gudatu
bidazain,bidazaina
txartasun,chartaſuna
txarkeria,charqueria
erabaki,erabaqui
txit,chit
zekor,cecorrá
erabelar,erabelarra
erabedar,erabedarra
zitalkiro,citalquiro
gaiztakin,gaiztaquiña
bedeikazio,bedeicacioa
ongite,onguitea
ontzaile,ontzallea
ongile,onguillea
ongiro,onguiró
ongiro,onguiroa
ongiro,onguiroa
eskumuin,eſcumuñac
aberetxo,aberechoa
aberekeria,aberequeria
aberetasun,aberetaſuna
musukatu,muſucatu
musuka,muſuca
errosel,erroſela
betarraga,betarraga
errozerba,errocerba
betun,betuna
liburutegi,liburuteguia
sardetxe,ſardechea
zoriontasun,zoriontaſunac
bigote,bigotea
zorrotxo,zorrochoa
birlo,birloa
birla,birlá
txano,chanoa
amabisaba,amabiſaba
aitabisaba,aitabiſaba
kontz,contzá
mantar,mantarrá
txuri,churia
jomuga,jomugá
txuritasun,churitaſuna
zalantzatu,zalanzatu
dardaratu,dardaratu
zuritzaile,zuritzallea
txuritu,churitu
ezkutarma,ezcutarmá
sargori,ſargoria
upategi,upateguia
upelategi,upelateguia
zai,zaya
ope,opea
gobada,gobadá
bogari,bogaria
aurren,aurrena
ontxo,onchoa
txit,chit
hitzontzi,hitzontzi
bordatzaile,bordatzallea
bordoi,bordoya
borla,borla
jasa,jasá
astakeria,aſtaqueria
txoro,choroa
ospil,oſpillá
itzai,itzaya
besakada,beſacada
besaldi,beſaldia
galtza,galtzac
