prestatu,preſtatua
apaindu,apaindua
defendatzaile,defendatzallea
josi,joſia
prisa,priſſa
etorri,etorri
pilatu,pillatua
pilakatu,pillacatua
montoitu,montoitua
montoikatu,montoicatua
batu,batua
biribilatu,biribillatua
pilatzaile,pillatzallea
montoikatzaile,montoicatzallea
salatu,ſalatu
akusatu,acuſatu
salatu,ſalatua
akusatu,acuſatua
salatzaile,ſalatzallea
akusatzaile,acuſatzallea
salaketa,ſalaqueta
akusazio,acuſacioa
esangi,eſanguia
erran komun,erran comuna
gidari,guidaria
aitzindari,aitzindaria
andere,andere
eder,ederra
edertu,edertua
txukun,chucuna
txukundu,chucundua
polit,polita
politatu,politatua
adar,adar
ezkutatze,ezcutatzea
estali,eſtalia
ezkutatu,ezcutatua
adarme,adarmea
aur,áurra
aurreratu,aurreratu
urratu,urratu
aitzinatu,aitzinatu
aitzindu,aitzindu
aurreratu,aurreratua
aurratu,aurratua
aitzinatu,aitzinatua
aitzindu,aitzindua
aurreratzaile,aurreratzallea
aurreratze,aurreratzea
aitzinatze,aitzinatzea
aurreratze,aurreratzea
aitzinatze,aitzinatzea
aurreragotu,aurreragotua
eroitzorri,eroitzorria
zorroztu,zorroztu
meaztu,meaztua
zorrotu,zorrotua
zorrozkun,zorrozcuna
zeken,cequen
koskatu,coſcatu
akastu,acaſtu
din,diña
adreztu,adreztua
zuzendu,zucendua
afari,afaria
prestatu,preſtatu
konpondu,compondu
maneatu,maneatua
zuzentzaile,zuzentzallea
maneatzaile,maneatzalleá
apaindu,apaindú
apaindu,apaindua
adere,aderea
maneakunde,maneacundea
trebatu,trebatú
trebatu,trebatua
arteztu,arteztú
trebatu,trebatú
trebeagotu,trebeagotua
zorreztatu,zorreztatua
zorrak egin,zorrac eguiña
niganatu,niganatu
nereganatu,nereganatu
neureganatu,neureganatu
hireganatu,hireganatu
niganatu,niganatua
zuganatu,zuganatua
eraskin,eraſquiñac
itsaskari,itſaſcariac
itsaskun,itſaſcuna
osagarri,oſagarria
dirutu,dirutu
dirutu,dirutua
zuzkitu,zuzquitua
adib,adibac
sametxi,ſamechiac
asmatu,aſmatu
aztiatu,aztiatú
igerri,iguerri
asmatzaile,aſmatzallea
azti,aztia
asmatze,aſmatzea
asmo,aſmoa
