EGOKITUA	UNIDECODE	JATORRIZKOA	SARASOLA	SARASOLA1745	WIKIDATA	OEH	OEHLINK
nagatsuro	nagatsuro	nagatſuró					
nazka	nazca	nazca	nazka	nazka	nazka	nazka	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=nazka
naga	naga	naga	naga	naga			
naz-	naz-	naz-					
eguraldia ondu	eguraldia ondu	eguraldia ondu					
ondotu	ondotu	ondotu					
ongitu	onguitu	onguitu	ongitu				
maltsotu	malsotu	malſotu	maltsotu	maltsotu			
ontzatu	ontzatu	ontzatú					
ontzat eman	ontzat eman	ontzát emán					
onegitu	oneguitu	oneguitu					
onegitzat eman	oneguitzat eman	oneguitzat eman					
ontzatua	ontzatua	ontzatua				ontzatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=ontzatu
ontzat emana	ontzat emana	ontzat emaná				ontzat eman	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=ontzat eman
artua	artua	artuá					
ontzatea	ontzatea	ontzátea					
aberatsa	aberatsa	aberatſá	aberats		aberats	aberats	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=aberats
dirutia	dirutia	dirutia					
onik asko duena	onic asco duena	onic aſco duena					
abundamiento	abundamiento	abundamiento					
abundar	abundar	abundar					
iori	iori	iorí					
ugari	ugari	ugari	ugari		ugari	ugari	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=ugari
naroro	naroro	naroró	naroro	naroro			
afiantzar	afianzar	afianzar					
ngarria	ngarria	ngarria					
Cimaurra	Cimaurra	Cimaurrá					
inaurki-	iñaurqui-	iñaurqui-					
zimaurtu	cimaurtu	cimaurtú	zimaurtu	zimaurtu			
inaurkindu	iñaurquindu	iñaurquindu					
basaratu	basaratu	baſaratú					
zimaurtua	cimaurtua	cimaurtua	zimaurtu	zimaurtu			
gorotzatua	gorotzatua	gorotzatua				gorotzatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=gorotzatu
inaurkindua	iñaurquindua	iñaurquindua				inaurkindu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=inaurkindu
basaratua	basaratua	baſaratua					
zimaurlea	cimaurlea	cimaurlea					
zimaurtzailea	cimaurtzallea	cimaurtzallea					
ertzaz ertzari ditxekala jartea	ertzaz ertzari dichecala jartea	ertzaz ertzari dichecala jartea					
ertzatu	ertzatu	ertzatu					
ertzatua	ertzatua	ertzatua				ertzatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=ertzatu
ertzaz ertzari alderatua	ertzaz ertzari alderatua	ertzaz ertzari alderatua					
