EGOKITUA	UNIDECODE	JATORRIZKOA	SARASOLA	SARASOLA1745	WIKIDATA	OEH	OEHLINK
gaitzerizkoa	gaitzerizcoa	gaitzerizcoa	gaitzerizkoa				
gaitzerestea	gaitzerestea	gaitzereſtea				gaitzereste	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=gaitzereste
gaiztesiera	gaiztesiera	gaizteſiera					
igoria	igoria	igoria				igori	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=igori
bertiztu	bertiztu	bertiztu	bertiztu	bertiztu			
bertitza	bertitza	bertitzá	bertitz	bertitz			
mugaitzean jaioa	mugaitzean jaioa	mugaitzean jaioa					
sortua	sortua	ſortua	sortu		sortu		
hume botatua	hume botatua	hume botatua					
bertitza	bertitza	bertitzá	bertitz	bertitz			
erditze gaitza	erditze gaitza	erditze gaitza					
hume botatzea	hume botatzea	hume botatzea					
uanditu	uanditu	uanditu					
buiasu	buyasu	buyaſu					
uanditua	uanditua	uanditua					
buiatua	buyatua	buyatua	buiatu	buiatu	buiatu	buiatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=buiatu
botinatua	botiñatua	botiñatua					
botuitu	botuitu	botuitu					
botoitzea	botoitzea	botoitzea					
botoitua	botoitua	botoitua	botoitu	botoitu		botoitu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=botoitu
motetu	motetu	motetú					
ninikatzea	ninicatzea	ninicatzea					
motetua	motetua	motetua					
motez jantzia	motez jancia	motez jancia					
uztaitu	uztaitu	uztaitu					
uztaiaren	uztayaren	uztayaren					
uztaitua	uztaitua	uztaitua				uztaitu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=uztaitu
uztaiatua	uztayatua	uztayatua					
uztaiaren gisa egina	uztayaren guisa eguiña	uztayaren guiſa eguiña					
ezarria	ezarria	ezarria	ezarri		ezarri	ezarri	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=ezarri
erre	erre	erre	erre		erre	erre	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=erre
errea	errea	errea	erre		erre	erre	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=erre
erretzailea	erretzallea	erretzallea	erretzaile		erretzaile	erretzaile	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=erretzaile
erre	erre	erre	erre		erre	erre	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=erre
erretzen	erretzen	erretzen	erretzen				
erredura	erredura	erredura	erredura		erredura	erredura	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=erredura
errapena	errapena	errapena				errapen	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=errapen
laztandu	laztandu	laztandu	laztandu		laztandu	laztandu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=laztandu
laztanegin	laztaneguin	laztaneguin					
eman	eman	eman	eman		eman	eman	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=eman
besarkatu	besarcatu	beſarcatu	besarkatu		besarkatu	besarkatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=besarkatu
arraiztu	arraiztu	arraiztu					
laztandua	laztandua	laztandua	laztandu		laztandu	laztandu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=laztandu
besarkatua	besarcatua	beſarcatua	besarkatu		besarkatu	besarkatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=besarkatu
arraiztua	arraiztua	arraiztua				arraiztu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=arraiztu
laztanaria	laztanaria	laztanaria				laztanari	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=laztanari
laztangilea	laztanguillea	laztanguillea					
laztan emailea	laztan emallea	laztan emallea				laztan emaile	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=laztan emaile
besarkaria	besarcaria	beſarcaria					
besarkatzailea	besarcatzallea	beſarcatzallea	besarkatzaile			besarkatzaile	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=besarkatzaile
ar aitzaria	ar aitzaria	ar aitzaria					
arraitzailea	arraitzallea	arraitzallea					
laztana	laztana	laztana	laztan		laztan	laztan	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=laztan
besarkatzea	besarcatzea	beſarcatzea				besarkatze	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=besarkatze
besarkera	besarquera	beſarquera					
arraizia	arraicia	arraicia	arraizia				
arpoiak	arpoyac	arpoyac	arpoi		arpoi	arpoi	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=arpoi
egoa	egoa	egoa			ego		
egoia	egoia	egoia					
ederatu	ederatu	ederatu					
edaran	edaran	edaran	edaran				
abereak edanerazo	abereac edanerazo	abereac edanerazo					
edanarazi	edanaraci	edanaraci	edanarazi				
abereak edateratu	abereac edateratu	abereac edateratu					
ederatua	ederatua	ederatua					
edarana	edarana	edarana	edaran			edaran	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=edaran
edanerazoa	edanerazoa	edanerazoa					
edanerazia	edaneracia	edaneracia					
edateratua	edateratua	edateratua					
abereen edatokia	abereen edatoquia	abereen edatoquia					
ederatokia	ederatoquia	ederatoquia					
laburtu	laburtu	laburtu	laburtu		laburtu	laburtu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=laburtu
txaburtu	chaburtu	chaburtu					
laburtua	laburtua	laburtua	laburtu		laburtu	laburtu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=laburtu
txaburtua	chaburtua	chaburtua					
laburtzailea	laburtzallea	laburtzallea				laburtzaile	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=laburtzaile
laburtaria	laburtaria	laburtaria					
txaburtzailea	chaburtzallea	chaburtzallea					
txaburtaria	chaburtaria	chaburtaria					
laburrera	laburrera	laburrera					
txaburrer	chaburrer	chaburrer					
lasterregizu	lasterreguizu	laſterreguizu					
ea agudo	ea agudo	ea agudo					
ea laster	ea laster	ea laſter					
biziro	biciro	biciró	biziro				
alperkerian sartzea	alperquerian sartzea	alperquerian ſartzea					
alper egitea	alper eguitea	alper eguitea					
alperkerian bizitzea	alperquerian vicitzea	alperquerian vicitzea					
alperkerian sartua	alperquerian sartua	alperquerian ſartua					
izia	icia	icia					
alper egina	alper eguiña	alper eguiña					
irekitzailea	irequitzallea	irequitzallea				irekitzaile	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=irekitzaile
otailaria	otallaria	otallaria	otailari	otailari		otailari	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=otailari
nozgeitza	nozgueitza	nozgueitza					
nozge-	nozgue-	nozgue-					
abrigatu	abrigatu	abrigatu					
arropaz	arropaz	arropaz					
edo bestela berotu	edo bestela berotu	edo beſtela berotu					
naiz	naiz	naiz					
zera	cera	cera	zera		zer	zer	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=zer
da	da	da					
otzetik gordetzea	otzetic gordetzea	otzetic gordetzea					
otza eragoztea	otza eragoztea	otza eragoztea					
kentzea	quentzea	quentzea				kentze	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=kentze
berotu	berotu	berotu	berotu		berotu	berotu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=berotu
nozgetu	nozguetu	nozguetu					
leku segurura biribil latzea	lecu segurura biribil latzea	lecu ſegurura biribil latzea					
leku seguruan gordetzea	lecu seguruan gordetzea	lecu ſeguruan gordetzea					
ezkutatzea	ezcutatzea	ezcutatzea				ezkutatze	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=ezkutatze
sartzea	sartzea	ſartzea				sartze	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=sartze
leku beroa	lecu beroa	lecu beroa					
otzetie gordea	otzetie gordea	otzetie gordea					
segurua	segurua	ſegurua	seguru		seguru	seguru	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=seguru
nozgea	nozguea	nozguea				nozge	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=nozge
abrigua	abrigua	abrigua	abrigu		abrigu	abrigu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=abrigu
eguzkiaz	eguzquiaz	eguzquiaz					
suaz berotzea	suaz berotzea	ſuaz berotzea					
beroa	beroa	beroa	bero		bero	bero	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=bero
pirila	pirilla	pirilla					
jorraila	jorrailla	jorrailla	jorrail	jorrail		jorrail	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=jorrail
idiki	idiqui	idiqui	idiki				
zabaldu	zabaldu	zabaldu	zabaldu		zabaldu	zabaldu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=zabaldu
ireki	irequi	irequi	ireki		ireki	ireki	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=ireki
burua autsi	burua autsi	burua autſi					
urratu	urratu	urratu	urratu	urratu	urratu	urratu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=urratu
erdiratu	erdiratu	erdiratu	erdiratu		erdiratu	erdiratu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=erdiratu
zeatu	ceatu	ceatu					
zatitu	zatitu	zatitu	zatitu		zatitu	zatitu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=zatitu
idikia	idiquia	idiquia	idiki			idiki	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=idiki
idikitua	idiquitua	idiquitua				idikitu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=idikitu
zabala	zabala	zabala	zabal			zabal	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=zabal
zabaldua	zabaldua	zabaldua	zabaldu		zabaldu	zabaldu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=zabaldu
autsia	autsia	autſia				autsi	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=autsi
urratua	urratua	urratua	urratu	urratu	urratu	urratu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=urratu
autsitua	autsitua	autſitua					
erdiratua	erdiratua	erdiratua	erdiratu		erdiratu	erdiratu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=erdiratu
zeatua	ceatua	ceatua					
zatitua	zatitua	zatitua	zatitu		zatitu	zatitu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=zatitu
idikiro	idiquiro	idiquiró					
idekiro	idequiro	idequiro					
zabalkiro	zabalquiro	zabalquiro	zabalkiro	zabalkiro			
ordagoa	ordagoa	ordagoa					
idikitzea	idiquitzea	idiquitzea					
idikie-	idiquie-	idiquie-					
idikipena	idiquipena	idiquipena					
zabaldura	zabaldura	zabaldura					
idikitzea	idiquitzea	idiquitzea					
zabaltzea	zabaltzea	zabaltzea				zabaltze	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=zabaltze
miaurtu	miaurtu	miaurtú					
azarraktu	azarractu	azarractu					
miaurtua	miaurtua	miaurtuá					
azarrakatua	azarracatua	azarracátua					
arrakatu	arracatu	arracatú					
hendedura	hendedura	hendedura					
arraka	arraca	arracá					
arrakada	arracada	arracadá	arrakada	arrakada	arrakada	arrakada	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=arrakada
indargea	indarguea	indarguea				indarge	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=indarge
indargetzea	indarguetzea	indarguetzea					
indarbagetzea	indarbaguetzea	indarbaguetzea					
legeren bat indargetu	legueren bat indarguetu	legueren bat indarguetú					
indarbagetin	indarbaguetñ	indarbaguetñ					
sasilarra	sasilarra	ſaſilarra	sasilar				
saparlarra	saparlarra	ſaparlarra					
burnilarrak	burnilarrac	burnilarrac					
zedeneztatu	cedeneztatu	cedeneztatu					
zerreneztatu	cerreneztatu	cerreneztatu					
zedenez	cedenez	cedenéz					
zerrenez bete	cerrenez bete	cerrenéz beté					
zedeneztatua	cedeneztatua	cedeneztatua				zedeneztatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=zedeneztatu
&k	&c	&c					
broqneldu	broqneldu	broqneldu					
ezkutatzea	ezcutatzea	ezcutatzea				ezkutatze	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=ezkutatze
ezkutuaz estaltzea	ezcutuaz estaltzea	ezcutuaz eſtaltzea					
gordetzea	gordetzea	gordetzea	gordetze			gordetze	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=gordetze
brokeldua	broqueldua	broqueldua				brokeldu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=brokeldu
ezkutatua	ezcutatua	ezcutatua	ezkutatu		ezkutatu	ezkutatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=ezkutatu
ezkutuaz estalia	ezcutuaz estalia	ezcutuaz eſtalia					
txitxare belaarra	chichare belaarra	chichare belaárra					
anditsu zornatua	anditsu zornatua	anditſu zornatua					
zolditua	zolditua	zolditua	zolditu	zolditu			
eskonder	esconder	eſconder					
ausentartse	ausentarse	auſentarſe					
absolitzea	absolitzea	abſolitzea					
askatzea	ascatzea	aſcatzea				askatze	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=askatze
deslotzea	deslotzea	deslotzea					
absolizioa	absolicioa	abſolicioa					
as-	as-	aſ-					
absoloigarriak	absoloigarriac	abſoloigarriac					
itxir	ichir	ichir					
ertsiroa	ertsiroa	ertſiróá					
guziro	guciro	guciró	guziro				
deblauki	deblauqui	deblauqui	deblauki				
deblaukiro	deblauquiro	deblauquiró					
inori eztitxekana	iñori eztichecana	iñori eztichecana					
gauzaren batean inoren bearrik ezteuana	gauzaren batean iñoren bearric ezteuana	gauzaren batean iñoren bearric ezteuana					
askatua	ascatua	aſcatua	askatu		askatu	askatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=askatu
itxiroko	ichiroco	ichirocó					
guzirok erausiak	guciroc erausiac	guciroc eráuſiac					
esak	esac	eſác					
hitzak	hitzac	hitzac	hitz		hitz	hitz	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=hitz
guziroko erausi batzuekin	guciroco erausi batzuequin	gucirocó erauſi bátzuequin					
sortatu	sortatu	ſortatú	sortatu				
arritu	arritu	arritu					
kordebagetuae bezala	cordebaguetuae bezala	cordebaguetuæ bezala					
sorra gelditzea	sorra guelditzea	ſorrá guelditzea					
arritzea	arritzea	arritzea					
kordebagetzea beezala	cordebaguetzea beezala	cordebaguetzea beézala					
txukatzaria	chucatzaria	chucatzaria					
idortaria	idortaria	idortaria					
zerbait egitetik gordetzea	cerbait eguitetic gordetzea	cerbait eguitetic gordetzea					
egiratzea	eguiratzea	eguiratzea					
pekatutik	pecatutic	pecatutic					
jokotik	jocotic	jocotic					
ardotik gordetzea	ardotic gordetzea	ardotic gordetzea					
begiratzea	beguiratzea	beguiratzea			begiratze	begiratze	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=begiratze
urrijalea	urrijalea	urrijalea				urrijale	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=urrijale
urriiaria	urriiaria	urriiaria					
gitxi jaten deuana	guichi jaten deuana	guichi jaten deuaná					
urrijaldura	urrijaldura	urrijaldura					
abstinennentzia	abstinennencia	abſtinennencia					
urrijalpena	urrijalpena	urrijalpena					
kordearen galtzeaz	cordearen galtzeaz	cordearen galtzeaz					
kordebagetzea	cordebaguetzea	cordebaguetzea					
berekikotzea	berequicotzea	berequicotzea					
buruaren ajolaz , arduraz bizitzea	buruaren ajolaz , arduraz bicitzea	buruaren ajolaz , arduraz bicitzea					
nere	nere	nere					
neurekikotua	neurequicotua	neurequicotua					
utseragoa	utseragoa	utſeragoa					
utseragotu	utseragotu	utſeragotu					
estalia	estalia	eſtalia	estali		estali	estali	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=estali
egokieza	egoquieza	egoquieza	egokiez	egokiez		egokiez	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=egokiez
egokibagea	egoquibaguea	egoquibaguea					
beartzakea	bearzaquea	bearzaquea					
bearreztana	bearreztana	bearreztana					
basoilarra	basollarra	baſollarra	basoilar		basoilar	basoilar	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=basoilar
kukurusta	cucurusta	cucuruſtá	kukurusta				
ate	ate	até	ate		ate	ate	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=ate
mueta	mueta	mueta	mueta				
egazti aztinantza gaiztoko bat	egazti aztinanza gaiztoco bat	egazti aztinanzá gaiztoco bat					
nola ere dan basoilarra	nola ere dan basollarra	nola ere dan baſollarrá					
amona	amona	amoná	amona	amona	amona	amona	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=amona
amanagusia	amanagusia	amanaguſia					
amasaba	amasaba	amaſaba	amasaba	amasaba			
amasoa	amasoa	amaſoa	amaso			amaso	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=amaso
amagoia	amagoya	amagoya	amagoi	amagoi		amagoi	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=amagoi
aitona	aitona	aitona	aitona	aitona	aitona	aitona	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=aitona
aitanagusia	aitanagusia	aitanaguſia					
aitasaba	aitasaba	aitaſaba	aitasaba	aitasaba			
aitasoa	aitasoa	aitaſoa	aitaso			aitaso	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=aitaso
aitagoia	aitagoya	aitagoya	aitagoi	aitagoi		aitagoi	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=aitagoi
asabak	asabac	aſabac	asab		asab	asab	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=asab
orrekin batean	orrequin batean	orrequin batean					
orrez naste	orrez naste	orrez naſte					
buiatua	buiatua	buiatua	buiatu	buiatu	buiatu	buiatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=buiatu
aurpegi ubel	aurpegui ubel	aurpegui ubel					
