arrandegi,arrandeguia
gor,gorra
kizkurtu,quizcurtu
kizkurtu,quizcurtua
basoratu,baſoratu
zikindu,ciquindu
likistu,liquiſtu
basitu,baſitu
zikindu,ciquindua
estali,eſtalia
estutu,eſtutu
garatu,garatu
elbarritu,elbarritua
aditzaile,aditzallea
aditu,aditu
aditu,aditua
entzun,enzun
jardun,jardun
aditu,aditu
aditu,aditua
jakin,jaquiña
ikasi,icaſia
saiatu,ſayatua
aditz,aditza
adiera,adiera
zentzu,centzua
ilundu,illundu
osatu,oſatu
osatu,oſatua
osaera,oſaera
samurtu,ſamurtu
oso,oſoa
kabala,cabalá
sendo,ſendoa
zulogile,zuloguillea
lurperatu,lurperatu
indartu,indartu
epeldu,epeldu
epeldu,epeldua
tintatu,tintatu
goibeldu,goibeldu
jaso,jaſoa
orduan,orduán
jiratu,giratu
jiratu,giratua
sorrera,ſorrera
okertu,oquertu
arka,arcaa
sarleku,ſarlecua
sartu,ſartu
barrenkoi,barrencoya
errai,errayac
errai,halſarrac
zatartu,zatartu
sartu,ſartu
barrendu,barrendu
sartu,ſartua
arte,arte
artean,artean
debekatu,debecatu
debekatu,debecatua
entregatu,entregatu
entrega,entrega
artetu,artetu
artetu,artetu
artetu,artetua
sarkor,ſarcorra
bakandu,bacandu
berezi,bereci
jostatu,joſtatu
dostatu,doſtatu
jostailu,joſtallua
tristetu,triſtetu
atsekabetu,atſecabetu
damutu,damutu
goibeldu,goibeldu
tristetu,triſtetu
tristetu,triſtetua
sortu,ſortu
sortu,ſortua
sorrera,ſorrera
arretu,arretu
arretu,arretua
sorrera,ſorrera
sortu,ſortu
gizondu,guizondu
aguretu,aguretu
pozoitu,pozoitu
pozoindu,pozoindu
pozoitu,pozoitua
atze,atzea
bialdu,bialdu
bidaldu,bidaldu
egorri,egorri
bialdu,bialdua
egorri,egorria
galdu,galdu
zaletu,zaletu
ederretsi,ederretſi
bekaitz,becaitza
ondamu,ondamua
bekaiztu,becaiztu
bekaizti,becaiztia
gutxitu,guchitu
gutitu,gutitu
urritu,urritu
gutxitu,guchitua
biluztu,billuztu
biluztu,billuztua
alargundu,alargundu
alargundu,alargundua
bilduma,bilduma
bildu,bildu
bildu,bildua
xalo,xaloa
txertatu,chertatu
eztitu,eztitu
txertatu,chertatua
eztitu,eztitua
txerto,chertoa
txukatu,chucatu
gantz,gantzá
putzontzi,putzontzia
ur,urrá
agertze,aguertzea
laburtu,laburtu
begitandu,beguitandu
begitandu,beguitandua
altxatzaile,alchatzallea
goratu,goratu
goititu,goititu
altxatu,alchatu
jaso,jaſo
goratu,goratua
laztu,laztu
laztu,laztua
eremutar,eremutarra
zoragarri,zoragarria
jakintza,jaquintza
jakintsu,jaquintſua
liraintasun,liraintaſuna
lirain,liraiña
laztasun,laztaſuna
latz,latza
zurubi,zurubia
eskala,eſcalá
baia,bayá
kai,cayá
eskalada,eſcaladá
eskalatzaile,eſcalatzallea
tolet,toletá
eskalatu,eſcalatu
eskalatu,eſcalatua
gori,goria
zurubi,zurubia
eskailera,eſcallera
ezkata,ezcatá
garbitu,garbitu
ateri,ateri
atertu,atertu
aterrune,aterrunea
aterraldi,aterraldia
garbitu,garbitu
ganbara,gambara
zizeilu,cicellua
eskapada,eſcapada
itzuri,itzuri
eskapatu,eſcapatu
itzuri,itzuria
eskapulario,eſcapularioa
kakalardo,cacalardoa
jorra,jorra
jorratzaile,jorratzallea
jorratu,jorratu
jorratu,jorratua
jorrai,jorraya
eskarlatina,eſcarlatina
isekari,iſecaria
isekatu,iſecatu
isekatu,iſecatua
iseka,iſeca
trufa,trufa
eskarola,eſcarola
eskarola,eſcarola
idoi,idoya
eskas,eſcas
urri,urri
urritu,urritua
jakingarri,jaquingarria
argitu,arguitu
argitu,arguitua
noble,noble
menpe,mempea
menpeko,mempecoa
erratz,erratzá
isats,iſatſá
garbitu,garbitu
erratz,erratzac
sumindu,ſumindu
kofia,cofia
irakurri,iracurri
aukera,auquera
goaitatu,goaitatu
ezkutatu,ezcutatu
estaldu,eſtaldu
ezkutatu,ezcutatua
eskopeta,eſcopeta
larrutu,larrutua
zepa,cepá
arrabio,arrabioa
lupu,lupua
sumin,ſumiña
sumin,ſumina
eskribau,eſcribaua
izkribatu,izcribatu
izkribatu,izcribatua
agerkai,aguercaya
eskritura,eſcritura
kota,cota
mingarri,mingarria
entzun,entzun
aditu,aditu
entzun,enzuná
aditu,aditua
aditzaile,aditzallea
ezkutari,ezcutaria
ezkutari,ezcutaria
katilu,catillua
ezkutu,ezcutua
eskol,eſcolac
zapo,zapoa
apo,apoa
bota,bota
labainkor,labaincorra
txukatu,chucatu
kemen,quemena
banda,bandá
gizatxar,guizacharra
urdin,urdiña
landu,landu
zabaldu,zabaldu
arte,artea
arte,ártea
astitsu,aſtitſua
geldi,gueldia
zabar,zabarra
espantagarri,eſpantagarria
izugarri,izugarria
izukor,izucorra
txorimalo,chorimaloa
espantatu,eſpantatu
ikaratu,icaratu
izutu,izutu
beldurtu,beldurtu
espantu,eſpantua
ikara,icara
izu,izua
bat,bat
bakan,bacan
banatze,banatzea
banatu,banatu
barreiatu,barreyatu
barraiatu,barrayatu
banatu,banatua
esparrago,eſparragoa
berezi,berecia
mota,motá
berezitu,berecitu
eder,ederra
ikusgarri,icuſgarria
ikusgarri,icuſgarria
ispilu,iſpillua
mirail,mirallá
esperantza,eſperanza
esperantzatu,eſperanzatu
iguriki,iguriqui
loditu,loditu
lodi,lodia
itxi,ichia
espiatu,eſpiatu
espiatu,eſpiatua
zelatatu,celatatua
buru,burua
burutu,burutu
zi,cia
ziri,ciria
miseria,miſeria
arantza,aranzá
ziazerba,ciacerba
bizkarrezur,bizcarrezurra
amu,amuac
elorri,elorria
alai,alaya
emaitza,emaitza
gaizkin,gaizquiñac
ugari,ugari
narotasun,narotaſuna
ugari,ugaria
ezproi,ezproya
bilatzaile,billatzallea
kentzaile,quentzallea
zorri,zorriac
bilatu,billatu
kendu,quendu
apar,aparra
bits,bitſa
hagun,haguna
hagun,haguna
apartsu,apartſua
zauri,zauria
borta,bortá
eskuadra,eſcuadra
eskuadra,eſcuadra
eskuadroi,eſcuadroya
txanel,chanela
ezkila,ezquilla
moztu,moztu
muskildu,muſquildua
muskil,muſquilla
izan,izana
izate,izatea
beste,beſte
iraunkor,irauncorra
egoitza,egoitza
egon,egoná
egoitza,egoitza
hein,heiña
bizibide,bicibidea
bizimodu,bicimodua
zartatu,zartatu
zartada,zartada
estanpatu,eſtampatu
geratu,gueratu
gelditu,guelditu
egoitza,egoitza
aintzira,aintzira
toki,toquia
leku,lecua
mamu,mamua
izugarri,izugarria
euri,euri
zuri,zuri
guri,guri
tailu,tallua
tailu,tallua
tailu,taillua
goroztegi,gorozteguia
soil,ſoillá
fauna,fauna
soiltasun,ſoiltaſuna
soildu,ſoildu
bularrezur,bularrezurra
goroztegi,gorozteguia
gorotz,gorotza
inaurkin,iñaurquina
basa,baſá
usatu,uſatu
estimagarri,eſtimagarria
estimagarri,eſtimagarria
prezio,precio
estimatu,eſtimatu
estimatu,eſtimatua
zirikatu,ciricatu
uda,udá
sari,ſaria
aloger,aloguera
estiratu,eſtiratu
luzatu,luzatu
estiratu,eſtiratua
luzatu,luzatua
erro,erroa
leinu,leiñua
estutu,eſtutu
estola,eſtola
urdail,urdalla
amelu,amelua
iltze,iltze
usain egin,uſaiñ eguin
gaizki,gaizqui
arrasatu,arraſatu
galdu,galdu
ezkel,ezquela
txirrika,chirrica
estutu,eſtutu
estu,eſtua
ferekatu,ferecatu
izar,izarra
izartu,izartua
izartxo,izarchoa
ikaratu,icaratu
ikaratu,icaratua
ikara,icara
emaitz,emaitzac
irozgarri,irozgarria
estribu,eſtribua
gaizki,gaizqui
zatar,zatarra
sorki,ſorquia
elbarritu,elbarritu
makaldu,macaldú
elbarritu,elbarritua
makaldu,macaldua
berezi,berecia
dunbots,dumbotſa
mastrikatu,maſtricatu
mastrikatu,maſtricatua
estudiante,eſtudiantea
estudiatu,eſtudiatu
estudio,eſtudioa
berotu,berotu
miragarri,miragarria
kiskaldu,quiſcaldu
beti,beti
betiko,beticoa
etiketa,etiqueta
sortze,ſortzea
egin,eguin
itzuri,itzuri
gertaera,guertaera
itzuri,itzuri
iraunkor,irauncorra
garraztu,garraztu
sumindu,ſumindu
menpe,mempea
gaindi,gaindia
gaindi,gaindia
ezautu,ezautu
ezautu,ezautua
esnatu,eſnatu
esnatu,eſnatua
ezautu,ezautu
kanporatu,camporatu
ezautu,ezautua
eskumiku,eſcumicua
kakatsu,cacatſua
kaka,cacá
aitzakia,aitzaquia
biltoki,biltoquia
gertaldi,guertaldia
lokabe,locabea
progu,progua
bukatu,bucatua
izate,izatea
irteera,irteera
apaindu,apaindu
edertu,edertu
atze,atzea
erbeste,erbeſte
eresi,ereſia
laster egin,laſter eguin
laster egin,laſter eguiña
laster,laſter
bizi,bicia
laster,laſterra
botatu,botatu
frogantza,froganza
frogatu,frogatu
froga,froga
garbitu,garbitu
zabaldu,zabaldu
azaldu,azaldu
erabaki,erabaqui
azaldu,azaldua
azaldu,azaldu
ikusi,icuſia
agiri,aguiria
jakin,jaquiña
azaldu,azaldua
botatu,botatua
zabaldu,zabaldu
luzatu,luzatu
zabaldu,zabaldua
luzagarri,luzagarria
argaldu,argaldu
kanpo,campoa
kanpoko,campocoa
kanporatu,camporatu
ateratu,ateratu
kanporatu,camporatua
atze,atzea
arrotz,arrotza
erdaldun,erdalduna
atzetu,atzetu
atzetu,atzetua
miretsi,miretſi
miretsi,miretſia
ikusgarri,icuſgarria
ikusgarri,icuſgarria
miragarri,miragarria
ongi,ongui
oliadura,oliadura
estura,eſtura
kanpoko,campocoa
ekintza,equintza
oliadura,oliadura
estura,eſtura
kanpoko,campocoa
ekintza,equintza
arkanbele,arcambelea
ele,elea
erausi,erauſi
gezurti,guezurtia
aurpegi,aurpegui
eder,eder
aurpegi,aurpeguia
aurre,aurrea
erraz,erraza
erraztu,erraztu
aisatu,aiſatu
erraz,erraz
eginkizun,eguinquizuna
mutil,mutilla
zeregin,cereguiña
aldaro,aldaroa
iragankor,iragancorra
falta,falta
falta,falta
gabe,gabea
faltatu,faltatu
akitu,aquitu
ale,alea
fama,fama
omen,omena
ospe,oſpea
familia,familia
etxadi,echadia
etxeko,echecoa
ospetsu,oſpetſua
anega,anega
olde,oldea
irudipen,irudipena
irudipen,irudipena
betetzaile,betetzallea
mintzo,mintzó
aizkora,aizcora
begizko,beguizcoa
begizkoa egin,beguizcoa eguin
begitandu,beguitandu
azkon,azcona
nazkatu,nazcatu
nazkatu,nazcatua
nazka,nazcá
goragale,goragalea
asmatzaile,aſmatzallea
neke,nequea
nekatu,necatu
unatu,unatu
nekatu,necatua
fabore,faborea
itsustasun,itſuſtaſuna
ugari,ugari
ugaritu,ugaritua
ugaritasun,ugaritaſuna
ugari,ugaria
zoriondu,zoriondu
bezero,beceroa
zorioneko,zorionecoa
felpa,felpa
felpa,felpa
bukatu,bucatu
hil,hil
bukaera,bucaera
fenix,fenixa
feri,feriac
eman,eman
jaiegun,jaieguna
legamia,legamia
sumindura,ſumindura
berotu,berotua
sutu,ſutua
prisa,priſſa
poztu,poztua
atsegin,atſeguiña
euskarri,euſcarria
festa,feſtá
poz,pozâ
atsegin,atſeguiñá
bozkario,bozcarioa
jai,jaya
jaiegun,jaieguna
egun,eguná
fest,feſtac
best,beſtac
buztinki,buztinquia
begitandu,beguitandu
tinkatu,tincatu
lerro,lerroa
irazi,iraci
iragazi,iragaci
iragazi,iragacia
irazki,irazcya
ertz,ertza
ezpain,ezpaina
kaka,cacá
ondoko,ondocoa
kedar,quedar
desenkusa,deſencuſa
desenkusatu,deſencuſatu
fin,fiña
zeru,cerua
fermu,fermua
iraunkor,irauncorra
fiskal,fiſcala
salatzaile,ſalatzallea
salatu,ſalatu
isekatu,iſecatu
iseka egin,iſeca eguin
isekari,iſecaria
saiatu,ſayatua
flauta,flauta
tinkatu,tincatu
argal,argal
tako,tacoa
argal,argala
ahul,ahula
hebain,hebaina
azote,azote
berri,berria
barri,barria
alde,aldeá
aldamen,aldamena
albo,alboa
argaltasun,argaltaſuna
putz,putza
txilibitu,chilibitua
negarti,negartia
sangria,ſangria
gezi,guecia
nagi,naguia
nagitasun,naguitaſuna
nagi,nagui
alper,alper
lore,lorea
lor,lorá
doitu,doitua
loreztatu,loreztatu
apaindu,apaindu
loretu,loretu
loratu,loratu
loretu,loretua
saroi,ſaroya
baso,baſoa
loredun,loreduna
flota,flota
ontzidi,oncidia
nagitasun,naguitaſuna
baldankeria,baldanqueria
lasai,laſai
nasaitasun,naſaitaſuna
geun,gueuna
ilaun,illauna
lasai,laſaia
nagi,naguia
zalantza,zalanzá
ibili,ibilli
jario,jarioa
sutegi,ſuteguia
sukalde,ſucaldea
bero,beroa
sutsu,ſutſua
nagi,naguia
alper,alperra
nagitasun,naguitaſuna
berotu,berotu
bero,beroa
berotasun,berotaſuna
materia,materia
eragile,eraguillea
kanpoko,campocoa
moldatzaile,moldatzallea
eraztu,eraztu
eraztu,eraztua
zuhain,zuhaina
indartsu,indartſua
indartu,indartu
sendotu,ſendotu
ustekabe,uſtecabea
fortuna,fortuna
fortuna,fortuna
zorion,zoriona
bortxatu,borchatu
premiazko,premiazcoa
indartsu,indartſua
banatu,banatua
desegin,deſeguiña
banatze,banatzea
fragata,fragata
zatikor,zaticorra
erorkor,erorcorra
puska,puſcá
zati,zatia
laztasun,laztaſuna
gogortasun,gogortaſuna
latz,latza
urrin,urrina
aldaro,aldaroa
franko,francoa
franko,francó
lokabe,locabea
ustekabe,uſtecabea
zatikor,zaticorra
zatitu,zatitu
eman,eman
emon,emon
lokabe,locabea
lokabe,locabea
anaitar,anaitarra
anaitasun,anaitaſuna
anaitar,anaitarra
garbitoki,garbitoquia
frijitu,frigitu
frijitu,frigitua
orro,orroa
amorratu,amorratua
ile,illeá
brida,bridá
bekoki,becoquia
betondo,betondoa
kopeta,copeta
belar,belarra
belarri,belarria
aurka,aurca
aurre,aurrea
usu,uſua
sarri,ſarria
usu,uſu
sarri,ſarri
berri,berria
freskura,freſcura
lizar,lizarrá
ferek,ferecac
ferekatu,ferecatu
frijitu,frigitua
fatxada,fachada
ekarri,ecarri
izurtu,izurtu
zimurtu,cimurtu
izurtu,izurtua
su,ſua
sukalde,ſucaldea
kanporatu,camporatu
lege,legueac
fuerte,fuertea
indartsu,indartſua
sendo,ſendoa
azkar,azcarra
zimel,cimelá
itzuri,itzuria
urlia,urlia
ziztatu,ciztatu
ziztatu,ciztatua
kealdi,quealdia
ketsu,quetſua
azal,azalá
zorro,zorroa
urtegi,urteguia
urtzaile,urtzallea
urtu,urtua
alor,alorra
negargarri,negargarria
progu,progua
sumin,ſumiña
urrun,urruña
beltz,beltza
fusil,fuſila
eskopeta,eſcopeta
irozgarri,irozgarria
etorkizun,etorquizuna
etorkizun,etorquizuna
lapur,lapurra
ohoin,ohoiña
galai,galaya
galant,galantá
emaile,emaillea
galantasun,galantaſuna
golardo,golardoa
sari,ſaria
sariztatu,ſariztatu
baldan,baldana
alper,alperra
tu,tua
kapusai,capuſaya
ganga,gangá
oilo,olloa
oilategi,ollateguia
zotal,zotalá
uztarri,uztarria
ele,elea
era,era
irabazle,irabazlea
irabazi,irabacia
kakodun,cacoduna
garbitzaile,garbitzallea
piztia,piztia
atzaparkada,atzaparcada
gorro,gorroa
erru,errua
gargara,gargara
zintzur,cintzurra
gangar,gangarra
garrote,garrotea
bizi,bici
gastatzaile,gaſtatzallea
aberia,aberia
mirotz,mirotza
kaio,cayoa
zale,zalea
izoztu,izoztua
leinu,leinua
leinu,leiñua
kasta,caſta
jendaila,gendalla
ezkutari,ezcutaria
airos,airoſa
berezko,berezcoa
garbi,garbia
lurtar,lurtarra
buruzagi,buruzaguia
karnaba,carnaba
jantzi,jancia
maitatu,maitatu
balakatu,balacatu
gloria,gloria
loria,loria
omen,omena
azaldu,azaldu
azaldu,azaldua
jale,jalea
tripontzi,triponcia
itsaskor,itſaſcorra
gobernari,governaria
lema,lema
manaiatu,manaiatu
gobernatu,gobernatu
kolpatu,colpatu
porrokatu,porrocatu
gizen,guicena
lodi,lodia
gizen,guicena
gizentasun,guicentaſuna
lodi,lodia
loditasun,loditaſuna
gorro,gorroa
poztu,poztu
eder,ederrá
ongile,onguillea
mingrana,mingrana
mingrana,mingrana
garautegi,garauteguia
apaindu,apaindu
irabazi,irabaci
erakarri,eracarri
irabazi,irabacia
bordari,bordaria
baserritar,baſerritarra
txingor,chingorra
txingor,chingorra
borda,borda
baserri,baſerria
etxalde,echaldea
garau,garaua
zikindu,ciquindua
gotortu,gotortu
pisu,piſua
pisutasun,piſutaſuna
astun,aſtuna
astun,aſtun
astungarri,aſtungarria
zirritu,cirritua
gatz,gatzá
koipe,coipea
biribil,biribillac
lodi,lodia
kurrunka,currunca
makatz,macatza
morroi,morroya
zaplada,zaplada
begiratze,beguiratzea
begirale,beguiralea
gordetzaile,gordetzallea
aldarri,aldarria
begiratu,beguiratu
zeken,cequena
sendatu,ſendatu
lagundu,lagundu
gerrari,guerraria
gerrazale,guerrazalea
gida,guida
aitzindari,aitzindaria
gidatu,guidatu
gidatu,guidatua
alper,alperra
kaio,cayo
ginga,guingá
aieru,ayerua
gisatu,guiſatua
jaki,jaquia
gai,gai
gaitu,gaitu
zintzotu,cintzotu
gaitu,gaitua
bizigarri,bicigarria
bizitegi,biciteguia
biztanle,biztanlea
bizitu,bicitu
aztura,aztura
erausle,erauslea
hitzontzi,hitzontzia
berritsu,berritſua
erausi,erauſia
hitzontzikeria,hitzontziqueria
berritsukeria,berritſuqueria
mintzo,mintzo
mintzatu,mintzatu
ipuin,ipuiña
eginkizun,eguinquizuna
egile,eguillea
nagi,naguí
azienda,acienda
pila,pilla
asmatzaile,aſmatzallea
asmatu,aſmatua
oles,oles
balakari,balacaria
balakatu,balacatu
balaku,balacua
mirotz,mirotza
begiratu,beguiratu
arkitu,arquitu
idoro,idoro
kausitu,cauſitu
eriden,eriden
egon,egon
arkitu,arquitua
gose,goſea
gose,goſe
gosetu,goſetu
goseti,goſetia
arroa,arroa
irin,iriña
irin,irina
irin,irin
ile,llea
harmonia,harmonia
mandazain,mandazaina
asealdi,aſealdia
ezpal,ezpala
nazka,nazcá
otamen,otamena
pago,pagoa
ergelkeria,erguelqueria
ergel,erguela
azkon,azcona
sorginkeria,ſorguinqueria
txoratu,choratu
egitura,eguitura
egite,eguitea
egitura,eguitura
kirats,quiratſa
kirastu,quiraſtua
usandu,uſandua
izozte,izoztea
izotz,izotza
lei,leyá
jela,gelá
izotz,izotza
lei,leya
izoztu,izoztu
pikatzaile,picatzallea
zirritu,cirritua
etendura,etendura
pitzatu,pitzatu
arrailatu,arrallatu
pitzatu,pitzatua
belardi,belardia
belartza,belartza
belartza,belartza
herentzia,herencia
zauri,zauria
eritu,eritua
zaurtu,zaurtua
anaitar,anaitarra
elkartu,elcartu
elkarte,elcartea
anaia,anaya
arreba,arreba
edertu,edertu
eder,ederra
galant,galanta
polit,polita
edertasun,edertaſuna
galantasun,galantaſuna
legen,leguena
errementari,errementaria
soro,ſoroa
ola,ola
burdinola,burdinola
olagizon,olaguizona
uger,uguerra
irakin,iraquin
irakin,iraquiña
zalantza,zalanza
noble,noblea
agiri,aguiria
jatorri,jatorri
izotz,izotza
lei,leya
jela,gelá
belar,belarra
gibel,guibelá
piko,picoa
seme,ſemeá
alaba,alaba
lasai,laſai
errenkada,errencada
irule,irulea
ardazle,ardazlea
irun,iruña
belaunikatu,belaunicatua
puztu,puztu
aditu,aditu
puztu,puztua
zaldi,zaldi
arrano,arrano
iletsu,illetſua
latz,latza
kondaira,condairá
mutur,muturra
sukar,ſucarra
orritu,orritu
hostatu,hoſtatu
orbel,orbela
or,ora
nasai,naſai
nasai,naſai
lasaitasun,laſaitaſuna
nasaitasun,naſaitaſuna
jostatu,joſtatua
lasai,laſai
nasai,naſai
alper,alperra
egon,egon
jostailu,joſtallua
kalkatu,calcatu
kedar,quedarra
gizon,guizona
gizondu,guizondu
gizatxar,guizacharra
sendagarri,ſendagarria
besaburu,beſaburua
soin,ſoiña
soin,ſoina
gizatxar,guizacharra
kondar,condarra
ondo,ondoa
ondo,ondoa
ondo,ondoa
ohoragarri,ohoragarria
ohoratu,ohoratu
ohoratu,ohoratua
jarrai,jarrai
jarraitu,jarraitu
zulatu,zulatu
zulatu,zulatua
zulo,zuloa
sutegi,ſuteguia
arbazt,arbaztac
arbazt,abarrac
likiskeria,liquiſqueria
barazki,barazquia
ostatatu,oſtatatua
arroztegi,arrozteguia
arroztegi,arrozteguia
eritegi,eriteguia
zulo,zuloa
igitai,iguitaya
golde,goldea
uztaldi,uztaldia
aztarna,aztarna
hatz,hatza
negarti,negartia
zurtz,zurtza
baratz,baratza
ostalari,oſtalaria
itzuri,itzuri
itzuri,itzuria
gizondu,guizondu
gizondu,guizondua
eman,eman
emaile,emallea
busti,buſtia
ongi,ongui
ketsu,quetſua
erabili,erabilli
ostu,oſtua
lapurreria,lapurreria
lapurreta,lapurreta
ardatz,ardatza
usandu,uſandu
golo,goloá
nagitasun,naguitaſuna
sutsu,ſutſua
sutu,ſutua
laido,laidoa
laidotsu,laidotſua
ezjakin,ezjaquin
ezjakin,ezjaquiña
berdindu,berdindu
berdintasun,berdintaſuna
iguana,iguana
ondore,ondorea
argigarri,arguigarria
irudi,irudia
irudikor,irudicorra
argal,argalá
imitagarri,imitagarria
imitatzaile,imitatzallea
imitatu,imitatu
besteratu,beſteratu
bi,bia
barrenkoi,barrencoya
aldaira,aldaira
aldeko,aldecoa
lokabe,locabea
lokabe,locabea
pazientzia,paciencia
eman,eman
emon,emon
elbarri,elbarria
elbarritu,elbarritua
elbarritu,elbarritu
eragozgarri,eragozgarria
bultzatu,bulzatu
bulkatu,bulcatu
bultzatu,bulzatua
ustekabe,uſtecabea
agindu,aguindu
menpetu,mempetu
jabari,jabaria
agintari,aguintaria
baia,baia
menpe,mempea
jabari,jabaria
mau,mau
erdietsi,erdietſi
bultzada,bultzada
motz,motza
egoki,egoqui
ke,que
mutiritasun,mutiritaſuna
ezindu,ecindu
ezindu,ecindua
ezin,eciña
moldiztegi,moldizteguia
irain,iraina
ezegoki,ezegoquia
ezegoki,ezegoquia
kontraesan,contraeſana
gertaera,guertaera
ustekabe,uſtecabea
jautsi,jautſi
erori,erori
erraustu,errauſtu
epaiketa,epaiqueta
makur,macur
makurtu,macurtu
makurtu,macurtua
gurtu,gurtu
gurtu,gurtua
grinatu,griñatua
kobraezin,cobraeciña
ezagutezin,ezaguteciña
ezegoki,ezegoquia
ondore,ondore
loditu,loditu
egoki,egoquia
egoki,egoqui
adierazkor,adierazcorra
gozakaitz,gozacaitza
bekaitz,becaitza
bekaiztu,becaiztu
bekaiztu,becaiztu
indiar,indiarra
manu,manua
sorrera,ſorrera
sor,ſorra
barkazio,barcacioa
nagitasun,naguitaſuna
nagi,naguia
alper,alperra
esanezin,eſaneciña
mea,mea
ezkutari,ezcutaria
kutsatu,cutſatu
kutsatu,cutſatua
gartu,gartu
sutu,ſutu
puztu,puztu
buiatu,buyatu
puztu,puztua
toles,toleſá
egikaritu,eguicaritu
egikaritu,eguicaritua
eraztu,eraztu
eraztu,eraztua
zatitzaile,zatitzallea
edergarri,edergarriac
edergailu,edergailluac
sartu,ſartua
traza,traza
bakun,bacuná
sarrera,ſarrera
irain,iraina
iraindu,iraindua
iraintsu,iraintſua
berezko,berezcoa
sinple,ſimple
tonto,tonto
berritzaile,berritzallea
berrizale,berrizalea
berritu,berritu
berritu,berritua
kontaezin,contaeciña
zenbatezin,cembateciña
ustekabeko,uſtecabecoa
gertu,guertú
ezinegon,eciñegona
bordari,bordaria
erauzi,eraucia
sor,ſorra
sortu,ſortua
zelatari,celataria
salatu,ſalatú
adieraztea,adieraztea
lela,lelá
gaza,gazá
lela,lelá
begiratze,beguiratzea
begiratzaile,beguiratzallea
atseden,atſeden
lipar,liparra
irakasle,iracaslea
lanabes,lanabeſa
agerkai,aguercaya
gozakaitz,gozacaitza
izerditu,icerditu
geza,gueza
eraso,eraſoa
oso,oſoa
kabala,cabalá
adia,adia
aditz,aditza
aditze,aditzea
adiera,adiera
adiera,adiera
aditzaile,aditzallea
jakin,jaquiña
jakintsu,jaquintſua
adigarri,adigarria
ekai,ecaya
artetu,artetu
irabazi,irabacia
interes,intereſa
maltzur,maltzurra
jabalaldi,jabalaldia
barrendu,barrendu
barnatu,barnatu
barrendu,barrendua
azaldu,azaldu
azaldu,azaldua
barrendu,barrendu
barneko,barnecoa
sarrera,ſarrera
ezdeustu,ezdeuſtu
negu,negua
negutu,negutu
antzinaro,anciñaro
negu,negua
ikusezin,icuſeciña
ikusezin,icuſeciña
arrendu,arrendu
arrendu,arrendua
zuri,zuri
guri,guri
irrigarri,irrigarria
desegin,deſeguin
desegin,deſeguiña
ezdeustu,ezdeuſtua
berriztu,berriztu
ezker,ezquerrá
berriztu,berriztu
ezker,ezquerrá
aztal,aztalá
txarro,charroa
jostailu,joſtallua
atsegin,atſeguiña
atsegin,atſeguiña
mizke,mizquea
aloger,aloguera
gazte,gaztea
nerabe,nerabea
mizke,mizquea
atsegin,atſeguiña
poz,poza
joko,jocoa
ostegun,oſteguna
jokalari,jocalaria
jokatu,jocatu
jokatu,jocatua
jostailu,joſtallua
zentzu,centzua
zamari,zamaria
abere,aberea
batu,batu
bildu,bildu
biribilatu,biribillatu
batu,batu
giltza,guiltza
zin,ciná
barruti,barrutia
menpe,mempea
eskupe,eſcupea
mende,mendea
justizia,juſticia
zuzendu,zucendu
hiztun,hiztun
lantegi,lanteguia
langile,languillea
nekazari,necazaria
baserritar,baſerritarra
urratu,urratu
urratu,urratua
lapur,lapurra
ohoin,ohoina
lapurreria,lapurreria
lapurreta,lapurreta
ohoinkeria,ohoinqueria
makartsu,macartſua
dolare,dolarea
musker,muſquerra
negar,negarra
malko,malcoa
negartsu,negartſua
auhen,auhena
bete,bete
itxi,ichi
argiontzi,arguiontzia
lanpara,lampara
argiontzi,arguiontzia
suerte,ſuerte
erosi,eroſi
lantzari,lanzaria
otarrain,otarraina
iletsu,illetſua
luzetasun,lucetaſuna
erruki,erruquia
urriki,urriquia
urrikalmendu,urricalmendua
kupitu,cupitu
kupitu,cupitua
zaurtu,zaurtu
lastatu,laſtatu
lastatu,laſtatua
alboko,albocoa
aldeko,aldecoa
aldameneko,aldamenecoa
zartada,zartada
zartadako,zartadacoa
luze,lucea
zabaltasun,zabaltaſuna
laudagarri,laudagarria
erramu,erramua
garbitoki,garbitoquia
garbitzaile,garbitzallea
garbiketa,garbiqueta
ikuzketa,icuzqueta
garbitzaile,garbitzallea
garbitu,garbitua
garbigarri,garbigarri
ikuzgarri,icuzgarria
lasaigarri,laſaigarri
laiari,layaria
itsumutil,itſumutilla
leialtasun,leyaltaſuna
erbikume,erbicumea
ugatz,ugatzâ
txerrikume,cherricumea
ontza,ontzá
irakurgarri,iracurgarria
legar,legarra
begiratu,beguiratu
barazki,barazquia
mina,miña
mi,mia
mihi,mihia
hizkuntza,hizcuntza
dialekto,dialecto
misto,miſtoa
misto,miſtoa
kako,cacoa
gozagarri,gozagarria
gozatu,gozatu
geldi,gueldi
dilista,diliſta
geldi,gueldia
geldiera,gueldiera
asti,aſtia
geldi,gueldia
astitsu,aſtitſua
egur,egurrá
egurgile,egurguillea
legenar,leguenarra
soraio,ſorayoa
jakin,jaquiña
jakintsu,jaquintſua
karkaba,carcaba
legamia,legamia
orantza,oranza
legamia,legamia
jasotzaile,jaſotzallea
altxaera,alchaera
jaso,jaſo
altzatu,altzatu
altxatu,alchatu
erauzi,erauci
gailendu,gallendu
arin,ariña
arintasun,arintaſuna
