arrandegi,arrandeguia
aitzindu,aitzindua
antzinate,anciñatea
aspaldiko,aſpaldicoa
antzinako,anciñacoa
paratu,paratu
gutiziatu,guticiatu
guraritu,guraritu
zale,zaleác
gurari,guráriac
gutizi,guticiác
gurari,guraria
zale,zalea
gutizia,guticia
burutazio,burutacioa
goibeldu,goibeldu
goibeldu,goibeldú
goibeldu,goibelduá
korapilatu,corapillatu
lotu,lotu
estutu,eſtutu
korapilatu,corapillatua
tu,tua
estutu,eſtutua
berri,berri
ile,llea
eman,emán
eraman,erámán
aldamio,aldamioa
emendio,emendioa
erantsi,eranſi
eratxeki,erachequí
erantsi,eranſia
eratxeki,erachequia
osatu,oſatú
ezen,ecen
urtetsu,urtetſua
zati,zatiac
pusk,puſcac
urteurren,urteurrena
urtetsu,urtetſua
anoa,añoá
gorrina,gorriná
gelditu,guelditu
begiztatu,beguiztatu
begiztatu,beguiztatua
begizko,beguizcoa
errun,errun
itxurako,ichuracoa
geldotu,gueldotú
bazkatu,bazcatu
janaritu,janaritu
otzan,otzaná
arraia,arraiá
gozatu,gozatú
baketa,baqueta
gozatu,gozatua
anparatu,amparatu
begiratu,beguiratu
lagundu,lagundu
anparatu,amparatua
emendatu,emendatu
itzali,itzali
atseden,atſeden
iraungi,iraungui
itzungi,itzungui
emendatu,emendatua
itzali,itzalia
atseden,atſedena
egarri,egarriac
irauli,irauli
makilatu,maquillatu
zatitu,zatitu
lanperna,lamperna
elkartu,elcartu
bildu,bildu
apal,apala
prestamen,preſtamena
berdindu,berdindu
ka,ca
ageri,agueri
agertu,aguertú
sortu,ſortú
agiri,aguiria
ageri,agueria
agertu,aguertuá
sortu,ſortuá
ageri,agueria
agertu,aguertua
agerpen,aguerpena
maneatzaile,maneatzallea
prestatu,preſtatú
maneatu,maneatú
prestatu,preſtatua
maneatu,maneatua
prestamen,preſtamena
lanabes,lanabeſac
irudi,irudiá
itxura,ichurá
parte,parte
berezi,bereci
apartatu,apartatua
berezi,berecia
berezitu,berecitua
atzeratu,atzeratu
idoki,idoqui
apartatu,apartatu
