item	izenburua	egile_izena	bertsioa	testu_orria	kodea
Q2005	Andoni deunaren bizitza	Federiko Belaustegigoitia	Q2004	https://monumenta.wikibase.cloud/wiki/Testua:BelaustegigoitiaAndoni/TEI	BelaustegigoitiaAndoni
Q2105	San Frantzisko Asiskoaren bizitza	Manuel Antonio Antia	Q2104	https://monumenta.wikibase.cloud/wiki/Testua:AntiaAsiskoa/TEI	AntiaAsiskoa
Q2111	Euskal olerkiak	Juan Bautista Gamiz Ruiz de Oteo	Q2110	https://monumenta.wikibase.cloud/wiki/Testua:GamizOlerkiak/TEI	GamizOlerkiak
Q2045	Alkar	Pedro Mari Otaño	Q2044	https://monumenta.wikibase.cloud/wiki/Testua:OtanoAlkar/TEI	OtanoAlkar
Q2055	Zerura nai duenak ar dezaken bide erraza	Jose Antonio Mikelestorena	Q2054	https://monumenta.wikibase.cloud/wiki/Testua:MikelestorenaZerura/TEI	MikelestorenaZerura
Q2059	Olerki-lan guztiak	Alejandro Tapia Perurena	Q2058	https://monumenta.wikibase.cloud/wiki/Testua:TapiaOlerkiak/TEI	TapiaOlerkiak
Q2067	Manual debozionezkoa	Joanes Etxeberri (Ziburukoa)	Q2066	https://monumenta.wikibase.cloud/wiki/Testua:EtxebZibuManual/TEI	EtxebZibuManual
Q2071	Kuartetak	Martin Iturbe Balda	Q2070	https://monumenta.wikibase.cloud/wiki/Testua:IturbeKuartetak/TEI	IturbeKuartetak
Q2077	Igandea edo Jaunaren eguna	Jean Pierre Arbelbide	Q2076	https://monumenta.wikibase.cloud/wiki/Testua:ArbelbideIgandea/TEI	ArbelbideIgandea
Q1981	Eleisako zazpi sakramentuben ikasikizuna	Frai Bartolome	Q1980	https://monumenta.wikibase.cloud/wiki/Testua:FraiSakramen/TEI	FraiSakramen
Q1955	Ama Birjiñaren agertziak	Franzisko Goñi	Q1954	https://monumenta.wikibase.cloud/wiki/Testua:GoniAgertziak/TEI	GoniAgertziak
Q2049	Ebaisto	Ignazio K. Nuñez Arizmendi	Q2048	https://monumenta.wikibase.cloud/wiki/Testua:NunezEbaisto/TEI	NunezEbaisto
Q2053	Karmela	Jean Pierre Harispe	Q2052	https://monumenta.wikibase.cloud/wiki/Testua:HarispeKarmela/TEI	HarispeKarmela
Q1505	Laborantzako liburua	Jean Duvoisin	Q1504	https://monumenta.wikibase.cloud/wiki/Testua:DuvoisinLaborantza/TEI	DuvoisinLaborantza
Q1541	Bible Saindua (III) - Testament Berria	Jean Duvoisin	Q1540	https://monumenta.wikibase.cloud/wiki/Testua:DuvoisinBibleaIII/TEI	DuvoisinBibleaIII
Q1619	Bible Saindua (I) - Testament Zaharra, 1. zathia	Jean Duvoisin	Q1618	https://monumenta.wikibase.cloud/wiki/Testua:DuvoisinBibleaI/TEI	DuvoisinBibleaI
