authorname,name_recon,wikidata
Jose Antonio Uriarte,Jose Antonio Uriarte,Q12260591
Sebastian Mendiburu,Sebastian Mendiburu,Q11947956
Antonio Maria Labaien,Antonio Maria Labaien,Q2857347
Juan Bautista Eguzkitza,Juan Bautista Eguzkitza,Q3187574
Joanes Haraneder,Joanes Haraneder,Q12260431
Federiko Belaustegigoitia,Federiko Belaustegigoitia,Q12257799
Jean Pierre Xabalgoiti,Jean Pierre Xabalgoiti,
"Nikolas Ormaetxea - ""Orixe""",Nikolas Ormaetxea,Q3356420
Antonio Maria Labaien,Antonio Maria Labaien,Q2857347
Augustin Anabitarte,Augustin Anabitarte,Q12254472
Jean Pierre Duvoisin,Jean Duvoisin,Q3169265
Jean Pierre Duvoisin,Jean Duvoisin,Q3169265
Mixel Xurio,Michel Churio,Q12263735
Juan Bautista Agirre,Juan Bautista Agirre,Q11929259
Resurreccion Maria Azkue,Resurreccion Maria Azkue,Q3109903
Juan Ignazio Iztueta,Juan Inazio Iztueta,Q9015632
Gregorio Arrue,Gregorio Arrue,Q12258729
Jean Martin Hiribarren,Jean-Martin Hiribarren,Q12261051
"Joanes Etxeberri - ""Etxeberri Sarakoa""",Joanes Etxeberri (Sarakoa),Q4890180
Agustin Kardaberaz,Agustin Kardaberaz,Q3325078
"Estepan Urkiaga - ""Lauaxeta""",Estepan Urkiaga,Q4891594
Resurreccion Maria Azkue,Resurreccion Maria Azkue,Q3109903
"Nikolas Ormaetxea - ""Orixe""",Nikolas Ormaetxea,Q3356420
Agustin Kardaberaz,Agustin Kardaberaz,Q3325078
Paulo Zamarripa,Paulo Zamarripa,Q12265639
Pedro Mari Otaño,Pedro Mari OtaÃ±o,
Jose Manuel Etxeita,Jose Manuel Etxeita,Q12260670
Ignazio K. Nuñez Arizmendi,Ignazio K. NuÃ±ez Arizmendi,
Sebastian Mendiburu,Sebastian Mendiburu,Q11947956
Jean Pierre Harispe,Jean Pierre Harispe,
Joseph Mikelestorena,Jose Antonio Mikelestorena,Q12260785
Jean Martin Hiribarren,Jean-Martin Hiribarren,Q12261051
Alejandro Tapia Perurena,Alejandro Tapia Perurena,Q12253153
Joanes Haraneder,Joanes Haraneder,Q12260431
Joanes Leizarraga,Joanes Leizarraga,Q2746075
"Alejandro Bilbao - ""Erramun Maruri""",Alejandro Bilbao,Q12253145
"Joanes Etxeberri - ""Etxeberri Ziburukoa""",Joanes Etxeberri (Ziburukoa),Q9012115
Antonio Maria Labaien,Antonio Maria Labaien,Q2857347
Martin Iturbe,Martin Iturbe Balda,Q12263155
Jean Etxepare Bidegorri,Jean Etxepare Bidegorri,Q11927447
Francisco Ignacio Lardizabal,Francisco Ignacio Lardizabal,Q8962397
Jean Pierre Arbelbide,Jean Pierre Arbelbide,Q12260315
Domingo Agirre,Domingo Agirre,Q3068808
Felipe Arrese Beitia,Felipe Arrese Beitia,Q3752448
"Nikolas Ormaetxea - ""Orixe""",Nikolas Ormaetxea,Q3356420
Domingo Agirre,Domingo Agirre,Q3068808
Xabier Lizardi,Jose Mari Agirre,Q3757000
"Nikolas Ormaetxea - ""Orixe""",Nikolas Ormaetxea,Q3356420
Klaudio Otaegi,Klaudio Otaegi,Q12261507
Federiko Garralda,Federiko Garralda,Q76854672
Sebastian Mendiburu,Sebastian Mendiburu,Q11947956
Jean Baptiste Kamusarri,Jean-Baptiste Kamusarri,Q12260292
"Tomas Agirre - ""Barrensoro""",Tomas Agirre,Q12268045
Juan Antonio Mogel,Juan Antonio Mogel,Q3321878
Sebastian Mendiburu,Sebastian Mendiburu,Q11947956
Manuel Antonio Antia,Manuel Antonio Antia,Q12262966
Silvain Pouvreau,Silvain Pouvreau,Q12267411
Piarres Lafitte,Piarres Lafitte,Q3138345
Juan Bautista Gamiz,Juan Bautista Gamiz Ruiz de Oteo,Q12260413
Joanes Haranburu,Joannes Haranburu,Q12260438
Jean Barbier,Jean Barbier,Q3170595
Jose Antonio Uriarte,Jose Antonio Uriarte,Q12260591
"Jean Elizalde - ""Zerbitzari""",Jean Elizalde,Q3175862
Bizenta Mogel,Bizenta Mogel,Q11705052
Juan Ignazio Iztueta,Juan Inazio Iztueta,Q9015632
Klaudio Otaegi,Klaudio Otaegi,Q12261507
Emeterio Arrese,Emeterio Arrese,Q11919124
Joakin Lizarraga,Joakin Lizarraga,Q4856112
Arturo Kanpion,Arturo Kanpion,Q2865943
Joanes Leizarraga,Joanes Leizarraga,Q2746075
"Joanes Etxeberri - ""Etxeberri Ziburukoa""",Joanes Etxeberri (Ziburukoa),Q9012115
Bernard Larregi,Bernard Larregi,Q12255114
"Jean Baptiste Larralde - ""Bordaxuri""","Jean Baptiste Larralde - ""Bordaxuri""",
