LAR_LEMMA_EGOKITUA	ANCHORTEXT	ANCHORLINK	EUS_CANDIDATES
abismo	abismo	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abismo	leicea, leiza, ondaleceá, leice ondar baguea, leiza ondoric baguea, eroria nago, ondatua nago baguetasunen, ta nequeen leice batean iñon diran miserien, ta calte gucien leicean nátza, gaiztaquerien leice@bat da, Jaincoa da ontasunaren, on gucien leice bat
abismar	abismar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abismar	leizatu, leicean ondatu
abismarse	abismarse	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abismarse	leizatu naiz, cera, da, &c
abismado	abismado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abismado	leizatua, leicean ondatua, somindúa egotea
abispon	abispon	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abispon	belzuntza, habea, eulitzarrá
abitaque	abitaque	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abitaque	
abitar	abitar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abitar	habitar
abito	abito	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abito	habito
abituar	abituar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abituar	habituar
abivar	abivar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abivar	avivar
abizcochado	abizcochado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abizcochado	bizcochatua
abla	abla	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abla	hablar
ablandar	ablandar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#ablandar	beraatú, biguindú, samurtú, ematú, bigunduegui, &c, arriac bigunduco ditu, gogorr dago, bañan samurtuco da, endulzar, enternecer, molso bat da, guelbera bat da
ablandarse	ablandarse	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#ablandarse	beraatu, naiz, cera da, &c
ablativo	ablativo	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#ablativo	ablativoa
ablentar	ablentar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#ablentar	aventar, aventador
abnegacion	abnegacion	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abnegacion	ucoa, bere burua ucatzea
abnegarse	abnegarse	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abnegarse	bere burua ucatú
abobar	abobar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abobar	embobarse, bobo
abocar	abocar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abocar	ozcatu, orzaz artu
abocar	abocar2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abocar2	avocar
abocar	abocar3	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abocar3	sutumpa@zucendu, aurqueratu
abocarse	abocarse	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abocarse	aurquetu, aurcatu, an aurquetu ciran
abocardado	abocardado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abocardado	aozbildua
abochornar	abochornar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abochornar	lamberotu, sargoritu, sargorituegui
abochornase	abochornase	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abochornase	lamberotu, sargoritu, naiz, cera, da, &c, chit dago sargori, guizona dago sargoritua, sucartua
abochornado	abochornado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abochornado	sargoritua, lamberotua, sucartua, sargoritueguia
abofetear	abofetear	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abofetear	masallean, belarondoan, bearriz aldean jo, bufetatu, bofetada
abofeteado	abofeteado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abofeteado	masalleanñ, &c, joa, bufetatua
