LAR_LEMMA_EGOKITUA	ANCHORTEXT	ANCHORLINK	EUS_CANDIDATES
raigambre	raigambre	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#raigambre	erronaspilla, sustrainaspilla, arraigar
raigon	raigon	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#raigon	erro, sustraitzarra
raigon	raigon2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#raigon2	aguin condarra
ralz	ralz	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#ralz	sustraya, erroa, funtsa, betarrá, ondoan, sustraitic, errotic, funtsetic
raja	raja	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#raja	voz, aracá, czpala, ez@palac
raja	raja2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#raja2	crrucá, cirritua, irriñartea
raja	raja3	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#raja3	oyal lodi bat
rajadillo	rajadillo	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rajadillo	arracochoa
rajar	rajar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rajar	pitzatu, pitz@atua
rajado	rajado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rajado	zucitua
rajarse	rajarse	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rajarse	arracatu
rajar	rajar2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rajar2	zucitu
rajabroqueles	rajabroqueles	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rajabroqueles	jaitaria, aguitz, ta anitz
rajante	rajante	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rajante	laurguitzallea
rajadura	rajadura	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rajadura	arracada
rajeta	rajeta	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rajeta	oyal navarra
rajuela	rajuela	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rajuela	ezpalchoa
ralea	ralea	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#ralea	arralea, arralea, arraria, arra, ale, aria, tz@allea
ralear	ralear	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#ralear	meastu, meatsunetu, bacandu
ralear	ralear2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#ralear2	ardalear
raleza	raleza	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#raleza	meatsunea, bacandea
ralladura	ralladura	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#ralladura	arradautsa, erazautsa
rallado	rallado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rallado	arradatua, chearratua, o@gui papurtua, lipertua
rallo	rallo	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rallo	arradacaya, chearcaya
rallon	rallon	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rallon	chabacia
ralo	ralo	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#ralo	meatsa bacana
rama	rama	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rama	adarra, adaquia, adacaya, tantaya
ramada	ramada	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#ramada	enramada
ramadan	ramadan	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#ramadan	Mdairuen garizuma
ramal	ramal	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#ramal	pildarioa
ramal	ramal2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#ramal2	ramo
ramalazo	ramalazo	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#ramalazo	pildariocada
rambla	rambla	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rambla	arenal
ramera	ramera	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#ramera	galotsa, bordiona, ematoroa
rameria	rameria	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rameria	galosqueria, bordionqueria, ematoroqueria
rameria	rameria2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rameria2	galosteguia, bordiondeguia, ematoroteguia
ramificacion	ramificacion	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#ramificacion	adacaitzea
ramificarse	ramificarse	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#ramificarse	adacaitu
ramficado	ramficado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#ramficado	adacaitua
ramillete	ramillete	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#ramillete	lorapilla, lorasorta, soca
ramillete	ramillete2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#ramillete2	goisopilla
ramilletero	ramilletero	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#ramilletero	lorapillaquiña, flocaguillea
ramilletero	ramilletero2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#ramilletero2	lorapilloncia
ramo	ramo	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#ramo	rama
ramo	ramo2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#ramo2	adarra
ramo	ramo3	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#ramo3	izurri pusca, ero antza
ramon	ramon	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#ramon	adarrac, tantayac, adarrac epaqui, adatsua, adaurutsua, adartsua, calambre, arraparia, tolertza, martutsa, iguela, inguela, zarrapoa, ugarayoa, renacuajo, galaldia, zu, rizpitua, rizpia, arraucar, elcarteguia, basatechea, elcartezaya, basatechezaya, elcartea, maintara, ballera, gartingatua, garriotua, gartinga, garrioa, cardamua, ardo, ardau, arno arrancioa, zarra anciñacoa, rancio, rencor, citarizca, citarizcaldia, orein mueta bat, chubilla, iguelchoa, &c, laugarren azala
raninas	raninas	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#raninas	mizainas, mingañeco zañac
ranquear	ranquear	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#ranquear	renquear
ranula	ranula	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#ranula	mi azpico anditsua, laiia, edasoia
rapacejo	rapacejo	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rapacejo	tiraltsia
rapaceria	rapaceria	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rapaceria	aurqueria, seinqueria, humequeria
rapacidad	rapacidad	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rapacidad	ostut, raco, ebasteraco griñv
rapacilla	rapacilla	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rapacilla	neisca chotilla
rapadura	rapadura	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rapadura	arradaera, arradaqueta
rapagon	rapagon	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rapagon	gazte bizarric eztuena
rapar	rapar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rapar	arra patu, arrazbatu, arrazpetu
rapado	rapado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rapado	arrapatua, rai, arradaria
rapante	rapante	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rapante	arraparia
rapaz	rapaz	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rapaz	arraparia
rapaz	rapaz2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rapaz2	humea, aurra, seiña
rapazada	rapazada	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rapazada	rapaceria
rapidamente	rapidamente	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rapidamente	farrasquiro
rapido	rapido	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rapido	farrasta, lasterra
rapiña	rapiña	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rapiña	arrapaqueria, arrauberria, chori egazti arraparia
rapiñar	rapiñar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rapiñar	arrapatu
rapista	rapista	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rapista	arradaria
raposa	raposa	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#raposa	azeria, azaria, asyeria
raposeria	raposeria	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#raposeria	azeriqueria
raposuno	raposuno	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#raposuno	azerigoquia
rapto	rapto	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rapto	hurto, robo
rapto	rapto2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rapto2	eetasis
rapto	rapto3	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rapto3	burura igotzea
rapto	rapto4	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rapto4	ostutzea, ostutzallea
raqueta	raqueta	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#raqueta	arraqueta, artequeta, artea, queta, jostaqueta ardazqueta, &c
raque	raque	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#raque	urraqueta
raramente	raramente	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#raramente	bacan, guichitan
rarefaccion	rarefaccion	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rarefaccion	arrotzea, uanditzea
rarefacerle	rarefacerle	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rarefacerle	arrotu, ianditu
raretacto	raretacto	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#raretacto	arrotua, &c
raridad	raridad	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#raridad	arrogoa, uandigoa
raridad	raridad2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#raridad2	artzia, bacantasuna
raro	raro	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#raro	arroa, uanditua, meatsa, bacan
raro	raro2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#raro2	bacan
ras	ras	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#ras	arras
rascon	rascon	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rascon	arras, berdiñez berdin
raladura	raladura	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#raladura	arrasquindea, mucuroz ta
ratamente	ratamente	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#ratamente	aguerriro
rasar	rasar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rasar	arrasatu, ras, arras, arrasatu, arrasquindu, mucurotatu
ralado	ralado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#ralado	arrasatua, mucuroztatua
rascador	rascador	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rascador	arrasquea
rascador	rascador2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rascador2	orratz arrasquea
rascadura	rascadura	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rascadura	arrascadura, atzaqueria
rascar	rascar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rascar	arrascatu, arraz ca
raiscar	raiscar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#raiscar	atzeguin, carracatu azcatu, atzá, azgalea, bere diña badarama
rasco	rasco	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rasco	rascadura, jostallua, jardunaya zaude
rascuñar	rascuñar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rascuñar	rasguñar
rasero	rasero	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rasero	arrasquiña, mucurozquiña, guciac@erabatera, guciac arrasquin batez
rasgadura	rasgadura	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rasgadura	rasgon
rasgar	rasgar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rasgar	arrasgueatu
rasgado	rasgado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rasgado	arrasgueatua, idiquia, zabala
rasgo	rasgo	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rasgo	arrasgoa, arrasgoa, izquirillea
rasgo	rasgo2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rasgo2	garbo
rasgon	rasgon	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rasgon	arrasgoya, etendura, urratura
rasguear	rasguear	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rasguear	arrasgueatu, izquiailletu
rasgueado	rasgueado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rasgueado	arrasgueatua, izquiailletua
rasguñarr	rasguñarr	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rasguñarr	átzapartu, acbapartu, eartaminchatu, atzapartua, &c
raguñar	raguñar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#raguñar	dibujar
rasguño	rasguño	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rasguño	carramincha achaparcada
rasguiio	rasguiio	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rasguiio	dibujo
rasilla	rasilla	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rasilla	arrasilla
rasionr	rasionr	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rasionr	rasura
raso	raso	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#raso	arrogoa
raso	raso2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#raso2	aguiria, aguerria, goitaguea
raso	raso3	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#raso3	utsa
raso	raso4	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#raso4	os garbi, osgarbitu, goita, uea, bala utsa, campora irten, urten, ol utsa, goitagueca
raspa	raspa	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#raspa	arlantza, espina
raspa	raspa2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#raspa2	arrasquea
raspa	raspa3	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#raspa3	rampujo
raspa	raspa4	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#raspa4	ciliboca
raspadura	raspadura	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#raspadura	raedura
raspar	raspar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#raspar	raer
raspar	raspar2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#raspar2	garchoa iduqui
raspar	raspar3	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#raspar3	hrtar
raspante	raspante	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#raspante	garra, garchoa
rasquetas	rasquetas	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rasquetas	arrasquea
rastillar	rastillar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rastillar	rasirillar
rastra	rastra	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rastra	lera, narrái, treina
rastrar	rastrar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rastrar	arrastrar
rastrear	rastrear	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rastrear	arrasteatu, arrastoari aztarnari, atrai
rasreado	rasreado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rasreado	arrasteatua, arrastoaàá aztarna artua
rastrero	rastrero	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rastrero	araquiñ laguna
rastrero	rastrero2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rastrero2	arrastacaria, arrastaca dijoana
rastrero	rastrero3	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rastrero3	arrastoan daquiena, dabillena
rastrillador	rastrillador	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rastrillador	charrancharia
rastrillar	rastrillar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rastrillar	escubarll tu
rastrillado	rastrillado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rastrillado	escubaretua
rastrilo	rastrilo	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rastrilo	charrancha
rastrillo	rastrillo	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rastrillo	escnbarea
rastrillo	rastrillo2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rastrillo2	queretatea
rastrillo	rastrillo3	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rastrillo3	jolcar ria
rastro	rastro	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rastro	arrasi toa, arrasdoa, rrastoa, aztarna, sena
rastro	rastro2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rastro2	rast@rillo
rastro	rastro3	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rastro3	mataderia, ilto quia
rastro	rastro4	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rastro4	barrutia
rastrogera	rastrogera	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rastrogera	galodonteguia
rastrojo	rastrojo	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rastrojo	galondoa gadayuntza
rasura	rasura	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rasura	bizarguitea, mochural motzidura
rasura	rasura2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rasura2	raedura
rasurar	rasurar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rasurar	bizarra eguin, moistu, motzitu, moztu
rata	rata	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rata	sagu emea, arnatemea
rata	rata2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rata2	arratoya, arratoya, erratoya, sagu andia, erratoya, errartoya, errotoya
rata	rata3	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rata3	taldia, dindea, doidea
rata	rata4	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rata4	taldiaz, dindez, doidez
ratafia	ratafia	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#ratafia	ratafia
ratear	ratear	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#ratear	prorratear
ratear	ratear2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#ratear2	listerrerietan tibilli
ratear	ratear3	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#ratear3	arrastaca ibilli
rateo	rateo	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rateo	
rateria	rateria	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rateria	literreria
ratero	ratero	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#ratero	listerra
ratero	ratero2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#ratero2	arrastaca doana
ratificacion	ratificacion	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#ratificacion	ichecoiguita, fermuguita
ratificar	ratificar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#ratificar	ichecoiguitu, fermuguitu
ratisicado	ratisicado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#ratisicado	ichecoiguitua
ratina	ratina	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#ratina	oyalgorria
rato	rato	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rato	raton, arestia, erastia
rato	rato2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rato2	arestiezquero, erasti ezquero
rato	rato3	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rato3	eraldi ona, edo gaistoa, aresti ondoan, eraldi utsetan, eraldizca, ascó, asqui ciran
rato	rato4	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rato4	ichecoya, fermua
raton	raton	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#raton	arratoya, erratoya, sagua, sabua
ratonar	ratonar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#ratonar	sagutu, orcharitu, orchicatu
ratonado	ratonado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#ratonado	sagutua, &c, ere e-ao
raudal	raudal	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#raudal	coage
raudo	raudo	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#raudo	coagetsua
rauta	rauta	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rauta	bidea artu
raya	raya	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#raya	
raya	raya2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#raya2	arraya, arraya, mará
raya	raya3	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#raya3	marr, mugá
raya	raya4	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#raya4	chaza, mugaraitu, muguetan, asquetan iduqui
rayano	rayano	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rayano	martarra, mugarra, mugatarra
rayar	rayar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rayar	arraiatu, marratu, arraiac, marrac eguin
rayar	rayar2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rayar2	ciarguitu
rayo	rayo	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rayo	raya
rayo	rayo2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rayo2	ciarguia, cirarguia, errañua
rayo	rayo3	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rayo3	besagá
rayo	rayo4	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rayo4	oñaztarria, oñazcarra, osticarria
rayuela	rayuela	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rayuela	arrayachoa, marracoa, tocan jocatu
raza	raza	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#raza	arraca, arraza, arrá
razago	razago	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#razago	mulotea, mulleuna
razon	razon	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#razon	eraldea, arrazoya, arrazoea, arrazsina, eraldez, arrozoyez, ondó, ongui, egoquiro
razon	razon2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#razon2	egoitzeogoquia, egoitzaren-@egoquia
razon	razon3	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#razon3	arrazoi guereztarra, jayet eraldea, eungatie bosteco eraldez, eraldera, bere buruaz contu eman, en quanto à, eraldetu, eral dera ecarri, eracarri, eraldezcoa da, eraldeari dagoecata da
razonable	razonable	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#razonable	eraldezcoa, eraldeari dagocana
razonable	razonable2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#razonable2	adiñona
razonablejo	razonablejo	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#razonablejo	adiñonchoa
razonablemente	razonablemente	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#razonablemente	eraldez, eraldezquirò
razonablemente	razonablemente2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#razonablemente2	adinon ui, adiñondo
razoral	razoral	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#razoral	racional
razonamiento	razonamiento	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#razonamiento	hitzaldia hiztaldia
razonar	razonar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#razonar	hiztaldiatu, hitzaldia eguin
razonar	razonar2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#razonar2	hitzeguin, ha blar
reaccion	reaccion	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#reaccion	bertiquera
reacio	reacio	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#reacio	leyatia, portitza
real	real	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#real	erreal cillarra
real	real2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#real2	erreal quarto
real	real3	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#real3	errealbicoa
rcal	rcal	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rcal	diagoitza
real	real4	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#real4	lau errealecoa
real	real5	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#real5	zortzi errealecoa
realce	realce	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#realce	gailora, golorea
realejo	realejo	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#realejo	betoschoa, organochoa
realete	realete	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#realete	diezyocheno
realeza	realeza	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#realeza	andigoya, andigoitea
rcalidad	rcalidad	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rcalidad	izatea, datea, izaira
realidad	realidad	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#realidad	menadea, eguia, izatez, ta datez, beguiaz ta eguiaz
realmente	realmente	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#realmente	izatez, eguiaz
realzar	realzar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#realzar	gainloratu, goloreztatu
realzado	realzado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#realzado	gainloratua, &c
reasumir	reasumir	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#reasumir	berrartu, berriz artu
reasumido	reasumido	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#reasumido	berrartua
reasuncion	reasuncion	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#reasuncion	berrartzea
reata	reata	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#reata	erroncaya
reata	reata2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#reata2	quideransia
reatadura	reatadura	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#reatadura	erroncaidura
reatar	reatar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#reatar	erroncaitu
reatado	reatado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#reatado	erroncaitua, erronca, erreca lotua
reato	reato	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#reato	miñondorecaya, miñondorea, gaitzondorea
reaventar	reaventar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#reaventar	berraizatu, berriz aizatu
rebalfa	rebalfa	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rebalfa	balsa, basá balsa
rebalsar	rebalsar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rebalsar	basaá, balsaeguin, balsatu
rebalsado	rebalsado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rebalsado	balsa eguiña
rebanada	rebanada	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/R#rebanada	ocorrá, cerrá, erraguetea
