LAR_LEMMA	EGOKITUA	SARASOLA
agaitua	agaitua	0
aganatu	aganatu	0
agapurua	agapurua	0
agapurucada	agapurukada	0
agapuruzaya	agapuruzaia	0
agarrar	agarrar	0
agasa-	agasa-	0
agasajatua	agasajatua	0
agasajatzallea	agasajatzailea	0
agasajatzea	agasajatzea	0
agasajo	agasajo	agasajo
agata	agata	agata
agateguia	agategia	0
agauaria	agauaria	0
agayaz	agaiaz	0
agnusa	agnusa	0
ago	ago	0
agoan	agoan	0
agoandea	agoandea	0
agoan jarri	agoan jarri	0
agoantatu	agoantatu	0
agoantegarria	agoantegarria	0
agoranduro	agoranduro	0
agorcaya	agorkaia	0
agorra	agorra	0
agorrilla	agorrila	agorril
agorrilquia	agorrilkia	0
agortasuna	agortasuna	agortasun
agortezgarria leorteciña	agortezgarria leortezina	0
agortua	agortua	agortu
agradatu	agradatu	agradatu
agravio	agrabio	agrabio
agripea	agripea	0
agripecoa	agripekoa	0
agripequiro	agripekiro	0
agripequiró	agripekiró	0
agripero	agripero	0
agriperó	agriperó	0
agripetu	agripetu	0
agripetua	agripetua	0
agripetzallea	agripetzailea	0
agripetzea	agripetzea	0
agua	agua	agu
aguapie	aguapie	0
agud	agud	0
agudeza	agudeza	0
agudo	agudo	agudo
agudó	agudó	0
aguederra	agederra	0
aguercaya	agerkaia	agerkai
agueri	ageri	ageri
agueria	ageria	ageri
aguerian	agerian	agerian
aguericho	ageritxo	0
aguerindea	agerindea	0
agueriro	ageriro	0
aguerlea	agerlea	agerle
aguerpena	agerpena	agerpen
aguerqueta	agerketa	agerketa
aguerquida	agerkida	0
aguerquidatu	agerkidatu	0
aguerquidea	agerkidea	0
aguerquiro	agerkiro	0
aguerrerazlea	agerrerazlea	0
aguerreraztea	agerreraztea	0
aguerria	agerria	agerri
aguerrian	agerrian	agerrian
aguerriro	agerriro	0
aguerriró	agerriró	0
aguertaraci	agertarazi	agertarazi
aguertaria	agertaria	0
aguertea	agertea	0
aguertu	agertu	agertu
aguertú	agertú	0
aguertua	agertua	agertu
aguertuá	agertuá	0
aguertucho bat	agertutxo bat	0
aguertzallea	agertzailea	agertzaile
aguertzea	agertzea	0
aguetua	agetua	0
aguiá	agiá	0
aguiá cerbaitena izan	agiá zerbaitena izan	0
aguian	agian	agian
aguicurra	agikurra	0
aguin-	agin-	0
aguin ,aguindn	agin ,agindn	0
aguinaldoa	aginaldoa	0
aguinbaguetua	aginbagetua	0
aguindaria	agindaria	0
aguindea	agindea	aginde
aguindecoa	agindekoa	0
aguindeduna	agindeduna	0
aguinde emallea	aginde emailea	0
aguindepean	agindepean	0
aguindetia	agindetia	0
aguindetiro	agindetiro	0
aguindetsua	agindetsua	0
aguindu	agindu	agindu
aguindua	agindua	agindu
aguinic baguea	aginic bagea	0
aguinsacalea	aginsakalea	0
aguinsacaya	aginsakaia	0
aguintaldia	agintaldia	agintaldi
aguintaria	agintaria	agintari
aguintari andiena	agintari andiena	0
aguintariarena	agintariarena	0
aguintaricoya	agintarikoia	0
aguintari ondorengoa	agintari ondorengoa	0
aguintizquira	agintizkira	0
aguintopoa	agintopoa	0
aguintza	agintza	agintza
aguintzallea	agintzailea	agintzaile
aguintzea	agintzea	0
aguiracaria	agirakaria	agirakari
aguiracatu,aguira utsac eguin	agirakatu,agira utsac egin	0
aguira utsa	agira utsa	0
aguiri	agiri	agiri
aguiria	agiria	agiri
aguirian	agirian	0
aguiriduna	agiriduna	0
aguirudia	agirudia	0
aguirudiro	agirudiro	0
aguitz	agitz	0
aguitz estutu	agitz estutu	0
aguitz estutua	agitz estutua	0
aguiztu	agiztu	0
agujade ensalmar	agujade ensalmar	0
agujero	agujero	0
agurea	agurea	agure
aguré acurtua	aguré akurtua	0
agurearen	agurearen	0
agurechoa	aguretxoa	aguretxo
agur eranzun	agur erantzun	0
aguresyarra	agurexarra	0
aguretu	aguretu	aguretu
aguretua	aguretua	aguretu
aguretzarra	aguretzarra	0
agúre zarrá	agúre zarrá	0
agurguillea	agurgilea	0
agurioá	agurioá	0
agurioguea	aguriogea	0
agurquida	agurkida	0
agurquidatu	agurkidatu	0
agurra	agurra	0
agurrac	agurrak	0
agurreguin	agurregin	0
agurtaria	agurtaria	0
agurtenac	agurtenak	0
agurtu	agurtu	agurtu
agurtua	agurtua	agurtu
agurtzallea	agurtzailea	agurtzaile
ahacoa	ahakoa	ahakoa
ahaicá	ahaicá	0
ahaicagarria	ahaikagarria	0
ahaicaria	ahaikaria	ahaikari
ahaicatu	ahaikatu	ahaikatu
ahaicatua	ahaikatua	ahaikatu
ahaicatzallea	ahaikatzailea	ahaikatzaile
ahaicoa	ahaikoa	ahaikoa
ahaicoac	ahaikoak	0
ahaicobatza	ahaikobatza	0
ahalca	ahalka	0
ahalcá	ahalcá	0
ahalcagabe	ahalkagabe	0
ahalcagabea	ahalkagabea	0
ahalca gabea	ahalka gabea	0
ahalcagabequi	ahalkagabeki	0
ahalcagabetu	ahalkagabetu	0
ahalcagal	ahalkagal	0
ahalca galdu	ahalka galdu	0
ahalcagarria	ahalkagarria	ahalkagarri
ahalcagarriro	ahalkagarriro	0
ahalcatia	ahalkatia	0
ahalcatu	ahalkatu	ahalkatu
ahalcatua	ahalkatua	ahalkatu
ahalduæa	ahalduæa	0
ahalduna	ahalduna	ahaldun
ahalechoa	ahaletxoa	0
ahalpetu	ahalpetu	0
ahalquea	ahalkea	ahalke
ahalquetia	ahalketia	ahalketi
ahalquetu	ahalketu	ahalketu
ahalquetua	ahalketua	ahalketu
ahaltuna	ahaltuna	0
ahanci	ahantzi	ahantzi
ahaneiaraci	ahaneiarazi	0
ahanzcorra	ahantzkorra	0
ahanztu	ahantztu	0
ahanztura	ahantztura	0
