zikoizkeria,cicoizqueria
ziega,ciegá
ziertoro,ciertoro
zigorkada,cigorcada
zilibokari,cilibocaria
zilibokatu,cilibocatu
zilibokatu,cilibocatua
zimaur,cimaurra
zimaurtu,cimaurtu
zimaurtu,cimaurtú
zimaurtu,cimaurtua
zimel,cimelá
zimikatu,cimicatu
zimiko,cimicoa
zintzilika,cincilica
zingila,cinguilla
zingilatu,cinguillatu
zingilatu,cinguillatua
zingira,cinguira
zingira,cinguirá
zingiradi,cinguiradia
zintzatu,cintzatu
zintzo,cintzó
zintzo,cintzoa
zintzoki,cintzoqui
zintzoro,cintzoró
zintzotasun,cintzotasuna
zintzotu,cintzotu
zintzotu,cintzotua
zipotz,cipotza
zikindu,ciquindu
zikindu,ciquindua
zikinkeria,ciquinqueria
zikirio,ciquirioa
zirtzilu,circillua
zirtzilu,circilluac
zirtzilu,circiluac
zirikatu,ciricatu
zirikatu,ciricatua
ziriku,ciricua
zirraida,cirraida
zirritu,cirritua
zitalkiro,citalquiro
zitara,citara
ziur,ciurra
ziur,ciurrá
ziztatu,ciztatu
ziztatu,ciztatua
klaustro,claustroa
kokorika,cócorica
koipatu,coipatua
koipe,coipea
koipetsu,coipetsua
koipeztatu,coipeztatu
koitadu,coitadua
kolka,colca
kolpeatu,colpeatu
konpontzaile,compontzallea
komutatu,comutatua
kondaira,condairá
kondairagile,condairaguillea
kondairale,condairalea
kondar,condarra
kondar,condarrá
kondar,condarrac
kontatzaile,contatzallea
kontrabandista,contrabandista
kontrabando,contrabandoa
kontradantza,contradanza
kontraesan,contraesan
kontraesan,contraesana
kontramaisu,contramaisua
kontrapozoi,contrapozoia
kontukintza,contuquintza
kontz,contza
kontz,contzá
korbata,corbata
kordebagetu,cordebaguetu
kordebagetu,cordebaguetua
korrika,corrica
kosko,coscoa
kosna,cosná
kostoma,costoma
kostoma,costomá
kriselu,criselu
kriselu,criselua
krisket,crisqueta
krokodilo,crocodiloa
kuia,cuiá
kulpadun,culpaduna
kupidakor,cupidacorra
kupidatu,cupidatu
kupidatu,cupidatua
kupitu,cupitu
kupitu,cupitua
kurpil,curpilla
kurrika,currica
kurrunka,currunca
kurrunkari,curruncaria
kutun,cutuná
kuturtu,cuturtua
damandre,damandrea
damasko,damascoa
danba,damba
danbadako,dambadacoa
danbatako,dambatacoa
danbolindari,dambolindaria
damorri,damorria
dardara,dardará
dardaratu,dardaratu
deabrudun,deabruduna
deadarkari,deadarcaria
deigarri,deigarria
dendatu,dendatu
dendatu,dendatua
dendoste,dendostea
desagertu,desaguertu
desalaitu,desalaitu
desalaitu,desalaitua
desanparatu,desamparatu
desberdindu,desberdindu
desegoki,desegoquia
deserri,deserria
deserritu,deserritu
deserritu,deserritua
deserrotu,deserrotu
desestali,desestali
desestali,desestalia
desitsatsi,desitsatsi
deslaitu,deslaitu
deslaitu,deslaitua
deslai,deslaya
desleialtasun,desleyaltasuna
desloratu,desloratu
deslotu,deslotu
desneke,desnequea
desobeditu,desobeditu
desordu,desordua
deboto,devotoa
diabetatu,diabetatu
dialektika,dialectica
dianagusi,dianagusia
diatu,diatu
diatu,diatua
dierri,dierria
dina,diña
dindirri,dindirria
diosal,diosala
diosal,diosalac
dirualdi,dirualdia
disidu,disidú
distiatzaile,distiatzallea
doan,doan
doarik,doaric
donekidatu,donequidatu
donekidatu,donequidatua
donestatu,donestatu
donestatu,donestatua
donestu,donestu
donestu,donestua
doneti,donetia
dongaro,dongaro
dongaro,dongaró
dongetasun,donguetasuna
dongetu,donguetu
donkitu,donquitua
duende,duendea
dunbots,dumbotsa
dunduriatu,dunduriatu
dunduriatu,dunduriatua
durundi,durundia
ekadoi,ecadoya
ekantza,ecantzá
ekantza,ecanza
ekantza,ecanzá
ekarrai,ecarraia
ekarrai,ecarraya
ekauta,ecauta
ekautu,ecautu
ekautu,ecautua
ezerezkeria,ecerezqueria
ezereztu,ecereztu
ezereztu,ecereztú
ezereztu,ecereztua
ezizen,ecicena
edaski,edasqui
edolarik,edolaric
edontzi,edoncia
edoskaldi,edoscaldia
egaadun,egaaduna
egaari,egaaria
egoera,egoera
egokiez,egoquieza
egokinde,egoquindea
egokiro,egoquiro
egokiro,egoquiró
egorle,egorlea
eguantz,eguanza
egiaztatu,eguiaztatu
egikaritu,eguicaritu
egikaritu,eguicaritua
egiera,eguiera
egitura,eguitura
egunari,egunaria
egundu,egundu
egurastu,egurastu
egurastu,egurastú
egurastu,egurastua
egurgile,egurguillea
egurkin,egurquiña
eguzkitu,eguzquitu
eguzkitu,eguzquitua
elai,elaya
elbarri,elbarri
elbarri,elbarria
elbarritasun,elbarritasuna
elbarritu,elbarritu
elbarritu,elbarritua
elkargo,elcargoa
elkargo,elcargoá
elkargo,elcargoac
elkarkide,elcarquidea
elkarte,elcartea
elder,eldera
eldubage,eldubaguea
elizai,elizaya
eltasun,eltasuna
eltzegile,eltzeguillea
eltzekin,eltzequiña
emakumetu,emacumetu
emakumetu,emacumetua
emasabeldar,emasabeldarra
ematoro,ematoroa
enaseria,enaseria
entregatu,entregatu
enura,enurá
epaiketa,epaiqueta
epaitu,epaitu
epaitu,epaitua
epakera,epaquera
ekida,equida
ekidatu,equidatu
ekidatu,equidatua
era,era
era,eraa
erabage,erabagué
erabage,erabaguea
erabagetu,erabaguetua
erabaki,erabaqui
erabaki,erabaquia
erabedar,erabedarra
erabelar,erabelarra
erabide,erabidea
erakaitz,eracaitza
erakaitz,eracaitzá
erakai,eracaya
eradoski,eradosqui
eradoski,eradosquia
eragozketa,eragozqueta
eraldatu,eraldatu
eraldatu,eraldatua
eraldi,eraldia
eralki,eralqui
erantsi,eransi
erantsi,eransia
erantsi,eransiá
erantzuera,eranzuera
erakida,eraquida
erakidatu,eraquidatu
erakidatu,eraquidatua
erakide,eraquidea
erara,erara
erasan,erasan
erasotzaile,erasotzallea
erausi,erausi
erausi,erausia
erausi,erausiac
erausle,erauslea
eraz,eraz
eraz,éraz
erbatz,erbatza
erbeste,erbeste
erbeste,erbestea
erbestetu,erbestetu
erbestetu,erbestetua
erbikume,erbicumea
erbinude,erbiñudea
erdiesle,erdieslea
eremuar,eremuarra
eremuar,eremuarrá
erikor,ericorra
eripetu,eripetu
eripetu,eripetua
eritegi,eriteguia
erizain,erizaina
erlabio,erlabioa
erlasdura,erlasdurá
erlezai,erlezaia
erlezain,erlezaina
ernegatu,ernegatu
eroakizun,eroaquizuna
eronde,erondea
erosketa,erosqueta
erosta,erosta
erpindu,erpindu
erpindu,erpindua
erpuru,erpurua
erkindu,erquindu
erkindu,erquindua
erkitu,erquitu
erkitu,erquitua
errakai,erracaya
errakor,erracorra
erragosi,erragosi
erragosi,erragosia
erraldatu,erraldatu
erranditsu,erranditsua
erraki,erraquia
errakin,erraquiña
erratilu,erratillua
erratz,erratza
erratz,erratzá
erratz,erratzac
erratzatu,erratzatu
erratzatu,erratzatua
errauli,erraulia
erraustegi,errausteguia
errazkiro,errazquiro
errebelatu,errebelatu
errebelatu,errebelatua
errebota,errebota
errebote,errebotea
errezel,errecela
errezelo,erreceloa
errezeta,erreceta
erregatu,erregatua
erreinaldi,erreinaldia
erremate,errematea
errementari,errementaria
errentari,errentaria
errepublika,errepublica
erresa,erresa
erres,erresac
erresistitu,erresistitu
erresomindu,erresomindu
errespetotsu,errespetotsua
errestatu,errestatua
erretablo,erretabloa
erretrato,erretratoa
errezo,errezoa
errozerba,errocerba
erroitz,erroitza
erroiztu,erroiztu
erroiztu,erroiztua
errosel,errosela
errotazai,errotazaya
erru,errua
erru,erruá
errudun,errudun
errudun,erruduna
errukitsu,erruquitsua
errukitu,erruquitu
errukitu,erruquitua
errutsu,errutsua
erruz,erruz
erruz,errúz
eskala,escalá
eskani,escañi
eskani,escañia
eskapulario,escapularioa
eskarola,escarola
eskopeta,escopeta
eskoplo,escoploa
eskuadra,escuadra
eskuadroi,escuadroya
eskukatu,escucatu
eskudatu,escudatu
eskudatu,escudatua
eskudatzaile,escudatzallea
eskumakila,escumaquilla
eskuzorro,escuzorroa
esegi,esegui
eseki,esequi
eseki,esequia
esonde,esondea
espa,espá
espartingile,espartinguillea
espartzu,esparzua
eskergero,esquerguero
eskergero,esquergueró
eskerti,esquertia
eskertsu,esquertsua
eskilaso,esquilasoa
estalgetu,estalguetu
estalgile,estalguillea
estalpe,estalpea
estandarte,estandarte
estandarte,estandartea
estaki,estaqui
estaki,estaquia
estaki,estaquiac
estera,estera
estiba,estiba
estibatu,estibatu
estibatu,estibatua
estimagarri,estimagarria
estomago,estomagoa
estuerazo,estuerazo
estugarri,estugarriac
estutasun,estutasuna
estutasun,estutasúna
estutu,estutu
estutu,estutua
etartu,etartu
etartu,etartua
etoi,etoya
eulitzar,eulitzarra
eulitzar,eulitzarrá
eultza,eultza
euritsu,euritsua
euskarri,euscarria
eusle,euslea
eutegi,euteguia
eiaka,eyaca
ezabizi,ezabicia
ezade,ezadea
ezagutezin,ezaguteciña
ezaindu,ezaindua
ezkatadun,ezcataduna
ezkai,ezcaya
ezkurdi,ezcurdia
ezkurdui,ezcurduia
ezkurdun,ezcurduna
ezkurdui,ezcurduya
ezkutape,ezcutapea
ezkutarma,ezcutarma
ezkutarma,ezcutarmá
ezpatagile,ezpataguillea
ezpatakin,ezpataquiña
ezpatatu,ezpatatu
ezproi,ezproya
eztitu,eztitu
eztitu,eztitua
farragarri,farragarria
fedebagetu,fedebaguetu
felpa,felpa
fidakaiztu,fidacaiztu
fidakaiztu,fidacaiztua
fineza,finezá
firma,firmá
forru,forrua
frasko,frascoa
gaiso,gaisoa
gaitzbide,gaitzbidea
gaitzegoki,gaitzegoquia
gaitzesgarri,gaitzesgarria
gaitzetsigarri,gaitzetsigarria
gaitzurre,gaitzurrea
gaizkiagotu,gaizquiagotu
gaizkindu,gaizquindu
gaizkindu,gaizquindú
gaizkindu,gaizquindua
gaiztakin,gaiztaquiña
gaiztotasun,gaiztotasuna
gaiztratatu,gaiztratatu
gaiztratatu,gaiztratatua
galaikiro,galaiquiro
galantu,galantu
galantu,galantú
galantu,galantua
galai,galaya
galdatu,galdatu
galdatu,galdatua
galduan,galduan
galeper,galeperra
galera,galerá
galkidatu,galquidatu
galkidatu,galquidatua
galtz,galtzac
ganbela,gambelá
ganbusi,gambusi
ganbusi,gambusia
gamelu,gamelua
gameluzai,gameluzaya
gandor,gandorra
gandortu,gandortu
gandortu,gandortua
garaile,garailea
garaipen,garaipena
garaitezin,garaiteciña
gararno,gararnoa
gararnogile,gararnoguillea
gararnotegi,gararnoteguia
garau,garaua
garau,garauac
garautegi,garauteguia
garautu,garautua
garbiketa,garbiqueta
garbitoki,garbitoquia
garbo,garbo
garestia,garestia
garestitu,garestitu
garestitu,garestitua
gargara,gargara
garlopatu,garlopatu
garlopatu,garlopatua
garrazkiro,garrazquiro
garrazkiro,garrazquiró
garraztu,garraztu
garraztu,garraztú
garraztu,garraztua
gartza,gartzá
gatzaga,gatzaga
gautar,gautarra
gabiazai,gaviazaya
gabieta,gavieta
gazeta,gazeta
gaztagin,gaztaguiña
gaztanbera,gaztambera
gaztelar,gaztelarra
gazteluzai,gazteluzaya
gaztekeria,gaztequeria
gaztetu,gaztetu
gaztetu,gaztetua
gaztun,gaztuna
gazur,gazurá
gazuratu,gazuratu
gazuratu,gazuratú
gazuratu,gazuratua
jela,gelá
jendedi,gendedia
jendedi,gendediac
jira,gira
jiraka,giraca
goarpe,goarpea
gobada,gobada
gobada,gobadá
gogaikarri,gogaicarria
gogaitarazi,gogaitaraci
gogaiterazo,gogaiterazo
gogoangarri,gogoangarria
gogorkiro,gogorquiro
gogorkiro,gogorquiró
goiende,goiendea
goldari,goldaria
goldatu,goldatu
goldeatu,goldeatu
gonazpiko,gonazpicoa
gordari,gordaria
gordategi,gordateguia
gordatzaile,gordatzallea
gorni,gornia
goroztegi,gorozteguia
gorpuzdun,gorpuzduna
gorpuztun,gorpuztuna
gorrarazi,gorraraci
gorrerazo,gorrerazo
gorrina,gorrina
gorrina,gorriná
gorrindu,gorrindu
gorrindu,gorrindú
gorro,gorroa
goiartu,goyartu
goiende,goyendea
gozatzaile,gozatzallea
guaiako,guayacoa
gubia,gubia
guzialdun,gucialduna
guda,guda
guda,gudá
gudari,gudaria
gudatu,gudatu
gudatu,gudatua
gelbera,guelberá
gelkaitz,guelcaitza
geldiera,gueldiera
geldo,gueldoa
geraldi,gueraldia
gerrazale,guerrazalea
gertaera,guertaera
gertuera,guertuera
girlanda,guirlandá
giro,guiroa
giro,guiroá
gisatu,guisatua
gizadi,guizadia
gizatzar,guizatzarra
guraize,guraiceac
gurata,gurata
gurdibide,gurdibidea
gurdigile,gurdiguillea
gurpil,gurpilla
gurte,gurtea
harmonia,harmonia
hilduratu,hilduratu
hiretu,hiretu
hisialdi,hisialdia
hitzaldi,hitzaldia
hitzaldiatu,hitzaldiatua
hitzaurre,hitzaurrea
hitzontzi,hitzontzi
hitzontzi,hitzontzia
hitzontzikeria,hitzontziqueria
hizkunde,hizcundea
ibaizaldi,ibaizaldia
ibilkor,ibilcorra
ibilera,ibillera
ibilizale,ibillizalea
ibiltari,ibiltaria
