a.odá,a.oda
alpertu,alpertu
alpertzarra,alpertzarra
alpertzea,alpertzea
alpetu,alpetu
alpetua,alpetua
alporcha,alporkha
alqui,alki
alqui estalquia,alki estalkia
alquichoa,alkikhoa
alquichona,alkikhona
alquigaiña,alkigaina
alquilagarri,alkilagarri
alquilatua,alkilatua
alquilatzallea,alkilatzailea
alquilera,alkilera
alsarquia,altsarkia
alsiquia,altsikia
alt oaldia,alt oaldia
altareco apaingarria,altareko apaingarria
altareguillea,altaregilea
alteguian sartu,altegian sartu
alteguitu,altegitu
alteguitua,altegitua
alteguizaya,altegizaia
alteracion,alterazion
alteratu,alteratu
alternadamente,alternadamente
altiitea,altiitea
altio,altio
altistama,altistama
altiste itsatsiac,altiste itsatsiak
altivez,altibez
altoa,altoa
altsiac oyalari quendu,altsiak oialari kendu
altsiatu,altsiatu
altuna,altuna
altza,altza
altzadura,altzadura
altzaera,altzaera
altzairutu,altzairutu
altzairutua,altzairutua
altzairutzallea,altzairutzailea
altzinean,altzinean
altzoac acitu,altzoak azitu
altzoduna,altzoduna
alubia,alubia
alubias,alubias
alumno,alumno
alzaera,altzaera
alzatia,altzatia
alzoac jasotzea,altzoak jasotzea
alzutea,altzutea
ama bijoya,ama bijoia
ama-,ama-
amabi urtecoa,amabi urtekoa
amabichia,amabikhia
amabigarren partea,amabigarren partea
amabosgarrena,amabosgarrena
amabost urte,amabost urte
amagarriró,amagarriro
amaguchia,amagukhia
amaica gueibechiduna,amaika geibekhiduna
amaicagarrena,amaikagarrena
amaicaldecoa,amaikaldekoa
amaicaurquecoa,amaikaurkekoa
amairualdia,amairualdia
amairugarrena,amairugarrena
amaizatea,amaizatea
amalau,amalau
amalauduna,amalauduna
amalaugarrena,amalaugarrena
amalaur,amalaur
amanagusia,amanagusia
amancillar,amantzilar
amanecer,amanezer
amañoa,amanoa
amapola,amapola
amapontecoa,amapontekoa
amar,amar
amar laguneco bilguma,amar laguneko bilguma
amar rtea,amar rtea
amaraci,amarazi
amaracia,amarazia
amarazcorra,amarazkorra
amarazlea,amarazlea
amarcitzallea,amartzitzailea
amarduna,amarduna
amarena,amarena
amaroina,amaroina
amarratzallea lotutzallea,amarratzailea lotutzailea
amarren escusatua,amarren eskusatua
amarrena,amarrena
amarrenace emaæ dechematu,amarrenaze emaae dekhematu
amarrendeguia,amarrendegia
amarrendu,amarrendu
amarrenen biltzallea,amarrenen biltzailea
amarrenen irurquiac,amarrenen irurkiak
amarrengoa,amarrengoa
amarruqui,amarruki
amartaria,amartaria
amartea,amartea
amartearen nagusia,amartearen nagusia
amataguna,amataguna
amatigatu ematu,amatigatu ematu
amatigatzalea,amatigatzalea
ambala,anbala
ambalaria,anbalaria
ambaldu,anbaldu
ambalquiro,anbalkiro
ambapiderra,anbapiderra
ambaquidatu,anbakidatu
ambaquidatua,anbakidatua
ambaquintza,anbakintza
ambasala,anbasala
ambat,anbat
ambat ta erdicoa,anbat ta erdikoa
ambataria,anbataria
ambatatua,anbatatua
ambatea,anbatea
ambateguia,anbategia
ambatequicoa,anbatekikoa
ambatetu,anbatetu
ambatetua,anbatetua
ambatqui-,anbatki-
ambatquida,anbatkida
ambatquidatu,anbatkidatu
ambidea,anbidea
ambrosiá,anbrosia
amcescoya,amzeskoia
amedrentar,amedrentar
ameluzcoa,ameluzkoa
amenazas,amenazas
amenbearra,amenbearra
amenbeartaria,amenbeartaria
amenchoa,amenkhoa
amenidad,amenidad
amerazlea,amerazlea
amerazó,amerazo
amesaria,amesaria
ametsac eguin,ametsak egin
ametsetan egon,ametsetan egon
amezaga,amezaga
amezqueta,amezketa
amiatigoa,amiatigoa
amiesquina,amieskina
amil-,amil-
amilca botatu,amilka botatu
amilca botatua,amilka botatua
amildea,amildea
amillla,amiila
amiltzea,amiltzea
amiruna almidoya,amiruna almidoia
amirunda,amirunda
amirundu,amirundu
amistad,amistad
amizcleduna,amizkleduna
amntsiatú,amntsiatu
amodiobague,amodiobage
amodiotsuqui,amodiotsuki
amodiotsuquiro,amodiotsukiro
amodioz,amodioz
amodiozco prenda,amodiozko prenda
amodo,amodo
amonabia,amonabia
amonestacion,amonestazion
amontonar,amontonar
amorantia,amorantia
amorantian,amorantian
amorde elortelano,amorde elortelano
amordea,amordea
amoriobaguea,amoriobagea
amorraisca,amorraiska
amorreriagueritu,amorreriageritu
ampará,anpara
ampollachoa,anpoilakhoa
ampurua,anpurua
ampurutia,anpurutia
ampurutu,anpurutu
amultsuró,amultsuro
amuruscaria,amuruskaria
amuruscorra,amuruskorra
amuruscoya &c,amuruskoia &k
amurusia,amurusia
amurusian ibilli,amurusian ibili
amurusquiro,amuruskiro
amurutsua,amurutsua
amutsuro,amutsuro
amutsuró,amutsuro
an,an
aña,ana
añá,ana
anacardozco maneanzabat,anakardozko maneantzabat
añaceac,anazeak
anagea,anajea
anai erallea,anai erailea
anai erayoa,anai eraioa
anaiguisá,anaigisa
anaiquidagoa,anaikidagoa
anaitarquiro,anaitarkiro
anaitarquiró,anaitarkiro
anariteguiaren zaya,anaritegiaren zaia
anayen guisú,anaien gisu
anayeraro,anaieraro
añazatu,anazatu
anbalera,anbalera
ancacó miña,ankako mina
ancaezurra,ankaezurra
ancaezurra autsi,ankaezurra autsi
ancalboa,ankalboa
ancamiña,ankamina
ancauala,ankauala
ancazurra,ankazurra
ancharraya-,ankharraia-
anche,ankhe
anchina,ankhina
anchinacoa,ankhinakoa
anchinacoac,ankhinakoak
anchinatua,ankhinatua
anchit,ankhit
anchitaria,ankhitaria
anchitia,ankhitia
anchitu,ankhitu
anchua,ankhua
anchume argal,ankhume argal
anchumea,ankhumea
anchuola,ankhuola
anchutaldea,ankhutaldea
anchuzaya,ankhuzaia
anci,antzi
anciaquiro,antziakiro
ancidea,antzidea
anciñaco ezpataria,antzinako ezpataria
anciñacoen diruteguia,antzinakoen dirutegia
anciñagoa,antzinagoa
anciñaqueta,antzinaketa
anciñatua,antzinatua
ancitia,antzitia
ancitsua,antzitsua
ancoyala,ankoiala
ancuztaya,ankuztaia
andartaró,andartaro
ande serora,ande serora
anderechoa,anderekhoa
anderejo,anderejo
anderetua,anderetua
andezduna,andezduna
andi,andi
andi dana,andi dana
andia,andia
andia andituá,andia anditua
andiagoa,andiagoa
andiagotu,andiagotu
andiagotua,andiagotua
andiagotzallea,andiagotzailea
andieguitu,andiegitu
andiena,andiena
andientsua,andientsua
andieuia,andieuia
andigoa,andigoa
andigoá,andigoa
andigoiia,andigoiia
andigoiquiro,andigoikiro
andigoiro,andigoiro
andigoitea,andigoitea
andigoitiro,andigoitiro
andigotia,andigotia
andigoya,andigoia
andigura,andigura
andilodia,andilodia
andinaya,andinaia
andipecoa,andipekoa
andiquena,andikena
andiquendu,andikendu
andiquendua,andikendua
andiquizuna,andikizuna
andiraitzi,andiraitzi
andiraitzia,andiraitzia
andiro,andiro
andiró,andiro
anditasuna,anditasuna
anditasuná,anditasuna
anditsu zornatua,anditsu zornatua
anditsua,anditsua
anditu,anditu
anditú,anditu
anditua,anditua
anditzea,anditzea
anditzen,anditzen
andiurrena,andiurrena
andizca gueiizca,andizka geiizka
andizcada,andizkada
andizcagarria,andizkagarria
andizcaria,andizkaria
andizcatu,andizkatu
andizcatua,andizkatua
andizquezgarria,andizkezgarria
andizquir,andizkir
andizquiro,andizkiro
andizquiró,andizkiro
andora,andora
andraqueta,andraketa
andraquetacoa,andraketakoa
andraquetan ari,andraketan ari
andraquetaria andrazalea,andraketaria andrazalea
andrazaya,andrazaia
andre hitzac dituena,andre hitzak dituena
andre jaincotien echea,andre jainkotien ekhea
andre monjen aguintaria,andre monjen agintaria
andreguisa zaldian ibil,andregisa zaldian ibil
andretia,andretia
andurria,andurria
andustea,andustea
andusterazo,andusterazo
andustetu,andustetu
andustetua , &c,andustetua , &k
anega la-,anega la-
anemone,anemone
anetza,anetza
anezquea,anezkea
anezquechoa,anezkekhoa
ango-es-,ango-es-
angostar,angostar
anguratu,anguratu
angustiado,angustiado
angustiatú,angustiatu
angustiatua,angustiatua
anima racional,anima razional
animaliachoa,animaliakhoa
animaliatzarra,animaliatzarra
animaren doaiñac,animaren doainak
animoquiro,animokiro
anitrapua,anitrapua
anitz beeragoacquin nahascitzea,anitz beeragoakkin nahaszitzea
anitz egoqui da,anitz egoki da
anizquidacoya,anizkidakoia
anizquidagarria,anizkidagarria
anizquidandea,anizkidandea
anizquidargoa,anizkidargoa
anizquidaró,anizkidaro
anizquidatu,anizkidatu
anizquidatua,anizkidatua
annata,annata
anñazmea,annazmea
añoatu,anoatu
anorratuquiro,anorratukiro
anquestaldea ezarri,ankestaldea ezarri
anquestalquia,ankestalkia
anquezurra,ankezurra
anraqueta,anraketa
anrgintzan dagaa,anrjintzan dagaa
anrrazale,anrrazale
ansi,antsi
ansiáz,antsiaz
ansiaz nai,antsiaz nai
ansiduna,antsiduna
ansitú,antsitu
antaguiria,antagiria
antarauquia,antaraukia
antechristoa,antekhristoa
antepassado,antepasado
antepassados,antepasados
anteponer,anteponer
antesqui,anteski
antnsteduna,antntsteduna
antobia,antobia
antojo de,antojo de
antolaira,antolaira
antsia da,antsia da
antsiachoea,antsiakhoea
antsiaquiro,antsiakiro
antsitzea,antsitzea
antu,antu
antua,antua
antuaraci,antuarazi
antularia,antularia
antulasca,antulaska
antulastu,antulastu
antura,antura
antusia,antusia
antusiduna,antusiduna
antustaria,antustaria
antuste farragarria,antuste farragarria
antustea,antustea
antusteca,antusteka
antusteduna,antusteduna
antustequiró,antustekiro
antustetia,antustetia
antustetu,antustetu
antustez,antustez
antustia,antustia
antustiro,antustiro
antza izan,antza izan
antzacabero,antzakabero
antzadura,antzadura
antzar chiquia,antzar khikia
antzarchoa,antzarkhoa
antzesandarra,antzesandarra
antzesandea,antzesandea
antzesandecoa,antzesandekoa
antzesaquiña,antzesakina
antzescaida,antzeskaida
antzescaya,antzeskaia
antzesquiña,antzeskina
antzesquintza,antzeskintza
antzesta,antzesta
antzestea,antzestea
antzestecoa,antzestekoa
antzet,antzet
antzic ez zatea,antzik ez zatea
antziradia,antziradia
antzirarra,antzirarra
antzola,antzola
antzordez,antzordez
anutia,anutia
anutiró,anutiro
anutu,anutu
anyerechoa,andderekhoa
anyerequeria,andderekeria
anyerequeta,anddereketa
anyerequietan,andderekietan
anyeretua,andderetua
anyeretzea,andderetzea
anza duená,antza duena
anza-,antza-
anzarrarena,antzarrarena
anzaztaria,antzaztaria
anzaztu,antzaztu
anzaztua,antzaztua
anzcorra,antzkorra
anzduna,antzduna
anzoa duená,antzoa duena
anzoa izan,antzoa izan
anzocaistea,antzokaistea
anzocaizta,antzokaizta
anzocaiztu,antzokaiztu
anzoduna,antzoduna
anzoe-,antzoe-
anzoera,antzoera
anzora eguin,antzora egin
anzquea,antzkea
anzquetu,antzketu
anzundegarria,antzundegarria
anzunderó,antzundero
anzundetu,antzundetu
anzundezgarria,antzundezgarria
aoa garbitu,aoa garbitu
aoa garbitzea,aoa garbitzea
aoa garbitzecoa,aoa garbitzekoa
aoan sartu,aoan sartu
aoaorea,aoaorea
aobeltz,aobeltz
aoberaatia,aoberaatia
aobolinac,aobolinak
aobozaera,aobozaera
aobozaquiro,aobozakiro
aobozatu,aobozatu
aoburdina,aoburdina
aoburnia,aoburnia
aocada,aokada
aocadura,aokadura
aocaldua,aokaldua
aocanoya,aokanoia
aocarucada,aokarukada
aocarutua,aokarutua
aocastua,aokastua
aochabala,aokhabala
aochacona,aokhakona
aochauala,aokhauala
aochoa,aokhoa
aoco zuloraño betea,aoko zulorano betea
aoidiquia,aoidikia
aolatza,aolatza
aoleorra,aoleorra
aomellatua,aomeilatua
aomenchoa,aomenkhoa
aomiña,aomina
aopicariac,aopikariak
aopitsa,aopitsa
aoquerra,aokerra
aoquitu,aokitu
aoquitzea,aokitzea
aorequia,aorekia
aorioa,aorioa
aortu,aortu
aosamurra,aosamurra
aosapaya,aosapaia
aosquia,aoskia
aosquiteguia,aoskitegia
aosquiz,aoskiz
aotapa,aotapa
aotapaera,aotapaera
aotu,aotu
aotua,aotua
aotzarra,aotzarra
aotzea,aotzea
aotziaz jo aotzicatu,aotziaz jo aotzikatu
aotzica ari,aotzika ari
aotzicada,aotzikada
aotzichoa,aotzikhoa
aotziduna,aotziduna
aotzitia,aotzitia
aovado,aobado
aoyeraz,aoieraz
aozabaltzea,aozabaltzea
aozbildua,aozbildua
aozqueria,aozkeria
aozzual,aozzual
apaca ibilli,apaka ibili
apacatu,apakatu
apacho,apakho
apaci uar,apazi uar
apaciguado,apaziguado
apagar,apagar
apaidiñanza,apaidinantza
apain dea,apain dea
apainagotu,apainagotu
apainagotua,apainagotua
apainancia,apainantzia
apaindasmac,apaindasmak
apaindca,apaindka
apainde,apainde
apaindea,apaindea
apainderó,apaindero
apaindilleta,apaindileta
apaindonac,apaindonak
apainduagotu,apainduagotu
apaindueguitu,apainduegitu
apainduro,apainduro
apaindurria,apaindurria
apaineguitu,apainegitu
apaineguitua,apainegitua
apainera,apainera
apaingaiguea,apaingaigea
apaingaoya,apaingaoia
apaingarri guezurtiac,apaingarri gezurtiak
apaingoraria,apaingoraria
apaingoratu,apaingoratu
apainguea,apaingea
apainguetu,apaingetu
apainlea,apainlea
apainqueta apaindea,apainketa apaindea
apainqueta gueyeguia,apainketa geiegia
apaiz aurrena,apaiz aurrena
apaiz aurrenaren goyendea,apaiz aurrenaren goiendea
apaiz laguna,apaiz laguna
apaiz laguntzallea,apaiz laguntzailea
apaiz soñeco laburduna,apaiz soneko laburduna
apaiz urrenaren goyendea,apaiz urrenaren goiendea
apaiz urrengoarena,apaiz urrengoarena
apaizbatunea,apaizbatunea
apaizcharra,apaizkharra
apaizgaitu,apaizgaitu
apaizgaitua,apaizgaitua
apaizgayera,apaizgaiera
apaizguela,apaizgela
apaizguisá,apaizgisa
apaizurrenaren barrutia,apaizurrenaren barrutia
apal donea,apal donea
apalaurre andia,apalaurre andia
apalaurrea,apalaurrea
apalaurretu,apalaurretu
apaldizá,apaldiza
apaldizcaria,apaldizkaria
apaldiztú,apaldiztu
apaldiztua,apaldiztua
apaldonearen zaia,apaldonearen zaia
apallá,apaila
apaltoquia,apaltokia
apandillea,apandilea
aparqueñá,aparkena
apartamena,apartamena
apartamiento,apartamiento
apartaquiro,apartakiro
apartaquizuna,apartakizuna
apartar,apartar
apartatzallea,apartatzailea
apazchoa,apazkhoa
apearse,apeartse
apetecer,apetezer
apeznagusia,apeznagusia
apeznagusiaren goyendea,apeznagusiaren goiendea
apeztarra,apeztarra
apnrtu,apnrtu
aposentador,aposentador
apostatú,apostatu
apostatua,apostatua
apostoluarra,apostoluarra
appart,appart
apresatua,apresatua
apresatzea,apresatzea
apretar,apretar
apropriarse,apropriartse
aptitud,aptitud
apto,apto
apurbat,apurbat
aputiotsuia,aputiotsuia
aputiotu,aputiotu
aqrrastoa,aqrrastoa
aquelarguia,akelargia
aquer adarduna,aker adarduna
aquer chiquiratua,aker khikiratua
aquercaira,akerkaira
aquercharra,akerkharra
aquerchoac,akerkhoak
aquerguisacoa,akergisakoa
aquetzá barrabil bacocha,aketza barrabil bakokha
aquindua,akindua
aquio,akio
aquiquindatua,akikindatua
ar aitzaria,ar aitzaria
ar biurcaria,ar biurkaria
ar ditequeana,ar ditekeana
ar rostia,ar rostia
ar-,ar-
ara bera,ara bera
arabartna,arabartna
aracaitu,arakaitu
aracaitua,arakaitua
aracaldiro,arakaldiro
aracar,arakar
aracaroa,arakaroa
aracea,arazea
arachi,arakhi
arachia,arakhia
araci,arazi
aracigillea,arazijilea
aracigoa,arazigoa
aracorra,arakorra
aracoya,arakoia
aragueita,arageita
aragueitarra,arageitarra
aragueitatu,arageitatu
aragueitea,arageitea
aragueitia,arageitia
aragueitiro,arageitiro
aragueitsua,arageitsua
aragueitu,arageitu
aragueitzea,arageitzea
aragueizalea,arageizalea
aragueizaya,arageizaia
araguetia,aragetia
araguetiro,aragetiro
aragui ezur bguea,aragi ezur bgea
araguia,aragia
araguia artu,aragia artu
araguia usteldu,aragia usteldu
araguiac artu,aragiak artu
araguian barrendu,aragian barrendu
araguiaren gozamena,aragiaren gozamena
araguiaren ustelera,aragiaren ustelera
araguiezur baguea,aragiezur bagea
araguigoa,aragigoa
araguigoro,aragigoro
araguiguillea,aragigilea
araguilotura,aragilotura
araguiquia,aragikia
araguitu,aragitu
araguitua,aragitua
araguitz,aragitz
araguitzarra,aragitzarra
araguizalea,aragizalea
araguizcobatzea.,aragizkobatzea.
araipalacua,araipalakua
araistea,araistea
araisteguia,araistegia
araldetu,araldetu
araldiaca egon,araldiaka egon
araldietan ibilli,araldietan ibili
araldizalea,araldizalea
aralica,aralika
aralicatu,aralikatu
arambrea,aranbrea
arambruztaya,aranbruztaia
aran amascena,Damascoarra,aran amaszena,Damaskoarra
aran errartetua,aran errartetua
arancibia,arantzibia
arangorri andiac,arangorri andiak
aranlitzallea,aranlitzailea
arantecoa,arantekoa
arantzia,arantzia
aranuligarria,aranuligarria
aranzaga,arantzaga
aranzatea,arantzatea
aranzduna,arantzduna
aranzezcoa,arantzezkoa
araquillea,arakilea
araquiña,arakina
araquiñá,arakina
ararcoria,ararkoria
araria,araria
ararla,ararla
arartequidagoa,arartekidagoa
arartequidea,arartekidea
arartetu,arartetu
arartetzea,arartetzea
arateguia,arategia
aratepallea,aratepailea
aratinez,aratinez
arauaz,arauaz
araubaguea,araubagea
araubea,araubea
araucoa,araukoa
araucoro,araukoro
araudebaguea,araudebagea
araudebaguecoa,araudebagekoa
araudetia,araudetia
araudetiro,araudetiro
araudez,araudez
araudez campocoa,araudez kanpokoa
araudez campora,araudez kanpora
araugoquia,araugokia
araujaquiña,araujakina
araujaquindea,araujakindea
araujaquintza,araujakintza
araujarraidea,araujarraidea
araujarraya,araujarraia
arauli,arauli
araulia,araulia
araulida,araulida
arauliró,arauliro
araulitu,araulitu
araulitua,araulitua
araulitzea,araulitzea
araultzea,araultzea
arauntza,arauntza
arauquea,araukea
arauquero,araukero
arauquetu,arauketu
arauquetua,arauketua
arauqui,arauki
arauquida,araukida
arauquidaro,araukidaro
arauquidaró,araukidaro
arauquidatu,araukidatu
arauquidatua,araukidatua
arauquiro,araukiro
arauquiró,araukiro
araurá,araura
arauró,arauro
arauscaindea,arauskaindea
arauscañi,arauskani
arauscañia,arauskania
arauslea,arauslea
arautaria,arautaria
arautea,arautea
arautia,arautia
arautzi,arautzi
arauzlea,arauzlea
arauztaria,arauztaria
arauztea,arauztea
araz,araz
arazantua,arazantua
arazguea,arazgea
arazguetu,arazgetu
arazo andia,arazo andia
arazogarria,arazogarria
arazoguero,arazogero
arazoguetu,arazogetu
arazotzallea,arazotzailea
arazóz,arazoz
arazquidatua,arazkidatua
arazquiro,arazkiro
arbalcha,arbalkha
arbazcatu,arbazkatu
arbegui,arbegi
arbelcha,arbelkha
arbelocaya,arbelokaia
arbelota,arbelota
arbelotera,arbelotera
arbetuna,arbetuna
arbez,arbez
arbeza,arbeza
arbi cl,arbi kl
arbiacia,arbiazia
arbilgueta,arbilgeta
arbililicha,arbililikha
arbitrio,arbitrio
arbizucoa,arbizukoa
arboilchoa,arboilkhoa
arboilla,arboila
arbotalea,arbotalea
arbotzoi motabat,arbotzoi motabat
arbuya,arbuia
arcacuschoa,arkakuskhoa
arcacusoen,arkakusoen
arcacusoqueta,arkakusoketa
arcacusoteguia,arkakusotegia
arcaitu,arkaitu
arcaitz gaztelua,arkaitz gaztelua
arcaitza,arkaitza
arcaitzauntza,arkaitzauntza
arcaitzerra,arkaitzerra
arcaitzunea,arkaitzunea
arcaizte-,arkaizte-
arcaiztea,arkaiztea
arcaizteac,arkaizteak
arcaiztia,arkaiztia
arcaiztu,arkaiztu
arcaiztuna,arkaiztuna
arcantoyma,arkantoima
arcastea,arkastea
arcazaina,arkazaina
arcazorea,arkazorea
arcellua,artzeilua
arcepizpicua,artzepizpikua
archaluac,arkhaluak
archaria,arkharia
archeros,arkheros
archiauiea,arkhiauiea
archiduquearen goyendea,arkhidukearen goiendea
archiduquesea,arkhidukesea
archoa,arkhoa
archocha,arkhokha
archocoti,arkhokoti
arcodia,arkodia
arcorra,arkorra
arcosca,arkoska
arcoscadia,arkoskadia
arcoscatia,arkoskatia
arcoya,arkoia
arcuaria,arkuaria
arcueratu,arkueratu
arcueratua,arkueratua
arcuerrac,arkuerrak
arcume taldea,arkume taldea
arcumearena,arkumearena
arcumechoa,arkumekhoa
arcumezaya,arkumezaia
arcustia,arkustia
arcustiró,arkustiro
ardabelcha,ardabelkha
ardan-upel,ardan-upel
ardanlea,ardanlea
ardaria,ardaria
ardaspilla,ardaspila
ardasulla,ardasuila
ardatzaldia,ardatzaldia
ardatzaren usbiurra,ardatzaren usbiurra
ardáu,ardau
ardaubilea,ardaubilea
ardaularreguia,ardaularregia
ardautsua,ardautsua
ardautu,ardautu
arder,arder
ardeslea,ardeslea
ardestea,ardestea
ardetsi,ardetsi
ardetsia,ardetsia
ardi utsen arzaya,ardi utsen artzaia
ardiarra,ardiarra
ardibelara,ardibelara
ardicaya,ardikaia
ardichoa,ardikhoa
ardien,ardien
ardiente,ardiente
ardiescuna,ardieskuna
ardieslea,ardieslea
ardiestea,ardiestea
ardilarruz jancia,ardilarruz jantzia
ardinarrua,ardinarrua
ardiqueratsua,ardikeratsua
arditbi,arditbi
ardizaya,ardizaia
ardnaú,ardnau
ardo gorriscá,ardo gorriska
ardo malasia,ardo malasia
ardo verdea,ardo berdea
ardoa aldatu,ardoa aldatu
ardoac eraguina,ardoak eragina
ardoari,ardoari
ardobilea,ardobilea
ardocuia,ardokuia
ardogueyeguia,ardogeiegia
ardoncia,ardontzia
ardoneurtzallea,ardoneurtzailea
ardor ardimiento,ardor ardimiento
ardoztu,ardoztu
ardoztua,ardoztua
ardua,ardua
arduracho,ardurakho
arduraz,arduraz
ardureztea,ardureztea
are gueyago,are geiago
Area,Area
areatsua,areatsua
areaz beté,areaz bete
areaztu,areaztu
arechaga,arekhaga
arechea,arekhea
aregueyago,aregeiago
areisquia,areiskia
arenganatú,arenganatu
arerioquiro,areriokiro
arerioró,arerioro
aresftian,aresftian
arg noso,arg noso
argaldadea,argaldadea
argaldea,argaldea
argalquiro,argalkiro
argaltzea,argaltzea
argana-,argana-
argarria,argarria
argicaidia,arjikaidia
argiimendea,arjiimendea
argiuimendua,arjiuimendua
argnia,argnia
argoquia,argokia
argorria,argorria
argueda,argeda
arguedacorra,argedakorra
arguedallea,argedailea
arguedatu,argedatu
arguegarria,argegarria
argueita,argeita
argueitaria,argeitaria
argueitu,argeitu
arguetu,argetu
arguetua,argetua
argui biucaya,argi biukaia
argui biurgueta,argi biurgeta
argui eman,argi eman
argui errañua,argi erranua
argui errañuen jaquindea,argi erranuen jakindea
argui iguesá,argi igesa
argui tu,argi tu
argui-,argi-
argui-coroea,argi-koroea
argui-errañuen biurtza,argi-erranuen biurtza
argui-errañuen jaquindea,argi-erranuen jakindea
arguia icurtu,argia ikurtu
arguiaren irudaustea,argiaren irudaustea
arguibaguetu,argibagetu
arguibeatu,argibeatu
arguibeatua,argibeatua
arguibelarra,argibelarra
arguicaichoa,argikaikhoa
arguicaitua,argikaitua
arguicaizquiro,argikaizkiro
arguicaizto,argikaizto
arguicaiztua,argikaiztua
arguicaya,argikaia
arguidea,argidea
arguidoraria,argidoraria
arguidoratu,argidoratu
arguidoratua,argidoratua
arguidorquiro,argidorkiro
