LAR_EUS_EGOK	LAR_EUS_UNIDECODE	LAR_EUS_ORIG	SARASOLA	SARASOLA1745	WIKIDATA	OEH	OEHLINK
pasea	pasea	paſea			pase	pase	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=pase
boastitza	boastitza	boaſtitza					
pasealekua	pasealecua	paſealecua	pasealeku		pasealeku	pasealeku	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=pasealeku
ibiltegia	ibilteguia	ibilteguia	ibiltegi	ibiltegi		ibiltegi	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=ibiltegi
padezigarria	padecigarria	padecigarria				padezigarri	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=padezigarri
pairagarria	pairagarria	pairagarria			pairagarri	pairagarri	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=pairagarri
osarkarria	osarcarria	oſarcarria					
eranpegarria	erampegarria	erampegarria					
padezikorra	padecicorra	padecicorra					
osarkorra	osarcorra	oſarcorra					
eranpekorra	erampecorra	erampecorra					
padezikoia	padecicoya	padecicoya				padezikoi	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=padezikoi
