LAR_EUS_EGOK	LAR_EUS_UNIDECODE	LAR_EUS_ORIG	SARASOLA	SARASOLA1745	WIKIDATA	OEH	OEHLINK
norbaiten aldera egin	norbaiten aldera eguin	norbaiten aldera eguin					
partearen txartela	partearen chartela	pártearen chartela					
partearen etxea	partearen echea	partearen echea					
bein onegatik	beiñ onegatic	beiñ onegatic					
berriz orregatik	berriz orregatic	berriz orregatic					
munduko lau aldeak	munduco lau aldeac	munduco lau aldeac					
parteak	parteac	parteac	parte		parte	parte	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=parte
ezkutakiak	ezcutaquiac	ezcutaquiac					
onegatik	onegatic	onegatic					
onegaiti	onegaiti	onegaiti					
onegaitarren	onegaitarren	onegaitarren					
partetxoa	partechoa	partechoa					
